Reference Code,Solution Name (Eng),Solution Name (TC),Company Name (Eng),Company Name (Tc),Solution Description,Application Areas,Technologies Used,Use Case,Website
S-0001,PixelEye Object Detection,,Application Technology Company Limited,,"PIXEL EYE, adopted TensorFlow and Keras technology, plus high-end GPU computing, which achieved real-time object detection, tracking and object category recognition. This technology can also be applied to crowd flow monitoring with providing different information about the flow of people: such as number of people, average dwell time, distribution of detected objects at each location, and predicted movement paths and traffic data.
It can achieve good accuracy even the scene is very crowded and also handle overlapping of people properly. Our tracking system can provide various information about the customers such as the number of people, their average staying time, the distribution at each location and predict the moving path and traffic data. Such information can be available in real time, and we provide customizable backend for managers to view and analyze such information at their convenience with processing high performance GPU.","City Management
Commerce and Industry
Development
Education
Employment and Labour
Environment
Finance
Food
Health
Housing
Infrastructure
Law and Security
Population
Social Welfare
Transport
","Artificial Intelligence (AI)
Deep Learning
Machine Learning
Video Analytics
","This technology can be used to replace traditional data statistics methods, and suitable for environments that are prolonged, dense, and heavily overlapping. Users can accurately grasp real-time detection/recognition results through Data Visualization reports. Which helps with security monitoring, multiple object/object tracking, market statistics, smart city planning, etc.",www.apptech.com.hk
S-0002,DataCube Data Intelligent Automation Solution,DataCube數據智能自動化與可視化解決方案,DATACUBE RESEARCH CENTRE LIMITED,數立方研究中心有限公司,"1. It can help the development team. It does not require advanced programming skills. Through the DataCube data intelligent automation platform, it can quickly iterate machine learning models according to specific businesses.Significantly reduce the technical threshold and working hours of data scientists.
2. Based on the existing massive data of various government departments, algorithmic modeling, analysis and forecasting of various business indicators and risks.Then through the DataCube data intelligent visualization platform, quickly display various charts.
3. Contribute to various government operations and management, risk prediction and resource ranking.To provide professional services such as data scientists, data engineers, and IoT integration (using Cantonese and English to communicate), assist government departments in quickly importing artificial intelligence prediction models, and assist in improving the skills of data scientists.","City Management
Climate and Weather
Commerce and Industry
Development
Environment
Health
Housing
Infrastructure
Population
工程安全
","Artificial Intelligence (AI)
Cloud Computing
Data Analytics
Deep Learning
Machine Learning
Predictive Analytics
Robotic Process Automation
","Data scientists are extremely scarce in Hong Kong, and general commercial software packages also lack government public affairs scenarios.Through this solution, you can quickly improve the work ability of junior data scientists, quickly develop predictive models for specific businesses, and establish a cockpit (Dashboard) for real-time monitoring.In terms of direct talent costs, the user unit can save more than one million Hong Kong dollars per year. In terms of public service benefits, predictive models can help predict in advance, and through machine learning, leading indicators can be identified to continuously improve prediction efficiency, and it is difficult to improve public service benefits.Metering.",www.datacube.hk
S-0003,GeoSpatial Cloud,地理空間數據雲,Esri China (Hong Kong),,"Esri China (HK) is specialized in providing Geographic Information Systems (GIS) solutions based on Esri’s ArcGIS technology which enables integration with different smart city components like transport, security, urban planning, healthcare, asset management, disaster and common operational picture for emergency response. Esri China (HK) is honored to be awarded the SOA-QPS by the Office of the Government Chief Information Officer (OGCIO) since 2005. 

Cloud platforms and geographic information systems (GIS) software together give businesses the ability to analyze massive amounts of information. ArcGIS Online, ArcGIS Pro, Operations Dashboard for ArcGIS, Collector for ArcGIS, Survey 123 are all part of the Esri Geospatial Cloud. The resultant location intelligence often reveals deeper insights and innovative ways to increase efficiency. With a geospatial cloud, one can create maps that represent thousands of relationships between hundreds of layers of data on demographics, sales, population growth, likely customers, competitors, supply chains, delivery routes, and countless other variables. The Esri Geospatial Cloud enables national, state, and local governments to map critical issues, from health to crime to utility lines. It supports the work of nongovernmental organizations involved in environmental issues, addressing social justice concerns and crisis response for natural disasters. A geospatial cloud also allows location intelligence data to be easily combined with artificial intelligence and predictive analytics to map out ways to drive productivity or adjust strategies before bigger problems develop.

Our Professional Service Team had worked with over 30 HKSAR Government departments for over 20 years and had developed a thorough understanding of the departments’ requirement and procedures. In fact, developed as a common data environment for collecting, managing, analyzing and sharing of geospatial information, the ArcGIS platform has been widely adopted as the standard GIS software in many governmental departments such as Lands Department, Planning Department, Housing Department, Hong Kong Police Force, Fire Services Department, Water Supplies Department, Highways Department, and Transport Department.","Broadcasting
City Management
Climate and Weather
Commerce and Industry
Development
Education
Employment and Labour
Environment
Finance
Food
Housing
Infrastructure
Law and Security
Population
Recreation and Culture
Social Welfare
Transport
","Artificial Intelligence (AI)
Augmented Reality
Cloud Computing
Data Analytics
Deep Learning
Internet of Things (IoT)
Machine Learning
Mixed Reality
Mobile Technologies
Predictive Analytics
Virtual Reality
","The Esri Geospatial Cloud can empower government departments to run more efficiently and make better decisions in public services. Some examples as below:

Development Bureau / Related Departments
GIS can help identify areas of interest in land development by incorporating smart city components through map overlay analysis on base map, 3D terrain, utility pipeline asset and other location information. The common information sharing platform for surveyors, engineers and urban planners in various departments leads to informed policy making such as avoiding developing areas with high flood frequency that may unlikely attract residents. Spatial information is made easily accessible across departments in a digital space known as common data environment (CDE). 

Security Bureau/ Related Departments
ArcGIS provides a real-time platform for emergency response on a Common Operational Picture for cross departmental cooperation. Designed for major event planning and monitoring, Operations Dashboard for ArcGIS provides a timely summary of what is happening in a designated area.  Information from various sources such as location of key targets, moving vehicles can all be viewed on the same web or mobile map. Frontline officers are able to take prompt and accurate decisions when handling accidents and emergency situations. 

Environment Bureau/ Related Departments
On a common Web GIS platform, Environment Bureau can consolidate and visualize a vast amount of environmental information in 2D/3D format collected by GPS-enabled mobile devices in different divisions under the Environmental Protection Department. The Web GIS platform also provides analytical functions for GIS data manipulation across the department with security control on the access rights to some sensitive and/or classified data for internal process.

Food and Health Bureau/ Related Departments
Web GIS / Mobile GIS platform is a cross departmental information sharing platform which redefines the way governments approach health and human services workflows. Spatial analysis can uncover significant patterns or trends that provide a broader context for further investigation. Combining this spatial data platform with other crucial details is a powerful way to expose the issues involved in food and health. Public health uses of GIS include tracking child immunization, conducting health policy research, and establishing service areas and districts. GIS provides a way to move data from the project level to policy-making level so that it can be used by the entire Bureau.

Transport and Housing Bureau/ Related Departments
Using GIS and building relationships to gather and visualize available data on housing and other urban conditions could make evidence-based policies that affect public housing and transport. Building on a cross-departmental information sharing platform, advanced GIS spatial analysis empowers housing authorities to make informed decisions, resulting in better housing policy and identify the most suitable development opportunities on a common spatial analytics platform across multiple departments. GIS can help in achieving excellence in transportation as well. It significantly aids in planning, monitoring and managing complex systems involved in transportation planning and management more effectively. GIS helps in determining capacity enhancements, improving operations, asset management and identifying the most strategic investments for the transportation system in marine ports, air terminals, railways, as well as roads and highways.",www.esrichina.hk
S-0004,Euclideon Vault - Smart City IOT 3D visualization,,Euclideon China Limited,,"Euclideon Vault is a new suite of software that provides many ground-breaking features for users of Point Cloud datasets, including:
–  Manage, view and manipulate Massive Point Cloud Data
–  Secure, remote streaming of Euclideon Unlimited Detail point cloud models
–  Open access to Unlimited Detail point cloud rendering technology
–  Ability to stream Unlimited Detail models to a variety of mobile devices
–  Built-in conversion of point cloud to Unlimited Detail models
Future features will include:
–  Allow Internet of Things (IOT), GPS and other real-time feeds.
–  Time-Based versions of parts of the model – ie, new scans of parts of the model can be included, and all time/date stamps can be viewed and compared.
–   Collaboration tools with simultaneous, remote access.
–   Built-in conversion of industry standard polygon/mesh models.","City Management
Development
Infrastructure
Transport
","Augmented Reality
Data Analytics
Internet of Things (IoT)
Mixed Reality
Virtual Reality
","With our solution, Hong Kong Government can maximize the usage of all the scanning 3D data. All the departments can access the large scale data in any computer or smart phone. Make use of those data, it better for city planning and development. With integrate with IOT system and our hologram table, government can monitor the whole city easily.",https://www.euclideon.com/
S-0005,Smart Lamp Pole and Robotic,,Infa Systems Ltd.,,"We provide IoT Solution to detect an environment’s conditions such as temperature, water, pressure, motion, gas, and light ect.. together with Robotic Solution as a turnkey.","Broadcasting
City Management
Climate and Weather
Environment
Health
Infrastructure
","Cloud Computing
Data Analytics
Internet of Things (IoT)
Machine Learning
Mixed Reality
Mobile Technologies
Robotic Process Automation
",We have Multipurpose Lamp Pole by collecting the data of people counting and vehicle counting then the public can know the real time situation for reference.,www.infa.com
S-0006,Centimeter level precision GNSS positioning Android tablet/smartphone,具有厘米級GNSS定位精準度的Android 平板電腦/智能電話,Strobus (Far East) Ltd,,"Our tablets (Nilamtec T1P and T1F) and smartphones (Nilamtec A1P) use Real Time Kinematic (RTK) technology, and use the Hong Kong government's open data (Hong Kong Satellite Positioning Reference Station Network (SatRef) GNSS Raw Data Stream (RTCM) Format)), improve the accuracy of general GNSS positioning from ten meters to centimeters (horizontal and vertical errors can reach centimeter level). This tablet is simple and easy to use, the operator does not need to be trained in surveying work, in an open sky environment Download (such as rural areas), make centimeter-level measurements. The obtained data can also be uploaded in real time through the android application and shared with the team to improve work efficiency.

This equipment is particularly suitable for measurements requiring centimeters to meters, such as lamp posts, canal covers, fire hydrants, and trees coordinate measurement, underground facility path coordinate recording, land use law enforcement, civil/road and bridge engineering construction, airport construction, environmental protection information Records, etc. This equipment can also be connected to the BIM system (Note: Android software is required), and provide accurate on-site measurement data for construction records and analysis.

Users can save considerable time and cost of measurement work.","City Management
Climate and Weather
Commerce and Industry
Development
Environment
Housing
Infrastructure
機場建設
","Mobile Technologies
GNSS Positioning Technology (Real Time Kinematic)
","The size and weight of this product are about the same as ordinary tablets/smartphones, and can be carried around. Compared with traditional GNSS Receiver (commonly known as mushroom head), it has an absolute price advantage. Combined with other Android software, the accurate data measured on the spot is directlySend to electronic processing system, such as BIM, e-work flow system.

This equipment is particularly suitable for measurements requiring centimeters to meters, such as lamp posts, canal covers, fire hydrants, and trees coordinate measurement, underground facility path coordinate recording, land use law enforcement, civil/road and bridge engineering construction, airport construction, environmental protection informationRecords, etc. This equipment can also be connected to the BIM system (Note: Android software is required), and provide accurate on-site measurement data for construction records and analysis.

Compared with traditional measurement methods, this product can greatly reduce measurement costs and time, increase mobility, and coordinate teamwork and communication.",www.strobus.com.hk
S-0007,Smart Life,智慧生活,Alris Technology Ltd.,壹壹科技有限公司,"The intelligent system makes installation easier, saves materials, remote control, and data collection is easier and more accurate.","City Management
Commerce and Industry
Development
Education
Environment
Housing
Infrastructure
Law and Security
Recreation and Culture
Social Welfare
","Artificial Intelligence (AI)
Cloud Computing
Data Analytics
Internet of Things (IoT)
Mobile Technologies
","For example, smart switches make it more convenient to add or subtract switch positions in buildings. The most important thing is to save a lot of wires.",www.alris.com.hk
S-0008,Shape Security - Shape Enterprise Defense,,Shape Security,,"Shape Enterprise Defense (SED) protects public facing web and mobile applications from automated attack and abuse, ensuring Hong Kong residents have secure and fair access to online services. Shape enables a frictionless and more accessible experience by replacing legacy approaches such as CAPTCHA. SED is delivered as a managed service to ensure long-term efficacy defending against constantly evolving threats.","Broadcasting
Commerce and Industry
Development
Employment and Labour
Finance
Health
Housing
Infrastructure
Law and Security
Recreation and Culture
Social Welfare
Transport
","Artificial Intelligence (AI)
Cloud Computing
Data Analytics
Machine Learning
Mobile Technologies
Predictive Analytics
","Shape Enterprise Defense defends against automated threats including credential stuffing, ticket bots, content scraping, and application-layer denial of service (DDoS). 

Shape can defend against account takeover attempts for fraudulent access to online public services. Shape can also block automated access to tickets or limited resources (i.e. event facilities), to ensure fair resident access. By preventing automated attack and abuse of web and mobile applications, Shape also reduces demand on hosting infrastructure and bandwidth.",www.shapesecurity.com
S-0009,Precise And Responsive Indoor Location Tracking,精準快速室內位置追蹤,Achiever Big Data Limited,融達數據有限公司,"Through wireless transceivers receiving Bluetooth Low Energy (BLE) signals from smartphones or BLE-enabled tags, and processing the data on Clouds, we provide an precise and responsive tracking and navigation solution. Visitors of museums and libraries will have a better experience with a precise and responsive navigation. Mobile assets like movable exhibits and library trolleys can be tracked in real time for monitoring.","Recreation and Culture
","Artificial Intelligence (AI)
Cloud Computing
Data Analytics
Internet of Things (IoT)
","By deploying the system to museums or libraries, visitors can have a better experience with a precise and responsive navigation. Real-time location of any mobile exhibits and guided tours can be shown to visitors by tracking the BLE-enabled tags attached to them.",https://www.achieverbigdata.com
S-0010,Precise Facility Crowd Analysis,精準設施人流分析,Achiever Big Data Limited,融達數據有限公司,"Through wireless transceivers receiving Wi-Fi signals from smartphones (no apps or connection is needed), and processing the data on Clouds, we provide a detailed analysis on the utilization of the facility, like crowd count and dwell time, crowd flow, and returning-visitor statistics. Facility operator and management can use the result for crowd management, manpower and resources allocation, predictive maintenance, and new facility design.","Recreation and Culture
","Artificial Intelligence (AI)
Cloud Computing
Data Analytics
Internet of Things (IoT)
","By deploying the system to museums or exhibitions, from the crowd distribution and their dwell time, we can know the visitor interest for evaluation and future exhibition planning. For outdoor facilities, especially those in country park, utilization analysis can benefit the operator and management with predictive maintenance.",https://www.achieverbigdata.com
