Reference Code,Solution Name (Eng),Solution Name (TC),Company Name (Eng),Company Name (Tc),Solution Description,Application Areas,Technologies Used,Use Case,Website,Model Input
S-0001,PixelEye Object Detection,,Application Technology Company Limited,,"PIXEL EYE , adopt TensorFlow and Keras technology , plus high-end GPU computing , which achieve real-time object detection , track and object category recognition . This technology can also be apply to crowd flow monitoring with provide different information about the flow of people : such as number of people , average dwell time , distribution of detected object at each location , and predict movement path and traffic data . It can achieve good accuracy even the scene be very crowded and also handle overlapping of people properly . Our track system can provide various information about the customer such as the number of people , their average staying time , the distribution at each location and predict the move path and traffic data . Such information can be available in real time , and we provide customizable backend for manager to view and analyze such information at their convenience with process high performance GPU .","City Management
Commerce and Industry
Development
Education
Employment and Labour
Environment
Finance
Food
Health
Housing
Infrastructure
Law and Security
Population
Social Welfare
Transport
","Artificial Intelligence (AI)
Deep Learning
Machine Learning
Video Analytics
","This technology can be use to replace traditional data statistic method , and suitable for environment that be prolong , dense , and heavily overlap . Users can accurately grasp real-time detection/recognition result through Data Visualization report . Which help with security monitoring , multiple object/object track , market statistic , smart city planning , etc .",www.apptech.com.hk,"PixelEye Object Detection. PIXEL EYE , adopt TensorFlow and Keras technology , plus high-end GPU computing , which achieve real-time object detection , track and object category recognition . This technology can also be apply to crowd flow monitoring with provide different information about the flow of people : such as number of people , average dwell time , distribution of detected object at each location , and predict movement path and traffic data . It can achieve good accuracy even the scene be very crowded and also handle overlapping of people properly . Our track system can provide various information about the customer such as the number of people , their average staying time , the distribution at each location and predict the move path and traffic data . Such information can be available in real time , and we provide customizable backend for manager to view and analyze such information at their convenience with process high performance GPU .. This technology can be use to replace traditional data statistic method , and suitable for environment that be prolong , dense , and heavily overlap . Users can accurately grasp real-time detection/recognition result through Data Visualization report . Which help with security monitoring , multiple object/object track , market statistic , smart city planning , etc ."
S-0002,DataCube Data Intelligent Automation Solution,DataCube數據智能自動化與可視化解決方案,DATACUBE RESEARCH CENTRE LIMITED,數立方研究中心有限公司,"1 . It can help the development team . It do not require advanced programming skill . Through the DataCube data intelligent automation platform , it can quickly iterate machine learning model accord to specific businesses.Significantly reduce the technical threshold and work hour of data scientist . 2 . Based on the exist massive data of various government department , algorithmic modeling , analysis and forecasting of various business indicator and risks.Then through the DataCube data intelligent visualization platform , quickly display various chart . 3 . Contribute to various government operation and management , risk prediction and resource ranking.To provide professional service such as data scientist , data engineer , and IoT integration ( use Cantonese and English to communicate ) , assist government department in quickly import artificial intelligence prediction model , and assist in improve the skill of data scientist .","City Management
Climate and Weather
Commerce and Industry
Development
Environment
Health
Housing
Infrastructure
Population
工程安全
","Artificial Intelligence (AI)
Cloud Computing
Data Analytics
Deep Learning
Machine Learning
Predictive Analytics
Robotic Process Automation
","Data scientist be extremely scarce in Hong Kong , and general commercial software package also lack government public affair scenarios.Through this solution , you can quickly improve the work ability of junior data scientist , quickly develop predictive model for specific business , and establish a cockpit ( Dashboard ) for real-time monitoring.In term of direct talent cost , the user unit can save more than one million Hong Kong dollar per year . In term of public service benefit , predictive model can help predict in advance , and through machine learning , lead indicator can be identify to continuously improve prediction efficiency , and it be difficult to improve public service benefits.Metering .",www.datacube.hk,"DataCube Data Intelligent Automation Solution. 1 . It can help the development team . It do not require advanced programming skill . Through the DataCube data intelligent automation platform , it can quickly iterate machine learning model accord to specific businesses.Significantly reduce the technical threshold and work hour of data scientist . 2 . Based on the exist massive data of various government department , algorithmic modeling , analysis and forecasting of various business indicator and risks.Then through the DataCube data intelligent visualization platform , quickly display various chart . 3 . Contribute to various government operation and management , risk prediction and resource ranking.To provide professional service such as data scientist , data engineer , and IoT integration ( use Cantonese and English to communicate ) , assist government department in quickly import artificial intelligence prediction model , and assist in improve the skill of data scientist .. Data scientist be extremely scarce in Hong Kong , and general commercial software package also lack government public affair scenarios.Through this solution , you can quickly improve the work ability of junior data scientist , quickly develop predictive model for specific business , and establish a cockpit ( Dashboard ) for real-time monitoring.In term of direct talent cost , the user unit can save more than one million Hong Kong dollar per year . In term of public service benefit , predictive model can help predict in advance , and through machine learning , lead indicator can be identify to continuously improve prediction efficiency , and it be difficult to improve public service benefits.Metering ."
S-0003,GeoSpatial Cloud,地理空間數據雲,Esri China (Hong Kong),,"Esri China ( HK ) be specialize in provide Geographic Information Systems ( GIS ) solution base on Esri ’ s ArcGIS technology which enable integration with different smart city component like transport , security , urban planning , healthcare , asset management , disaster and common operational picture for emergency response . Esri China ( HK ) be honor to be award the SOA-QPS by the Office of the Government Chief Information Officer ( OGCIO ) since 2005 . Cloud platform and geographic information system ( GIS ) software together give business the ability to analyze massive amount of information . ArcGIS Online , ArcGIS Pro , Operations Dashboard for ArcGIS , Collector for ArcGIS , Survey 123 be all part of the Esri Geospatial Cloud . The resultant location intelligence often reveal deep insight and innovative way to increase efficiency . With a geospatial cloud , one can create map that represent thousand of relationship between hundred of layer of data on demographic , sale , population growth , likely customer , competitor , supply chain , delivery route , and countless other variable . The Esri Geospatial Cloud enable national , state , and local government to map critical issue , from health to crime to utility line . It support the work of nongovernmental organization involve in environmental issue , address social justice concern and crisis response for natural disaster . A geospatial cloud also allow location intelligence data to be easily combine with artificial intelligence and predictive analytics to map out way to drive productivity or adjust strategy before big problem develop . Our Professional Service Team have work with over 30 HKSAR Government department for over 20 year and have develop a thorough understanding of the department ’ requirement and procedure . In fact , develop as a common data environment for collect , managing , analyze and share of geospatial information , the ArcGIS platform have be widely adopt as the standard GIS software in many governmental department such as Lands Department , Planning Department , Housing Department , Hong Kong Police Force , Fire Services Department , Water Supplies Department , Highways Department , and Transport Department .","Broadcasting
City Management
Climate and Weather
Commerce and Industry
Development
Education
Employment and Labour
Environment
Finance
Food
Housing
Infrastructure
Law and Security
Population
Recreation and Culture
Social Welfare
Transport
","Artificial Intelligence (AI)
Augmented Reality
Cloud Computing
Data Analytics
Deep Learning
Internet of Things (IoT)
Machine Learning
Mixed Reality
Mobile Technologies
Predictive Analytics
Virtual Reality
","The Esri Geospatial Cloud can empower government department to run more efficiently and make good decision in public service . Some example as below : Development Bureau / Related Departments GIS can help identify area of interest in land development by incorporate smart city component through map overlay analysis on base map , 3D terrain , utility pipeline asset and other location information . The common information share platform for surveyor , engineer and urban planner in various department lead to inform policy make such as avoid develop area with high flood frequency that may unlikely attract resident . Spatial information be make easily accessible across department in a digital space know as common data environment ( CDE ) . Security Bureau/ Related Departments ArcGIS provide a real-time platform for emergency response on a Common Operational Picture for cross departmental cooperation . Designed for major event planning and monitoring , Operations Dashboard for ArcGIS provide a timely summary of what be happen in a designated area . Information from various source such as location of key target , move vehicle can all be view on the same web or mobile map . Frontline officer be able to take prompt and accurate decision when handle accident and emergency situation . Environment Bureau/ Related Departments On a common Web GIS platform , Environment Bureau can consolidate and visualize a vast amount of environmental information in 2D/3D format collect by GPS-enabled mobile device in different division under the Environmental Protection Department . The Web GIS platform also provide analytical function for GIS data manipulation across the department with security control on the access right to some sensitive and/or classify data for internal process . Food and Health Bureau/ Related Departments Web GIS / Mobile GIS platform be a cross departmental information share platform which redefine the way government approach health and human service workflow . Spatial analysis can uncover significant pattern or trend that provide a broad context for further investigation . Combining this spatial data platform with other crucial detail be a powerful way to expose the issue involve in food and health . Public health us of GIS include track child immunization , conduct health policy research , and establish service area and district . GIS provide a way to move data from the project level to policy-making level so that it can be use by the entire Bureau . Transport and Housing Bureau/ Related Departments Using GIS and build relationship to gather and visualize available data on housing and other urban condition could make evidence-based policy that affect public housing and transport . Building on a cross-departmental information share platform , advance GIS spatial analysis empowers housing authority to make informed decision , result in good housing policy and identify the most suitable development opportunity on a common spatial analytics platform across multiple department . GIS can help in achieve excellence in transportation as well . It significantly aid in planning , monitoring and managing complex system involve in transportation planning and management more effectively . GIS help in determine capacity enhancement , improve operation , asset management and identify the most strategic investment for the transportation system in marine port , air terminal , railway , as well as road and highway .",www.esrichina.hk,"GeoSpatial Cloud. Esri China ( HK ) be specialize in provide Geographic Information Systems ( GIS ) solution base on Esri ’ s ArcGIS technology which enable integration with different smart city component like transport , security , urban planning , healthcare , asset management , disaster and common operational picture for emergency response . Esri China ( HK ) be honor to be award the SOA-QPS by the Office of the Government Chief Information Officer ( OGCIO ) since 2005 . Cloud platform and geographic information system ( GIS ) software together give business the ability to analyze massive amount of information . ArcGIS Online , ArcGIS Pro , Operations Dashboard for ArcGIS , Collector for ArcGIS , Survey 123 be all part of the Esri Geospatial Cloud . The resultant location intelligence often reveal deep insight and innovative way to increase efficiency . With a geospatial cloud , one can create map that represent thousand of relationship between hundred of layer of data on demographic , sale , population growth , likely customer , competitor , supply chain , delivery route , and countless other variable . The Esri Geospatial Cloud enable national , state , and local government to map critical issue , from health to crime to utility line . It support the work of nongovernmental organization involve in environmental issue , address social justice concern and crisis response for natural disaster . A geospatial cloud also allow location intelligence data to be easily combine with artificial intelligence and predictive analytics to map out way to drive productivity or adjust strategy before big problem develop . Our Professional Service Team have work with over 30 HKSAR Government department for over 20 year and have develop a thorough understanding of the department ’ requirement and procedure . In fact , develop as a common data environment for collect , managing , analyze and share of geospatial information , the ArcGIS platform have be widely adopt as the standard GIS software in many governmental department such as Lands Department , Planning Department , Housing Department , Hong Kong Police Force , Fire Services Department , Water Supplies Department , Highways Department , and Transport Department .. The Esri Geospatial Cloud can empower government department to run more efficiently and make good decision in public service . Some example as below : Development Bureau / Related Departments GIS can help identify area of interest in land development by incorporate smart city component through map overlay analysis on base map , 3D terrain , utility pipeline asset and other location information . The common information share platform for surveyor , engineer and urban planner in various department lead to inform policy make such as avoid develop area with high flood frequency that may unlikely attract resident . Spatial information be make easily accessible across department in a digital space know as common data environment ( CDE ) . Security Bureau/ Related Departments ArcGIS provide a real-time platform for emergency response on a Common Operational Picture for cross departmental cooperation . Designed for major event planning and monitoring , Operations Dashboard for ArcGIS provide a timely summary of what be happen in a designated area . Information from various source such as location of key target , move vehicle can all be view on the same web or mobile map . Frontline officer be able to take prompt and accurate decision when handle accident and emergency situation . Environment Bureau/ Related Departments On a common Web GIS platform , Environment Bureau can consolidate and visualize a vast amount of environmental information in 2D/3D format collect by GPS-enabled mobile device in different division under the Environmental Protection Department . The Web GIS platform also provide analytical function for GIS data manipulation across the department with security control on the access right to some sensitive and/or classify data for internal process . Food and Health Bureau/ Related Departments Web GIS / Mobile GIS platform be a cross departmental information share platform which redefine the way government approach health and human service workflow . Spatial analysis can uncover significant pattern or trend that provide a broad context for further investigation . Combining this spatial data platform with other crucial detail be a powerful way to expose the issue involve in food and health . Public health us of GIS include track child immunization , conduct health policy research , and establish service area and district . GIS provide a way to move data from the project level to policy-making level so that it can be use by the entire Bureau . Transport and Housing Bureau/ Related Departments Using GIS and build relationship to gather and visualize available data on housing and other urban condition could make evidence-based policy that affect public housing and transport . Building on a cross-departmental information share platform , advance GIS spatial analysis empowers housing authority to make informed decision , result in good housing policy and identify the most suitable development opportunity on a common spatial analytics platform across multiple department . GIS can help in achieve excellence in transportation as well . It significantly aid in planning , monitoring and managing complex system involve in transportation planning and management more effectively . GIS help in determine capacity enhancement , improve operation , asset management and identify the most strategic investment for the transportation system in marine port , air terminal , railway , as well as road and highway ."
S-0004,Euclideon Vault - Smart City IOT 3D visualization,,Euclideon China Limited,,"Euclideon Vault be a new suite of software that provide many ground-breaking feature for user of Point Cloud datasets , include : – Manage , view and manipulate Massive Point Cloud Data – Secure , remote stream of Euclideon Unlimited Detail point cloud model – Open access to Unlimited Detail point cloud render technology – Ability to stream Unlimited Detail model to a variety of mobile device – Built-in conversion of point cloud to Unlimited Detail model Future feature will include : – Allow Internet of Things ( IOT ) , GPS and other real-time feed . – Time-Based version of part of the model – ie , new scan of part of the model can be include , and all time/date stamp can be view and compare . – Collaboration tool with simultaneous , remote access . – Built-in conversion of industry standard polygon/mesh model .","City Management
Development
Infrastructure
Transport
","Augmented Reality
Data Analytics
Internet of Things (IoT)
Mixed Reality
Virtual Reality
","With our solution , Hong Kong Government can maximize the usage of all the scan 3D data . All the department can access the large scale data in any computer or smart phone . Make use of those data , it good for city planning and development . With integrate with IOT system and our hologram table , government can monitor the whole city easily .",https://www.euclideon.com/,"Euclideon Vault - Smart City IOT 3D visualization. Euclideon Vault be a new suite of software that provide many ground-breaking feature for user of Point Cloud datasets , include : – Manage , view and manipulate Massive Point Cloud Data – Secure , remote stream of Euclideon Unlimited Detail point cloud model – Open access to Unlimited Detail point cloud render technology – Ability to stream Unlimited Detail model to a variety of mobile device – Built-in conversion of point cloud to Unlimited Detail model Future feature will include : – Allow Internet of Things ( IOT ) , GPS and other real-time feed . – Time-Based version of part of the model – ie , new scan of part of the model can be include , and all time/date stamp can be view and compare . – Collaboration tool with simultaneous , remote access . – Built-in conversion of industry standard polygon/mesh model .. With our solution , Hong Kong Government can maximize the usage of all the scan 3D data . All the department can access the large scale data in any computer or smart phone . Make use of those data , it good for city planning and development . With integrate with IOT system and our hologram table , government can monitor the whole city easily ."
S-0005,Smart Lamp Pole and Robotic,,Infa Systems Ltd.,,"We provide IoT Solution to detect an environment ’ s condition such as temperature , water , pressure , motion , gas , and light ect .. together with Robotic Solution as a turnkey .","Broadcasting
City Management
Climate and Weather
Environment
Health
Infrastructure
","Cloud Computing
Data Analytics
Internet of Things (IoT)
Machine Learning
Mixed Reality
Mobile Technologies
Robotic Process Automation
",We have Multipurpose Lamp Pole by collect the data of people count and vehicle counting then the public can know the real time situation for reference .,www.infa.com,"Smart Lamp Pole and Robotic. We provide IoT Solution to detect an environment ’ s condition such as temperature , water , pressure , motion , gas , and light ect .. together with Robotic Solution as a turnkey .. We have Multipurpose Lamp Pole by collect the data of people count and vehicle counting then the public can know the real time situation for reference ."
S-0006,Centimeter level precision GNSS positioning Android tablet/smartphone,具有厘米級GNSS定位精準度的Android 平板電腦/智能電話,Strobus (Far East) Ltd,,"Our tablet ( Nilamtec T1P and T1F ) and smartphones ( Nilamtec A1P ) use Real Time Kinematic ( RTK ) technology , and use the Hong Kong government 's open data ( Hong Kong Satellite Positioning Reference Station Network ( SatRef ) GNSS Raw Data Stream ( RTCM ) Format ) ) , improve the accuracy of general GNSS positioning from ten meter to centimeter ( horizontal and vertical error can reach centimeter level ) . This tablet be simple and easy to use , the operator do not need to be train in survey work , in an open sky environment Download ( such as rural area ) , make centimeter-level measurement . The obtain data can also be upload in real time through the android application and share with the team to improve work efficiency . This equipment be particularly suitable for measurement require centimeter to meter , such as lamp post , canal cover , fire hydrant , and tree coordinate measurement , underground facility path coordinate recording , land use law enforcement , civil/road and bridge engineering construction , airport construction , environmental protection information Records , etc . This equipment can also be connect to the BIM system ( Note : Android software be require ) , and provide accurate on-site measurement data for construction record and analysis . Users can save considerable time and cost of measurement work .","City Management
Climate and Weather
Commerce and Industry
Development
Environment
Housing
Infrastructure
機場建設
","Mobile Technologies
GNSS Positioning Technology (Real Time Kinematic)
","The size and weight of this product be about the same as ordinary tablets/smartphones , and can be carry around . Compared with traditional GNSS Receiver ( commonly know as mushroom head ) , it have an absolute price advantage . Combined with other Android software , the accurate data measure on the spot be directlySend to electronic processing system , such as BIM , e-work flow system . This equipment be particularly suitable for measurement require centimeter to meter , such as lamp post , canal cover , fire hydrant , and tree coordinate measurement , underground facility path coordinate recording , land use law enforcement , civil/road and bridge engineering construction , airport construction , environmental protection informationRecords , etc . This equipment can also be connect to the BIM system ( Note : Android software be require ) , and provide accurate on-site measurement data for construction record and analysis . Compared with traditional measurement method , this product can greatly reduce measurement cost and time , increase mobility , and coordinate teamwork and communication .",www.strobus.com.hk,"Centimeter level precision GNSS positioning Android tablet/smartphone. Our tablet ( Nilamtec T1P and T1F ) and smartphones ( Nilamtec A1P ) use Real Time Kinematic ( RTK ) technology , and use the Hong Kong government 's open data ( Hong Kong Satellite Positioning Reference Station Network ( SatRef ) GNSS Raw Data Stream ( RTCM ) Format ) ) , improve the accuracy of general GNSS positioning from ten meter to centimeter ( horizontal and vertical error can reach centimeter level ) . This tablet be simple and easy to use , the operator do not need to be train in survey work , in an open sky environment Download ( such as rural area ) , make centimeter-level measurement . The obtain data can also be upload in real time through the android application and share with the team to improve work efficiency . This equipment be particularly suitable for measurement require centimeter to meter , such as lamp post , canal cover , fire hydrant , and tree coordinate measurement , underground facility path coordinate recording , land use law enforcement , civil/road and bridge engineering construction , airport construction , environmental protection information Records , etc . This equipment can also be connect to the BIM system ( Note : Android software be require ) , and provide accurate on-site measurement data for construction record and analysis . Users can save considerable time and cost of measurement work .. The size and weight of this product be about the same as ordinary tablets/smartphones , and can be carry around . Compared with traditional GNSS Receiver ( commonly know as mushroom head ) , it have an absolute price advantage . Combined with other Android software , the accurate data measure on the spot be directlySend to electronic processing system , such as BIM , e-work flow system . This equipment be particularly suitable for measurement require centimeter to meter , such as lamp post , canal cover , fire hydrant , and tree coordinate measurement , underground facility path coordinate recording , land use law enforcement , civil/road and bridge engineering construction , airport construction , environmental protection informationRecords , etc . This equipment can also be connect to the BIM system ( Note : Android software be require ) , and provide accurate on-site measurement data for construction record and analysis . Compared with traditional measurement method , this product can greatly reduce measurement cost and time , increase mobility , and coordinate teamwork and communication ."
S-0007,Smart Life,智慧生活,Alris Technology Ltd.,壹壹科技有限公司,"The intelligent system make installation easy , save material , remote control , and data collection be easy and more accurate .","City Management
Commerce and Industry
Development
Education
Environment
Housing
Infrastructure
Law and Security
Recreation and Culture
Social Welfare
","Artificial Intelligence (AI)
Cloud Computing
Data Analytics
Internet of Things (IoT)
Mobile Technologies
","For example , smart switch make it more convenient to add or subtract switch position in building . The most important thing be to save a lot of wire .",www.alris.com.hk,"Smart Life. The intelligent system make installation easy , save material , remote control , and data collection be easy and more accurate .. For example , smart switch make it more convenient to add or subtract switch position in building . The most important thing be to save a lot of wire ."
S-0008,Shape Security - Shape Enterprise Defense,,Shape Security,,"Shape Enterprise Defense ( SED ) protect public face web and mobile application from automate attack and abuse , ensure Hong Kong resident have secure and fair access to online service . Shape enable a frictionless and more accessible experience by replace legacy approach such as CAPTCHA . SED be deliver as a managed service to ensure long-term efficacy defend against constantly evolve threat .","Broadcasting
Commerce and Industry
Development
Employment and Labour
Finance
Health
Housing
Infrastructure
Law and Security
Recreation and Culture
Social Welfare
Transport
","Artificial Intelligence (AI)
Cloud Computing
Data Analytics
Machine Learning
Mobile Technologies
Predictive Analytics
","Shape Enterprise Defense defend against automate threat include credential stuffing , ticket bot , content scraping , and application-layer denial of service ( DDoS ) . Shape can defend against account takeover attempt for fraudulent access to online public service . Shape can also block automate access to ticket or limited resource ( i.e . event facility ) , to ensure fair resident access . By prevent automate attack and abuse of web and mobile application , Shape also reduce demand on hosting infrastructure and bandwidth .",www.shapesecurity.com,"Shape Security - Shape Enterprise Defense. Shape Enterprise Defense ( SED ) protect public face web and mobile application from automate attack and abuse , ensure Hong Kong resident have secure and fair access to online service . Shape enable a frictionless and more accessible experience by replace legacy approach such as CAPTCHA . SED be deliver as a managed service to ensure long-term efficacy defend against constantly evolve threat .. Shape Enterprise Defense defend against automate threat include credential stuffing , ticket bot , content scraping , and application-layer denial of service ( DDoS ) . Shape can defend against account takeover attempt for fraudulent access to online public service . Shape can also block automate access to ticket or limited resource ( i.e . event facility ) , to ensure fair resident access . By prevent automate attack and abuse of web and mobile application , Shape also reduce demand on hosting infrastructure and bandwidth ."
S-0009,Precise And Responsive Indoor Location Tracking,精準快速室內位置追蹤,Achiever Big Data Limited,融達數據有限公司,"Through wireless transceivers receive Bluetooth Low Energy ( BLE ) signal from smartphones or BLE-enabled tag , and process the data on Clouds , we provide an precise and responsive tracking and navigation solution . Visitors of museum and library will have a good experience with a precise and responsive navigation . Mobile asset like movable exhibit and library trolley can be track in real time for monitoring .","Recreation and Culture
","Artificial Intelligence (AI)
Cloud Computing
Data Analytics
Internet of Things (IoT)
","By deploy the system to museums or library , visitor can have a good experience with a precise and responsive navigation . Real-time location of any mobile exhibit and guide tour can be show to visitor by track the BLE-enabled tag attach to them .",https://www.achieverbigdata.com,"Precise And Responsive Indoor Location Tracking. Through wireless transceivers receive Bluetooth Low Energy ( BLE ) signal from smartphones or BLE-enabled tag , and process the data on Clouds , we provide an precise and responsive tracking and navigation solution . Visitors of museum and library will have a good experience with a precise and responsive navigation . Mobile asset like movable exhibit and library trolley can be track in real time for monitoring .. By deploy the system to museums or library , visitor can have a good experience with a precise and responsive navigation . Real-time location of any mobile exhibit and guide tour can be show to visitor by track the BLE-enabled tag attach to them ."
S-0010,Precise Facility Crowd Analysis,精準設施人流分析,Achiever Big Data Limited,融達數據有限公司,"Through wireless transceivers receive Wi-Fi signal from smartphones ( no apps or connection be need ) , and process the data on Clouds , we provide a detailed analysis on the utilization of the facility , like crowd count and dwell time , crowd flow , and returning-visitor statistic . Facility operator and management can use the result for crowd management , manpower and resource allocation , predictive maintenance , and new facility design .","Recreation and Culture
","Artificial Intelligence (AI)
Cloud Computing
Data Analytics
Internet of Things (IoT)
","By deploy the system to museums or exhibition , from the crowd distribution and their dwell time , we can know the visitor interest for evaluation and future exhibition planning . For outdoor facility , especially those in country park , utilization analysis can benefit the operator and management with predictive maintenance .",https://www.achieverbigdata.com,"Precise Facility Crowd Analysis. Through wireless transceivers receive Wi-Fi signal from smartphones ( no apps or connection be need ) , and process the data on Clouds , we provide a detailed analysis on the utilization of the facility , like crowd count and dwell time , crowd flow , and returning-visitor statistic . Facility operator and management can use the result for crowd management , manpower and resource allocation , predictive maintenance , and new facility design .. By deploy the system to museums or exhibition , from the crowd distribution and their dwell time , we can know the visitor interest for evaluation and future exhibition planning . For outdoor facility , especially those in country park , utilization analysis can benefit the operator and management with predictive maintenance ."
