Reference Code,Title (Eng),Title (TC),Business Needs / Challenges (Eng),Business Needs / Challenges (TC),Expected Outcomes (Eng),Expected Outcomes (TC),Application Areas,Technologies to be Used,Model Input
N-0001,CCTV Video Analytic,閉路電視攝影機視頻分析,"Traditional Closed Circuit Television (CCTV) cameras are installed at strategic locations in Hong Kong to allow the Transport Department Emergency Transport Coordination Centre (ETCC) to monitor traffic condition and take remedial actions in case of emergency. There are around 1,000 fixed or pan-tilt-zoom cameras with different years of installation. At present, monitoring of camera images are performed manually by ETCC operators.  Proof of concept exercise would like to be conducted to study how Artificial Intelligence technologies could automatically monitor CCTV video and alert ETCC operators on any abnormal traffic condition.",傳統閉路電視（CCTV）攝影機安裝在香港各個策略性地點，以便運輸署緊急事故交通協調中心（ETCC）監察交通情況，並在緊急事故情況下採取補救措施。本港大約有一千個安裝於不同年期的固定或平移 - 傾斜 - 變焦攝影機。目前，ETCC當值人員手動執行攝影機圖像的監視。希望進行概念驗證試驗，以研究人工智能技術如何自動監控CCTV視頻並在任何異常交通狀況下提醒ETCC當值人員。,"1) What type of abnormal traffic conditions can be discovered?
2) Can images from all existing cameras be adopted for automatic AI detection?
3) Any difficulties/requirements/arrangement on capturing the video images for Video Analytic purpose?
4) Estimate on the cost and schedule for full implementation.","1）可以發現什麼類型的異常交通狀況？
2）是否可以採用所有現有攝影機的圖像進行自動人工智能技術檢測？
3）為視頻圖像分析目的而需考慮任何困難/要求/安排？
4）估算全面實施的成本和時間表。","Transport
","Artificial Intelligence (AI)
Deep Learning
Internet of Things (IoT)
Machine Learning
Video Analytics
","CCTV Video Analytic. Traditional Closed Circuit Television (CCTV) cameras are installed at strategic locations in Hong Kong to allow the Transport Department Emergency Transport Coordination Centre (ETCC) to monitor traffic condition and take remedial actions in case of emergency. There are around 1,000 fixed or pan-tilt-zoom cameras with different years of installation. At present, monitoring of camera images are performed manually by ETCC operators.  Proof of concept exercise would like to be conducted to study how Artificial Intelligence technologies could automatically monitor CCTV video and alert ETCC operators on any abnormal traffic condition.. 1) What type of abnormal traffic conditions can be discovered?
2) Can images from all existing cameras be adopted for automatic AI detection?
3) Any difficulties/requirements/arrangement on capturing the video images for Video Analytic purpose?
4) Estimate on the cost and schedule for full implementation."
N-0002,Management of Valuable Audio-Visual (AV) Equipment ,昂貴視聽設備的管理,Valuable AV equipment and tools were acquired to support daily operation of the department.   Users in division concerned have to carry AV equipment for performing outdoor filming and photographic work.   Automated solution is required for better inventory management of such valuable equipment.,部門添置了昂貴的視聽設備和工具，以支援日常運作。各別組別的同事需要攜帶這些設備進行戶外拍攝和攝影工作。部門需要自動化解決方案去更好地管理這些有價值的設備。,"The system will allow the department to identify the user/borrower of an equipment and to keep track of all equipment movement.  Sensors will be installed to alert the officer-in-charge if there is any unauthorised/improper movement of an equipment.  Besides, staff concerned will be able to perform fast stocktaking by using a portable RFID reader to locate all AV equipment resided in the offices.  ",該系統能夠讓部門識別設備的使用者/借用者並追踪所有設備的去向。當感測器發現任何設備在未經授權下被攜走，系統就會發出通知提醒負責設備管理的同事。此外，同事能夠使用便攜式無線射頻識別閱讀器去盤點部門辦公室中的所有視聽設備。,"Asset Management
","Radio Frequency Identification (RFID)
","Management of Valuable Audio-Visual (AV) Equipment . Valuable AV equipment and tools were acquired to support daily operation of the department.   Users in division concerned have to carry AV equipment for performing outdoor filming and photographic work.   Automated solution is required for better inventory management of such valuable equipment.. The system will allow the department to identify the user/borrower of an equipment and to keep track of all equipment movement.  Sensors will be installed to alert the officer-in-charge if there is any unauthorised/improper movement of an equipment.  Besides, staff concerned will be able to perform fast stocktaking by using a portable RFID reader to locate all AV equipment resided in the offices.  "
N-0003,Project Collaboration System,項目協作系统,"The department is carrying out a feasibility study on a Project Collaboration System (PCS).  In brief, the PCS aims to support administration of public works contracts in an effective manner by means of:
(i) provision of a collaboration platform among external contractors and consultants and internal staff of the department; and
(ii) better management of site documents through the establishment of a unified electronic Document Management System (eDMS).

During the study, we would like to explore if any innovative solutions can cope with the project requirements. The system will have decentralised servers and local network scattered at temporary site offices of construction sites. It is expected severe physical environment will be faced by the IT equipment, e.g. potential expose conditions similar to outdoor and limited/unstable wide area network or Internet connection. We would like to explore for solutions that the equipment can cope with the situation and can perform effectively and securely. ","部門正進行項目協作系統的可行性研究。簡略而言，項目協作系統的目的是支援公務工程合約的行政工作,藉著完成以下項目,以使行政工作得以有效進行:-
(一) 提供一個協作平台供承建商,顧問公司以及部門員工共同使用; 及
(二) 建立一個統一的電子文檔管理系統以便更佳管理工地文件。

在這個研究過程中，我們想要探索任何能處理這項目需求的創新解決方案。這系統的伺服器及區域網路將會分散在各個建築工地的臨時工地辦公室，我們預期有關電腦設施會面對一些嚴峻的外在環境，例如相似於戶外的環境,和有限或不穩定的廣域網路或互聯網連接，我們想探索一些解決方案, 以使有關電腦設施能夠應付此情況而可有效及安全地運作。","Technical solutions with the following information:
1. Product type with brand name
2. Cost estimate
3. Name and contact of companies providing the product with support services
4. Proof of concept or verified test result ","包括以下資訊的技術方案:
1. 產品的品牌名稱及種類
2. 估計價格
3. 提供有關產品及其支援服務的公司的聯絡人資料
4. 概念驗証及試驗結果","Development
Infrastructure
","Mobile Technologies
Robotic Process Automation
Advanced Environmental Technology
","Project Collaboration System. The department is carrying out a feasibility study on a Project Collaboration System (PCS).  In brief, the PCS aims to support administration of public works contracts in an effective manner by means of:
(i) provision of a collaboration platform among external contractors and consultants and internal staff of the department; and
(ii) better management of site documents through the establishment of a unified electronic Document Management System (eDMS).

During the study, we would like to explore if any innovative solutions can cope with the project requirements. The system will have decentralised servers and local network scattered at temporary site offices of construction sites. It is expected severe physical environment will be faced by the IT equipment, e.g. potential expose conditions similar to outdoor and limited/unstable wide area network or Internet connection. We would like to explore for solutions that the equipment can cope with the situation and can perform effectively and securely. . Technical solutions with the following information:
1. Product type with brand name
2. Cost estimate
3. Name and contact of companies providing the product with support services
4. Proof of concept or verified test result "
N-0004,Automated Cyber Security Information Analysis,自動化網絡安全資訊分析,"The Office of the Government Chief Information Officer launched a cross-sector cyber security information sharing and collaborative platform (the Platform) in Hong Kong in September 2018 to enhance the exchange of cyber security information with various sectors to jointly defend against cyber attacks.  In view of the volume and variety of cyber security information, it is considered that artificial intelligence (AI) and big data analytics technologies would enhance the effectiveness of sharing and turn information into actionable intelligence.",政府資訊科技總監辦公室於2018年9月推出跨行業的網絡安全資訊共享協作平台（下稱「平台」），加強與各界交流網絡安全資訊，攜手防禦網絡攻擊。由於平台上的網絡安全資訊數量和種類繁多，因此我們需要利用人工智能和大數據分析技術，以促進資訊共享的效率，並將資訊轉化為可採取行動的情報。,"To adopt AI, big data analytics and related technologies to transform cyber security information into actionable intelligence by:
a. finding out correlation of similar cyber security information;
b. summarisation for easier digestion of the cyber security information and understanding the impact; and
c. adoption of any other textual analytics techniques to unleash the value of the cyber security information.","採用人工智能，大數據分析和相關技術，通過以下的方式將網絡安全資訊轉化為可操作的情報：
- 找出相似網絡安全資訊的關係;
- 總結網絡安全資訊，以便更容易明白並了解其影響; 及
- 採用任何其他文本分析技術以釋放網絡安全資訊的價值。","Law and Security
","Artificial Intelligence (AI)
Data Analytics
Deep Learning
Machine Learning
Natural Language Processing
Predictive Analytics
","Automated Cyber Security Information Analysis. The Office of the Government Chief Information Officer launched a cross-sector cyber security information sharing and collaborative platform (the Platform) in Hong Kong in September 2018 to enhance the exchange of cyber security information with various sectors to jointly defend against cyber attacks.  In view of the volume and variety of cyber security information, it is considered that artificial intelligence (AI) and big data analytics technologies would enhance the effectiveness of sharing and turn information into actionable intelligence.. To adopt AI, big data analytics and related technologies to transform cyber security information into actionable intelligence by:
a. finding out correlation of similar cyber security information;
b. summarisation for easier digestion of the cyber security information and understanding the impact; and
c. adoption of any other textual analytics techniques to unleash the value of the cyber security information."
N-0005,Improvement of Telecommunication Network Service in Rural Areas,改善鄉郊地區的電訊網絡服務,"The telecommunication network services of the offices residing in the rural areas are not very cost-effective.  Due to the lack of economy of business scale, most service providers are not incented to install / enhance their network coverage to these areas.  As a result, the cost of the existing network service is unreasonably high due to monopolization of the existing service provider.  We have been exploring different solutions, including mobile network, to help address the problem.  But the performance is not satisfactory. We hope to find viable technology options which can provide robust and economical telecommunication network services at rural areas.",位處鄉郊地區的辦公室的電訊網絡服務經濟效益十分低。由於缺乏商業效益，大部分電訊服務供應商未有誘因去開拓或拓展其網絡覆蓋範圍至鄉郊地區。因此，在現有電訊服務供應商的壟斷下，現時鄉郊地區辦公室的網絡服務費用處於極不合理的水平。本署一直尋求不同的解決方案，包括流動網絡，但效果未能令人滿意。本署期望可找到可行技術，為鄉郊地區提供穩妥及高經濟效益的電訊網絡服務。,A robust and more economical telecommunication network services for the offices residing in the rural areas.,位處鄉郊地區的辦公室可使用穩妥及高經濟效益的電訊網絡服務。,"Infrastructure
","Mobile Technologies
Telecommunications
","Improvement of Telecommunication Network Service in Rural Areas. The telecommunication network services of the offices residing in the rural areas are not very cost-effective.  Due to the lack of economy of business scale, most service providers are not incented to install / enhance their network coverage to these areas.  As a result, the cost of the existing network service is unreasonably high due to monopolization of the existing service provider.  We have been exploring different solutions, including mobile network, to help address the problem.  But the performance is not satisfactory. We hope to find viable technology options which can provide robust and economical telecommunication network services at rural areas.. A robust and more economical telecommunication network services for the offices residing in the rural areas."
N-0006,Image Matching for Insect Knowledge Base,昆蟲知識庫的圖像配對技術,"The department has been keeping a database repository of insect and specimens for decades.  The department intends to establish a structured knowledge base (KB) about different species of insects.  According to the expert of the subject area, one of the challenges to establish the KB is matching the newly found specimen against the image database which was created via highly sophisticated microscopic devices.  As the industry players keep discovering new species (such as:https://hk.news.appledaily.com/local/daily/article/20190402/20646945), the image matching challenge could be a hurdle for the KB.  We hope to find viable technology which can improve the image matching accuracy for insects.",本署經多年累積，儲有一昆蟲和標本資料的數據庫，並正計劃建立一個關於不同昆蟲品種的結構化知識庫以保存相關資料。根據這範疇的專家意見，建立該知識庫的其中一項挑戰，是將新發現的品種樣本與透過高度先進精密的顯微鏡所建立的圖像數據庫作配對。隨著業界不斷發現新品種(例如https://hk.news.appledaily.com/local/daily/article/20190402/20646945)，圖像配對的挑戰或有礙該知識庫的建立。本署期望找到可行技術，提高昆蟲圖像配對的準確度。,Image matching accuracy for inserts could be improved so that the KB could be established.,提高昆蟲圖像配對的準確度，以助建立有關知識庫。,"Environment
Health
","Artificial Intelligence (AI)
Data Analytics
Deep Learning
Machine Learning
Image Recognition
","Image Matching for Insect Knowledge Base. The department has been keeping a database repository of insect and specimens for decades.  The department intends to establish a structured knowledge base (KB) about different species of insects.  According to the expert of the subject area, one of the challenges to establish the KB is matching the newly found specimen against the image database which was created via highly sophisticated microscopic devices.  As the industry players keep discovering new species (such as:https://hk.news.appledaily.com/local/daily/article/20190402/20646945), the image matching challenge could be a hurdle for the KB.  We hope to find viable technology which can improve the image matching accuracy for insects.. Image matching accuracy for inserts could be improved so that the KB could be established."
N-0007,Building an innovative data bank of construction project costs,建立一個建設項目成本的創新數據庫,"Cost information of construction projects are generally in various forms of different details generated at different stages of projects. There exists a need to consolidate those cost information (e.g. project cost analysis, BQ rates, interim payments, final account data, etc.) at one-stop shop that facilitates application in future estimates, analysis of cost trends, cash flow forecast, vetting of tender prices, valuation of variations, etc. by Big Data Analysis, Artificial Intelligence or other innovative algorithms.",建築項目於不同階段會衍生各種形式及不同細節的成本資料 (例如項目成本分析、合同單價、中期付款、最終結算數據等）。在一站式平台整合這些成本資料有助於應用大數據分析、人工智能或其他創新系統進行估算、成本趨勢分析、現金流量預測、投標價格審查及合同變更估值等。,"Recommendation on building an innovative data bank that fits our needs, including the required methodology, roadmap for development, the associated budget, etc. for forward planning.",建立符合我們需求的創新數據庫的建議，包括所需的方法，發展路線圖，相關預算等，以便進行前瞻性規劃。,"Infrastructure
Construction industry
","Artificial Intelligence (AI)
Data Analytics
Predictive Analytics
","Building an innovative data bank of construction project costs. Cost information of construction projects are generally in various forms of different details generated at different stages of projects. There exists a need to consolidate those cost information (e.g. project cost analysis, BQ rates, interim payments, final account data, etc.) at one-stop shop that facilitates application in future estimates, analysis of cost trends, cash flow forecast, vetting of tender prices, valuation of variations, etc. by Big Data Analysis, Artificial Intelligence or other innovative algorithms.. Recommendation on building an innovative data bank that fits our needs, including the required methodology, roadmap for development, the associated budget, etc. for forward planning."
N-0008,Enhancement of estimating process for construction projects,優化建築項目的估算方法,"An accurate cost estimate is an essential element for a successful construction project. Under-estimation would result in insufficient funding being set aside for a project, while over-estimation would lock up unnecessary funding which would otherwise be available for other deserving projects. Cost estimation involves selection and analysis of suitable cost information from a data bank professionally. Cost estimation is challenging. How Artificial Intelligence and Big Data Analysis can enhance / optimise the estimating process?",準確的成本預算是建築項目的成功要素。過低的預算，會導致為項目預留的撥款不足 ; 而過高的預算則會鎖定不必要的資金，而這些資金或可用於其他值得發展的項目。成本預算涉及以專業知識從數據庫中選擇和分析合適的成本資料，是一項有挑戰性的工作。 如何運用人工智能和大數據分析才能提升或優化估算方法？,Big Data Analysis and Artificial Intelligence can take up the work of analyzing cost information and compiling an accurate cost estimate.,運用大數據分析和人工智能，以便進行成本資料分析及編制準確成本預算的工作。,"Infrastructure
Construction industry
","Artificial Intelligence (AI)
Data Analytics
Predictive Analytics
","Enhancement of estimating process for construction projects. An accurate cost estimate is an essential element for a successful construction project. Under-estimation would result in insufficient funding being set aside for a project, while over-estimation would lock up unnecessary funding which would otherwise be available for other deserving projects. Cost estimation involves selection and analysis of suitable cost information from a data bank professionally. Cost estimation is challenging. How Artificial Intelligence and Big Data Analysis can enhance / optimise the estimating process?. Big Data Analysis and Artificial Intelligence can take up the work of analyzing cost information and compiling an accurate cost estimate."
N-0009,Tree Stability Monitoring System,樹木穩定監察系統,"Tree safety is an important aspect of tree management in the urban areas of Hong Kong.  There is a need to develop a monitoring system which can detect changes in tree stability so as to alert tree owners of unusual tree movements so that they can take timely preventive measures, such as seeking professional advice on tree health in good time.",樹木安全是香港市區樹木管理的重要一環。我們需要開發檢測樹木穩定性變化的監測系統，以通知樹木主人任何不尋常的樹木移動，讓他們能夠及時採取預防措施，例如尋求關於樹木健康的專業意見。,"A monitoring system that comprises tilt sensors for detecting tree movements and a wireless network for transmitting and receiving data.  The system would make use of the monitoring data to analyse tree stability through the application of big data and artificial intelligence algorithms.
","預期成果為一套使用傾斜傳感器和無線數據收發的樹木移動監察系統。該系統能夠利用所收集的數據，通過大數據和人工智計算法進行樹木穩定性分析。
","City Management
Environment
Tree Management
","Artificial Intelligence (AI)
Data Analytics
Deep Learning
Internet of Things (IoT)
Machine Learning
Predictive Analytics
","Tree Stability Monitoring System. Tree safety is an important aspect of tree management in the urban areas of Hong Kong.  There is a need to develop a monitoring system which can detect changes in tree stability so as to alert tree owners of unusual tree movements so that they can take timely preventive measures, such as seeking professional advice on tree health in good time.. A monitoring system that comprises tilt sensors for detecting tree movements and a wireless network for transmitting and receiving data.  The system would make use of the monitoring data to analyse tree stability through the application of big data and artificial intelligence algorithms.
"
N-0010,AI-powered Learning Platform,智能學習平台,"1. Consolidate learning content and activities into a single platform
2. Create, organize, track and distribute learning content
3. Suggest learning paths/content according to business objectives or after studying learners' habits   
4. Integrate with Massive Open Online Courses (MOOCs), e.g. edX, coursera and other external sources
5. Automatically mine relevant learning content from internal and external sources and keep it up to date
6. Analyse figures and generate reports
7. Promote a collaborative learning environment where learners discuss and resolve issues arising from the learning content ","1. 整合所有不同的學習資源及活動到單一平台上
2. 建立、管理、追踪和發佈學習資源
3. 依據業務目標或使用者的學習習慣向他們建議學習資源及方向
4. 兼容主流的大規模開放線上課堂 (MOOCs)，例如edX, coursera 等
5. 智能探勘組織內部或網上公開的相關學習資源及更新內容
6. 分析學習數據並生成詳細報告
7. 透過使用者間討論及互相幫忙解決學習上的疑問，推動協作學習風氣",AI-powered learning platform for all staff,開放智能學習平台供全體人員使用,"Education
","Artificial Intelligence (AI)
Data Analytics
","AI-powered Learning Platform. 1. Consolidate learning content and activities into a single platform
2. Create, organize, track and distribute learning content
3. Suggest learning paths/content according to business objectives or after studying learners' habits   
4. Integrate with Massive Open Online Courses (MOOCs), e.g. edX, coursera and other external sources
5. Automatically mine relevant learning content from internal and external sources and keep it up to date
6. Analyse figures and generate reports
7. Promote a collaborative learning environment where learners discuss and resolve issues arising from the learning content . AI-powered learning platform for all staff"
