Reference Code,Solution Name (Eng),Cosine-Similarity
S-0022,A smart lamp pole system with AI-enabled security system,0.8928918242454529
S-0234,Pixel Eye Vision-Based Fall Detection,0.8902413845062256
S-0286,IoT Sensors and Automatic Monitoring System (AMS),0.8855799436569214
S-0220,3D Spatial Intelligence Platform for flow and traffic managements,0.8843594789505005
S-0036,Intelligent Traffic Monitoring,0.8758755922317505
S-0112,Pyxis - The Internet of Things(IoT) Solution for Construction 2.0 and Beyond,0.8757458925247192
S-0061,A.I. and Mixed Reality Solution,0.8740860819816589
S-0153,Dynatrace,0.8693933486938477
S-0044,AI Escalator Safety Monitoring System,0.8680477738380432
S-0264,Smart Parking with Video Analytics,0.8604649901390076
S-0213,Radar-based smart motion and position tracking system,0.8598518967628479
S-0100,Super Massive 3D Model Data Expert,0.8575132489204407
S-0196,Personnel and Asset positioning management system,0.8564304709434509
S-0181,Artificial Intelligence Camera Solutions,0.855906069278717
S-0288,Mixed language Chatbot system with AI and voice functions,0.8557635545730591
S-0031,PowerArena - Smart City Operations Platform,0.8536311388015747
S-0299,Office Delivery Robot,0.8530486226081848
S-0243,LiDAR Road Monitoring Solutions based on Deep Learning Technology,0.8525927066802979
S-0232,"""Smart"" Car Park Management System",0.8520766496658325
S-0267,Smart Fever Screening System,0.8517387509346008
S-0233,Area monitoring solution using 3D camera with privacy-preserving,0.8514772057533264
S-0006,Centimeter level precision GNSS positioning Android tablet/smartphone,0.8513866662979126
S-0177,MAD Gaze Smart Glass,0.8486591577529907
S-0081,iQ-Road and Traffic Management,0.8480238318443298
S-0038,Hybrid Reality Platform,0.8472264409065247
S-0165,Health Monitoring System,0.8471028208732605
S-0079,"1/ AccuID, 2/ Pedestrian Analytics, 3/ Vehicle Analytics",0.8452582359313965
S-0204,DOLPHIN Indoor Positioning Service (IPS),0.8435671925544739
S-0102,Miovision's Portable Solution for Traffic Data Collection,0.8434430360794067
S-0072,Digital Twin of the City (or Town),0.8433454632759094
S-0170,Nixplay Signage,0.8425029516220093
S-0132,Mobility Mesh Wi-Fi Application for Smart City,0.8422942757606506
S-0219,"VR Virtual Store, Training & Education System",0.8419511318206787
S-0201,Non image base access control,0.8405891060829163
S-0067,AR Smart Glass Assisted for equipment training and O&M,0.8400459289550781
S-0235,Pixel Eye Safety Helmets Detection,0.8397237658500671
S-0043,fieldConnect,0.8390038013458252
S-0055,Smart City Electric Vehicle (EV) Charging Infrastructure Solution,0.8389003276824951
S-0253,Intelligent Face Mask,0.8356794118881226
S-0174,VR Training & Education System,0.8354254364967346
S-0113,Video Analytics Solution,0.8352422118186951
S-0191,NoQ E Form registration and quota distribution for massive traffic,0.8348662257194519
S-0266,Site Audit and Inspection Recording System,0.8347601890563965
S-0162,Automate the verification of electronic documents,0.8334973454475403
S-0159,Integrated Smart Film Solutions,0.8332865238189697
S-0292,Telepresence and Video Conferencing Solution,0.8329983353614807
