Reference Code,Solution Name (Eng),Cosine-Similarity
S-0211,Customised Mobile Application solution,0.8570746183395386
S-0095,Create Efficient and Simplify Business Processes Using NFC,0.8442330360412598
S-0102,Miovision's Portable Solution for Traffic Data Collection,0.832761824131012
S-0119,Ziizau - Optimization of route design,0.8312784433364868
S-0299,Office Delivery Robot,0.8304548859596252
S-0249,Robotic Process Automation with A.I. Data Capturing Capability,0.8274024128913879
S-0028,ShipAny - First Smart Logistics Gateway for HK Domestic Logistics Service,0.8255847096443176
S-0112,Pyxis - The Internet of Things(IoT) Solution for Construction 2.0 and Beyond,0.8252406716346741
S-0261,DragOnce Platform,0.8248588442802429
S-0197,WCL Robotic Process Automation Solution,0.8240398168563843
S-0260,Mobile platform with handheld devices for on-site inspection and remote work duties,0.8215726017951965
S-0152,Datax,0.8206515908241272
S-0153,Dynatrace,0.8153464198112488
S-0006,Centimeter level precision GNSS positioning Android tablet/smartphone,0.8152801394462585
S-0118,Alteryx,0.8139023780822754
S-0191,NoQ E Form registration and quota distribution for massive traffic,0.8129686713218689
S-0096,Clare.AI Asian Language Chatbot Solutions,0.8124643564224243
S-0021,ReportNOW,0.8116476535797119
S-0043,fieldConnect,0.8113285303115845
S-0288,Mixed language Chatbot system with AI and voice functions,0.8112614750862122
S-0162,Automate the verification of electronic documents,0.8103963732719421
S-0100,Super Massive 3D Model Data Expert,0.8086317181587219
S-0262,Mobile application development,0.8079974055290222
S-0236,Workflow automation solution,0.8069524765014648
S-0286,IoT Sensors and Automatic Monitoring System (AMS),0.8059896230697632
S-0094,Digital Transformation with Low code development platform,0.8051310777664185
S-0256,AIOps (Artificial Intelligence for IT Operations) Solution,0.8040882349014282
S-0053,Real-Time Origin-Destination Analysis Tool (RODAT）,0.8038055300712585
S-0264,Smart Parking with Video Analytics,0.8037395477294922
S-0203,Government payment scheme online application and data processing,0.8033652305603027
S-0121,Chatbot Solution and NLP applications from ZhuiYi Technology,0.8033583164215088
S-0038,Hybrid Reality Platform,0.803068220615387
S-0282,Chatbot Solution - ccRobot,0.8007720112800598
S-0055,Smart City Electric Vehicle (EV) Charging Infrastructure Solution,0.8001640439033508
S-0279,RoomQ virtual waiting room for massive traffic,0.7997859120368958
S-0087,Smart Citizen and Employee Self-Services,0.7950714230537415
S-0079,"1/ AccuID, 2/ Pedestrian Analytics, 3/ Vehicle Analytics",0.7950431704521179
S-0048,AI-based Application,0.7945940494537354
S-0083,Smart Pharma Packaging,0.7917205691337585
S-0088,Public vehicle real-time arrival forecast system and real-time seat detection system,0.791714072227478
S-0168,IXIA Vision ONE (Network Packet Broker),0.7914388179779053
S-0089,Smart Infrastructure Projects Planning and Execution,0.7911578416824341
S-0266,Site Audit and Inspection Recording System,0.7905990481376648
S-0001,PixelEye Object Detection,0.7895941138267517
S-0085,SAP Geospatial Asset Management,0.7893648743629456
S-0045,SAP Big Data Solution,0.7875683903694153
S-0283,All-in-one Mobile Productivity Platform,0.7872846722602844
S-0090,Smart Employee Learning Management,0.7866166234016418
S-0259,Software Robotic Solution - iBot,0.7863462567329407
S-0240,Multilingual Voice Assistant,0.7852376699447632
S-0244,ServiceNow - ITSM solution,0.7849777936935425
S-0039,iQ-Dwell Time Management System,0.7842831611633301
S-0196,Personnel and Asset positioning management system,0.7841929197311401
S-0224,OceanX Workflow,0.7838265299797058
S-0103,SP-RFID Smart Asset Management System,0.7836816310882568
S-0254,FormExtractor,0.7835974097251892
S-0287,Siemens Mobility (e-)bike sharing powered by AI,0.7830740809440613
S-0134,Smart Building - Energy Management and Optimization Solutions,0.7822131514549255
S-0125,"BIM, BMS and IoT Integration",0.7820159792900085
S-0031,PowerArena - Smart City Operations Platform,0.7814950942993164
S-0232,"""Smart"" Car Park Management System",0.7791983485221863
S-0296,BLOK Pass App for Travel Bubble,0.7791343927383423
S-0220,3D Spatial Intelligence Platform for flow and traffic managements,0.7785471081733704
S-0300,Smart Guiding Robot,0.7779636383056641
S-0084,NFC Product Authentication,0.7777867913246155
S-0183,An Intelligent Solution for Automatic Processing and Chasing of Documents,0.7775543332099915
S-0214,ACX Visitor Management System,0.7775423526763916
S-0177,MAD Gaze Smart Glass,0.7768491506576538
S-0252,Critical Event Management,0.7768084406852722
S-0071,All-in-one Data Center - iDCmini System,0.7753117680549622
S-0131,ISS Project Management System,0.7747937440872192
S-0170,Nixplay Signage,0.7738814353942871
S-0037,4D Immersive CAVE,0.7736399173736572
S-0250,UiPath Automation Platform,0.7730317115783691
S-0217,nCloud Fault-Tolerant Geo-distributed Hyperconverged Infrastructure (HCI),0.7730255722999573
S-0273,Talos,0.7730180025100708
S-0204,DOLPHIN Indoor Positioning Service (IPS),0.7713643908500671
S-0033,ATAL’s Cloud-based Chiller Plant Energy Management Platform (EM-Platform),0.7710642218589783
S-0072,Digital Twin of the City (or Town),0.7700896859169006
S-0166,IXIA BREAKINGPOINT,0.7700827717781067
S-0195,SuperAcc Document Intelligence,0.7694801688194275
S-0280,Digital parking solutions for enterprise (Include online pre booking and payment settle),0.7694612145423889
S-0035,Document Delivery By Unmanned Vehicle,0.7689327001571655
S-0163,Ai-Knowie,0.7683681845664978
S-0275,SMore-OCR,0.7682740092277527
S-0243,LiDAR Road Monitoring Solutions based on Deep Learning Technology,0.7679845690727234
S-0242,Queue-it -  Virtual Waiting Room,0.7674289345741272
S-0239,InterOps Accelerator,0.7669306397438049
S-0122,"Smart City Solution - IoT, AI, Data Analytics Platform, Control",0.7663169503211975
S-0029,"Field Services Management System using IoT, GIS and Mobile Technologies",0.7662592530250549
S-0008,Shape Security - Shape Enterprise Defense,0.7659637928009033
S-0292,Telepresence and Video Conferencing Solution,0.765953779220581
S-0065,Smart Mobility,0.7659080028533936
S-0105,Blockchain solution,0.7650914788246155
S-0003,GeoSpatial Cloud,0.7646287679672241
S-0216,BMC Helix Service & Operations Management,0.7643902897834778
S-0245,Locobike：Automatic Bicycle Rental System,0.7634047865867615
S-0004,Euclideon Vault - Smart City IOT 3D visualization,0.7630311250686646
S-0154,Cisco Stealthwatch Encrypted Traffic Analytics,0.7622407674789429
S-0020,Machines Predictive Maintenance,0.7616580724716187
S-0165,Health Monitoring System,0.7608879804611206
S-0127,Event Management technology,0.760223388671875
S-0092,Enable the wireless connectivity for IoT devices,0.7597278356552124
S-0047,Smart Taxpayer Services with Machine Learning,0.7591662406921387
S-0219,"VR Virtual Store, Training & Education System",0.7590815424919128
S-0026,Knowledge Management Solution (KM Power),0.7587632536888123
S-0209,Control-M (BMC Software),0.7587509751319885
S-0155,Stella Enterprise Chatbot Builder,0.7573135495185852
S-0080,OceanX Cloud-based Enterprise Content Management (ECM),0.7573083639144897
S-0066,Smart Water Management,0.7569847702980042
S-0070,Well井 Smart Water Station,0.7567614912986755
S-0050,Deloitte ASSIST,0.7566877007484436
S-0002,DataCube Data Intelligent Automation Solution,0.7555392980575562
S-0233,Area monitoring solution using 3D camera with privacy-preserving,0.7552447319030762
S-0247,Seclore Digital Rights Management,0.7550927400588989
S-0099,NB IoT Sensor Solution,0.7543964385986328
S-0167,IXIA ThreatARMOR,0.7535991072654724
S-0142,NetMotion Mobility,0.7532926797866821
S-0081,iQ-Road and Traffic Management,0.7524487376213074
S-0225,DocAnalyzer - Document Review Solution,0.7520033717155457
S-0046,SAP Digital Boardroom,0.7517584562301636
S-0179,"""TeleVoice""  AI Robot Solution for DHS (Demographic and Health Surveys)",0.7516799569129944
S-0049,Blockchain Solution,0.7515662908554077
S-0174,VR Training & Education System,0.7511685490608215
S-0253,Intelligent Face Mask,0.7506844997406006
S-0110,People Counting System (PCS),0.7499313950538635
S-0228,eClass Corporate Learning Management System (LMS),0.7494938373565674
S-0194,UWB Beacon RTLS Solution,0.7474412322044373
S-0022,A smart lamp pole system with AI-enabled security system,0.746147096157074
S-0082,A.I. Contact Center and User Engagement Solution,0.7455368041992188
S-0186,Technology of independent intellectual property identity authentication and tracking of close contacts of patients to assist in epidemic prevention and control and return to work,0.7442644834518433
S-0221,AI and IT enhanced learning platform,0.7435877919197083
S-0231,AI Information push service management system,0.7435402274131775
S-0182,AppProtect+ (RASP) / YESsafe Zero Login (OTP) / AccessMatrix Universal Sign-On (SSO),0.7430331110954285
S-0181,Artificial Intelligence Camera Solutions,0.7430108189582825
S-0067,AR Smart Glass Assisted for equipment training and O&M,0.7429207563400269
S-0265,Business Process Management Platform,0.7419494986534119
S-0032,AI+IAQ Proptech: Zonal object counting by skeleton & form recognition integrated with indoor environmental control and room utilization management,0.7415608763694763
S-0124,Enterprise Intelligent Assistant,0.7415592670440674
S-0101,​LANDRAY Office Automation (OA) system solutions,0.7406450510025024
S-0132,Mobility Mesh Wi-Fi Application for Smart City,0.7403438091278076
S-0199,V-Key Mobile App Protection,0.7399589419364929
S-0057,Artificial Intelligence Security Surveillance Protection  (AISSP),0.7395372986793518
S-0061,A.I. and Mixed Reality Solution,0.7394632697105408
S-0202,One card e-payment solution for GBA(Guangdong-hong kong-Macao Greater Bay area),0.738960325717926
S-0051,Insight Driven Organization (IDO),0.7388433218002319
S-0058,IoT Cybersecurity Testing and Certification Program,0.7383314371109009
S-0060,FROM Network Audit Programs,0.7379207015037537
S-0241,Intelligent Data Platform,0.7377315163612366
S-0056,Advanced Contextual Analytic Solution for public enquiries,0.7374117970466614
S-0126,Self Service Business Intelligence,0.7373062372207642
S-0234,Pixel Eye Vision-Based Fall Detection,0.7371448278427124
S-0111,Smart car park solution,0.7360135912895203
S-0157,NLP-powered Chatbot by Xiaomi,0.735571563243866
S-0115,All-in-one event management software,0.7347911596298218
S-0024,Automated Refuse Collection System with 1 chute for multi fractions,0.7347154021263123
S-0208,Indoor Map and Positioning for Smart City,0.7342379689216614
S-0017,Falling Alert System for Elderly Care-- Optical Monitoring System (OMS),0.7328360676765442
S-0230,STEMHUB Education Platform,0.7328186631202698
S-0267,Smart Fever Screening System,0.7320416569709778
S-0215,Self Check-in system for self-quarantined personal,0.7314958572387695
S-0044,AI Escalator Safety Monitoring System,0.7314663529396057
S-0128,Iris by HKT - From Surveillance to Intelligence,0.7307071685791016
S-0238,Rice Robotics,0.7305196523666382
S-0138,Radware DefensePro and AppWall,0.7301594018936157
S-0034,Cloud Energy Management Platform,0.7300915718078613
S-0169,Robotic Assistant,0.7297801971435547
S-0059,EMF Workplaces Evaluation Program,0.7295253276824951
S-0073,Enlighted Multi-Features Micro IoT Sensors Solution,0.7283571362495422
S-0104,Litbulb Technologies,0.7275818586349487
S-0187,Provide an implementation plan for the Hongkong Financial Secretary's policy of granting HK $10 thousand to permanent residents aged 18 or above.,0.7273252010345459
S-0176,Epidemic prevention and control management system,0.7272917032241821
S-0148,Zscaler,0.7272325754165649
S-0156,Neo,0.7270274758338928
S-0251,Self Service Bike Rental Solution,0.7268435955047607
S-0255,Authgear,0.7266028523445129
S-0075,Altai SuperWiFi Solution,0.7263149619102478
S-0171,Augmented Reality (AR) model,0.7262561321258545
S-0062,Parkingbnb,0.7260933518409729
S-0281,"Smart 5G Integrated Multi-Operator Active Distributed Antenna Solution for Malls, Venues and Stadiums",0.723970890045166
S-0016,Cyclops -- Smart City & unmanned store solution,0.7239359617233276
S-0120,Raspect-ACE,0.7220181822776794
S-0010,Precise Facility Crowd Analysis,0.7219073176383972
S-0093,DataOS System,0.7218947410583496
S-0097,Smart Home e-Health Monitoring and Care System,0.7209610939025879
S-0078,Finger Vein PBI (Public Biometric Infrastructure) Platform for Smart City ID Authentication,0.720550537109375
S-0129,Automatic ID/Travel Document Recognition and Validation - OCR Solution,0.7191994786262512
S-0141,HubSecurity,0.7191181182861328
S-0147,Privacy-aware people counting system using Smart Radar sensor,0.7188552021980286
S-0027,Big Data Enabler Service (project based),0.7172958850860596
S-0011,Precise Outdoor Crowd Analysis,0.7166415452957153
S-0190,Una Interactive Training Platform,0.7161855697631836
S-0212,AI Solution for Outdoor People Counting without invading privacy,0.7161269187927246
S-0140,Drivelock,0.7160207033157349
S-0019,Personalized Education System,0.7159873843193054
S-0116,Smart Parking Solution,0.7159703373908997
S-0054,TicketME Blockchain Ticketing Platform,0.7151942253112793
S-0013,Public Event Tracking and Early Warning Analysis System,0.7148580551147461
S-0135,ISS Analytics Services,0.713886559009552
S-0322,NB-IoT / LoRa Dual-detection Smart Parking Sensing Technology,0.7133830785751343
S-0139,imVision,0.7132335901260376
S-0091,Next Generation Growable Optical Networks,0.7131073474884033
S-0052,OpenCloud CMP,0.712743878364563
S-0289,Life Planning & Blockchain,0.7127367854118347
S-0213,Radar-based smart motion and position tracking system,0.7125229239463806
S-0145,Arcserve® Appliance Series,0.7124252915382385
S-0189,COVID19 Community Prevention Software System,0.711816132068634
S-0133,PANGA - Data Infrastructure Edge Computing for Smart Cities,0.7111908793449402
