Reference Code,Solution Name (Eng),Cosine-Similarity
S-0231,AI Information push service management system,0.8404998779296875
S-0240,Multilingual Voice Assistant,0.8276959657669067
S-0124,Enterprise Intelligent Assistant,0.8196403980255127
S-0082,A.I. Contact Center and User Engagement Solution,0.8073567748069763
S-0021,ReportNOW,0.8039244413375854
S-0121,Chatbot Solution and NLP applications from ZhuiYi Technology,0.7912697792053223
S-0288,Mixed language Chatbot system with AI and voice functions,0.7910019159317017
S-0283,All-in-one Mobile Productivity Platform,0.7899845838546753
S-0300,Smart Guiding Robot,0.7850115895271301
S-0282,Chatbot Solution - ccRobot,0.7815751433372498
S-0142,NetMotion Mobility,0.7800685167312622
S-0292,Telepresence and Video Conferencing Solution,0.7721587419509888
S-0128,Iris by HKT - From Surveillance to Intelligence,0.7706094980239868
S-0031,PowerArena - Smart City Operations Platform,0.7702254056930542
S-0186,Technology of independent intellectual property identity authentication and tracking of close contacts of patients to assist in epidemic prevention and control and return to work,0.7692198157310486
S-0043,fieldConnect,0.7680850625038147
S-0075,Altai SuperWiFi Solution,0.7666959166526794
S-0216,BMC Helix Service & Operations Management,0.766674280166626
S-0279,RoomQ virtual waiting room for massive traffic,0.7647741436958313
S-0246,Remo Video Conferencing,0.7630307674407959
S-0152,Datax,0.7622060179710388
S-0069,Citizen Cloud,0.7621269226074219
S-0169,Robotic Assistant,0.761664867401123
S-0232,"""Smart"" Car Park Management System",0.7606608867645264
S-0157,NLP-powered Chatbot by Xiaomi,0.7603916525840759
S-0247,Seclore Digital Rights Management,0.7596918344497681
S-0155,Stella Enterprise Chatbot Builder,0.7579623460769653
S-0182,AppProtect+ (RASP) / YESsafe Zero Login (OTP) / AccessMatrix Universal Sign-On (SSO),0.757239043712616
S-0214,ACX Visitor Management System,0.7563802003860474
S-0148,Zscaler,0.7549610137939453
S-0096,Clare.AI Asian Language Chatbot Solutions,0.7526763677597046
S-0065,Smart Mobility,0.7525992393493652
S-0259,Software Robotic Solution - iBot,0.7524736523628235
S-0165,Health Monitoring System,0.7519888877868652
S-0181,Artificial Intelligence Camera Solutions,0.751423180103302
S-0138,Radware DefensePro and AppWall,0.7504238486289978
S-0168,IXIA Vision ONE (Network Packet Broker),0.7498898506164551
S-0215,Self Check-in system for self-quarantined personal,0.7486603856086731
S-0286,IoT Sensors and Automatic Monitoring System (AMS),0.7484245896339417
S-0183,An Intelligent Solution for Automatic Processing and Chasing of Documents,0.7476967573165894
S-0179,"""TeleVoice""  AI Robot Solution for DHS (Demographic and Health Surveys)",0.7476056218147278
S-0211,Customised Mobile Application solution,0.7473946213722229
S-0223,OceanX Share,0.7468116879463196
S-0194,UWB Beacon RTLS Solution,0.7462392449378967
S-0154,Cisco Stealthwatch Encrypted Traffic Analytics,0.7453044652938843
S-0203,Government payment scheme online application and data processing,0.7452942728996277
S-0255,Authgear,0.7451841831207275
S-0127,Event Management technology,0.7451224327087402
S-0057,Artificial Intelligence Security Surveillance Protection  (AISSP),0.7427793145179749
S-0296,BLOK Pass App for Travel Bubble,0.7422206997871399
S-0056,Advanced Contextual Analytic Solution for public enquiries,0.7415000200271606
S-0275,SMore-OCR,0.7410062551498413
S-0105,Blockchain solution,0.7403336763381958
S-0049,Blockchain Solution,0.7400748133659363
S-0261,DragOnce Platform,0.7393752336502075
S-0260,Mobile platform with handheld devices for on-site inspection and remote work duties,0.7391250729560852
S-0104,Litbulb Technologies,0.7389314770698547
S-0095,Create Efficient and Simplify Business Processes Using NFC,0.7382984757423401
S-0087,Smart Citizen and Employee Self-Services,0.7358035445213318
S-0294,Live Webinar Streaming service,0.7346441745758057
S-0113,Video Analytics Solution,0.7344492673873901
S-0132,Mobility Mesh Wi-Fi Application for Smart City,0.7343692779541016
S-0013,Public Event Tracking and Early Warning Analysis System,0.7341674566268921
S-0237,V-K V-OS Cloud Solutions,0.7333288788795471
S-0248,OFS Website Tracking System,0.7327664494514465
S-0093,DataOS System,0.7325065732002258
S-0199,V-Key Mobile App Protection,0.7318890690803528
S-0029,"Field Services Management System using IoT, GIS and Mobile Technologies",0.7311214804649353
S-0080,OceanX Cloud-based Enterprise Content Management (ECM),0.730705738067627
S-0280,Digital parking solutions for enterprise (Include online pre booking and payment settle),0.730276882648468
S-0004,Euclideon Vault - Smart City IOT 3D visualization,0.7301621437072754
S-0109,Face Recognition Door Access System,0.7289904952049255
S-0234,Pixel Eye Vision-Based Fall Detection,0.7273494005203247
S-0092,Enable the wireless connectivity for IoT devices,0.727159857749939
S-0097,Smart Home e-Health Monitoring and Care System,0.7271395325660706
S-0041,A.I. and speech solutions by Nexify and iFLYTEK,0.7259246110916138
S-0170,Nixplay Signage,0.725811779499054
S-0230,STEMHUB Education Platform,0.7257128357887268
S-0241,Intelligent Data Platform,0.7253168225288391
S-0242,Queue-it -  Virtual Waiting Room,0.7249736785888672
S-0122,"Smart City Solution - IoT, AI, Data Analytics Platform, Control",0.7231961488723755
S-0262,Mobile application development,0.7229437828063965
S-0008,Shape Security - Shape Enterprise Defense,0.7227616310119629
S-0254,FormExtractor,0.722651481628418
S-0281,"Smart 5G Integrated Multi-Operator Active Distributed Antenna Solution for Malls, Venues and Stadiums",0.7225880026817322
S-0166,IXIA BREAKINGPOINT,0.7224754095077515
S-0167,IXIA ThreatARMOR,0.722362220287323
S-0187,Provide an implementation plan for the Hongkong Financial Secretary's policy of granting HK $10 thousand to permanent residents aged 18 or above.,0.7220237851142883
S-0028,ShipAny - First Smart Logistics Gateway for HK Domestic Logistics Service,0.7218427062034607
S-0236,Workflow automation solution,0.7214873433113098
S-0003,GeoSpatial Cloud,0.7202932238578796
S-0140,Drivelock,0.720219612121582
S-0063,UHD Multi-Channel Video Live Broadcast,0.7186719179153442
S-0220,3D Spatial Intelligence Platform for flow and traffic managements,0.7183331251144409
S-0195,SuperAcc Document Intelligence,0.7170866131782532
S-0083,Smart Pharma Packaging,0.7161041498184204
S-0219,"VR Virtual Store, Training & Education System",0.7157741189002991
S-0110,People Counting System (PCS),0.7153657078742981
S-0061,A.I. and Mixed Reality Solution,0.7149972915649414
S-0129,Automatic ID/Travel Document Recognition and Validation - OCR Solution,0.7149906754493713
S-0197,WCL Robotic Process Automation Solution,0.7148813009262085
S-0228,eClass Corporate Learning Management System (LMS),0.7146986722946167
S-0102,Miovision's Portable Solution for Traffic Data Collection,0.714400053024292
S-0172,Earthy,0.7143621444702148
S-0153,Dynatrace,0.7134778499603271
S-0078,Finger Vein PBI (Public Biometric Infrastructure) Platform for Smart City ID Authentication,0.7131786346435547
