Reference Code,Solution Name (Eng),Cosine-Similarity
S-0299,Office Delivery Robot,0.8228515386581421
S-0292,Telepresence and Video Conferencing Solution,0.8199314475059509
S-0169,Robotic Assistant,0.8110575675964355
S-0095,Create Efficient and Simplify Business Processes Using NFC,0.8076061606407166
S-0035,Document Delivery By Unmanned Vehicle,0.805335283279419
S-0282,Chatbot Solution - ccRobot,0.8015047311782837
S-0028,ShipAny - First Smart Logistics Gateway for HK Domestic Logistics Service,0.7969763278961182
S-0090,Smart Employee Learning Management,0.7946192026138306
S-0260,Mobile platform with handheld devices for on-site inspection and remote work duties,0.7939009666442871
S-0088,Public vehicle real-time arrival forecast system and real-time seat detection system,0.7878314852714539
S-0177,MAD Gaze Smart Glass,0.7846688032150269
S-0249,Robotic Process Automation with A.I. Data Capturing Capability,0.7838716506958008
S-0030,IoT Building Access Control System,0.7835596203804016
S-0087,Smart Citizen and Employee Self-Services,0.7809230089187622
S-0211,Customised Mobile Application solution,0.7806910872459412
S-0048,AI-based Application,0.7802333235740662
S-0021,ReportNOW,0.7801870703697205
S-0264,Smart Parking with Video Analytics,0.7781524658203125
S-0300,Smart Guiding Robot,0.7775477766990662
S-0259,Software Robotic Solution - iBot,0.7773913145065308
S-0134,Smart Building - Energy Management and Optimization Solutions,0.775886058807373
S-0232,"""Smart"" Car Park Management System",0.7758327126502991
S-0283,All-in-one Mobile Productivity Platform,0.774994969367981
S-0089,Smart Infrastructure Projects Planning and Execution,0.7748770713806152
S-0196,Personnel and Asset positioning management system,0.7742035388946533
S-0026,Knowledge Management Solution (KM Power),0.7703583240509033
S-0121,Chatbot Solution and NLP applications from ZhuiYi Technology,0.7673315405845642
S-0244,ServiceNow - ITSM solution,0.7661589980125427
S-0118,Alteryx,0.7651644945144653
S-0112,Pyxis - The Internet of Things(IoT) Solution for Construction 2.0 and Beyond,0.7649987936019897
S-0033,ATAL’s Cloud-based Chiller Plant Energy Management Platform (EM-Platform),0.7648804187774658
S-0127,Event Management technology,0.7648004293441772
S-0197,WCL Robotic Process Automation Solution,0.7646750807762146
S-0043,fieldConnect,0.764651894569397
S-0153,Dynatrace,0.7642962336540222
S-0250,UiPath Automation Platform,0.7637284994125366
S-0261,DragOnce Platform,0.7635605335235596
S-0228,eClass Corporate Learning Management System (LMS),0.7634695768356323
S-0179,"""TeleVoice""  AI Robot Solution for DHS (Demographic and Health Surveys)",0.7623668313026428
S-0038,Hybrid Reality Platform,0.7606809735298157
S-0152,Datax,0.7606735229492188
S-0238,Rice Robotics,0.7601783871650696
S-0096,Clare.AI Asian Language Chatbot Solutions,0.7597275376319885
S-0102,Miovision's Portable Solution for Traffic Data Collection,0.758971631526947
S-0256,AIOps (Artificial Intelligence for IT Operations) Solution,0.7581535577774048
S-0067,AR Smart Glass Assisted for equipment training and O&M,0.7568377256393433
S-0104,Litbulb Technologies,0.7567567229270935
S-0050,Deloitte ASSIST,0.7565532922744751
S-0214,ACX Visitor Management System,0.7565205097198486
S-0287,Siemens Mobility (e-)bike sharing powered by AI,0.756328821182251
S-0065,Smart Mobility,0.7560380697250366
S-0006,Centimeter level precision GNSS positioning Android tablet/smartphone,0.7540267109870911
S-0002,DataCube Data Intelligent Automation Solution,0.7535832524299622
S-0039,iQ-Dwell Time Management System,0.7510747909545898
S-0204,DOLPHIN Indoor Positioning Service (IPS),0.7506813406944275
S-0037,4D Immersive CAVE,0.7505882978439331
S-0131,ISS Project Management System,0.7504131197929382
S-0034,Cloud Energy Management Platform,0.7502631545066833
S-0003,GeoSpatial Cloud,0.7500129342079163
S-0143,Cyberbit,0.7494255304336548
S-0070,Well井 Smart Water Station,0.74903804063797
S-0029,"Field Services Management System using IoT, GIS and Mobile Technologies",0.7486574649810791
S-0156,Neo,0.7484727501869202
S-0240,Multilingual Voice Assistant,0.7483165264129639
S-0147,Privacy-aware people counting system using Smart Radar sensor,0.7472887635231018
S-0055,Smart City Electric Vehicle (EV) Charging Infrastructure Solution,0.7461345195770264
S-0071,All-in-one Data Center - iDCmini System,0.7460964918136597
