Reference Code,Solution Name (Eng),Cosine Similarity
S-0228,eClass Corporate Learning Management System (LMS),0.9974873065948486
S-0230,STEMHUB Education Platform,0.9972745776176453
S-0163,Ai-Knowie,0.9969067573547363
S-0002,DataCube Data Intelligent Automation Solution,0.9969053864479065
S-0236,Workflow automation solution,0.9968826770782471
S-0090,Smart Employee Learning Management,0.9968307018280029
S-0241,Intelligent Data Platform,0.9968246817588806
S-0265,Business Process Management Platform,0.9968096613883972
S-0282,Chatbot Solution - ccRobot,0.9967599511146545
S-0026,Knowledge Management Solution (KM Power),0.9967424869537354
S-0225,DocAnalyzer - Document Review Solution,0.996724545955658
S-0013,Public Event Tracking and Early Warning Analysis System,0.9967083930969238
S-0221,AI and IT enhanced learning platform,0.9966789484024048
S-0190,Una Interactive Training Platform,0.9965991377830505
S-0045,SAP Big Data Solution,0.9965848922729492
S-0016,Cyclops -- Smart City & unmanned store solution,0.9965762495994568
S-0080,OceanX Cloud-based Enterprise Content Management (ECM),0.9965730905532837
S-0051,Insight Driven Organization (IDO),0.996557354927063
S-0249,Robotic Process Automation with A.I. Data Capturing Capability,0.9965460300445557
S-0041,A.I. and speech solutions by Nexify and iFLYTEK,0.9964981079101562
S-0250,UiPath Automation Platform,0.9964966177940369
S-0101,​LANDRAY Office Automation (OA) system solutions,0.9964941143989563
S-0266,Site Audit and Inspection Recording System,0.9964821934700012
S-0082,A.I. Contact Center and User Engagement Solution,0.996476948261261
S-0254,FormExtractor,0.9964647889137268
S-0120,Raspect-ACE,0.9964591860771179
S-0019,Personalized Education System,0.9964559078216553
S-0137,Splunk,0.9964550137519836
S-0214,ACX Visitor Management System,0.9964398145675659
S-0211,Customised Mobile Application solution,0.9964325428009033
S-0056,Advanced Contextual Analytic Solution for public enquiries,0.9964271783828735
S-0288,Mixed language Chatbot system with AI and voice functions,0.9964028000831604
S-0046,SAP Digital Boardroom,0.99639892578125
S-0275,SMore-OCR,0.9963937997817993
S-0170,Nixplay Signage,0.9963691830635071
S-0247,Seclore Digital Rights Management,0.9963589310646057
S-0038,Hybrid Reality Platform,0.9963480830192566
S-0021,ReportNOW,0.9963201880455017
S-0152,Datax,0.9963012337684631
S-0020,Machines Predictive Maintenance,0.9962893128395081
S-0209,Control-M (BMC Software),0.9962886571884155
S-0232,"""Smart"" Car Park Management System",0.9962782859802246
S-0064,Smart Education(Class VR),0.9962750673294067
S-0169,Robotic Assistant,0.9962518215179443
S-0079,"1/ AccuID, 2/ Pedestrian Analytics, 3/ Vehicle Analytics",0.996242344379425
S-0153,Dynatrace,0.9962370991706848
S-0050,Deloitte ASSIST,0.9962363243103027
S-0216,BMC Helix Service & Operations Management,0.9962212443351746
S-0107,POARD Your Presentation Stage,0.996218740940094
S-0174,VR Training & Education System,0.9962044954299927
S-0047,Smart Taxpayer Services with Machine Learning,0.9961817264556885
S-0044,AI Escalator Safety Monitoring System,0.996176540851593
S-0256,AIOps (Artificial Intelligence for IT Operations) Solution,0.9961660504341125
S-0089,Smart Infrastructure Projects Planning and Execution,0.9961565732955933
S-0261,DragOnce Platform,0.9961541891098022
S-0259,Software Robotic Solution - iBot,0.9961519837379456
S-0127,Event Management technology,0.9961444735527039
S-0085,SAP Geospatial Asset Management,0.9961274266242981
S-0129,Automatic ID/Travel Document Recognition and Validation - OCR Solution,0.9961108565330505
S-0172,Earthy,0.9960998296737671
S-0113,Video Analytics Solution,0.9960880279541016
S-0300,Smart Guiding Robot,0.9960654377937317
S-0124,Enterprise Intelligent Assistant,0.9960592985153198
S-0037,4D Immersive CAVE,0.9960563778877258
S-0096,Clare.AI Asian Language Chatbot Solutions,0.9960514903068542
S-0179,"""TeleVoice""  AI Robot Solution for DHS (Demographic and Health Surveys)",0.9960401058197021
S-0231,AI Information push service management system,0.9960353970527649
S-0087,Smart Citizen and Employee Self-Services,0.9960340857505798
S-0252,Critical Event Management,0.9960336685180664
S-0283,All-in-one Mobile Productivity Platform,0.9960235357284546
S-0223,OceanX Share,0.9960106015205383
S-0029,"Field Services Management System using IoT, GIS and Mobile Technologies",0.9960102438926697
S-0150,A.I. Facial Recognition Application for Event Photo Delivery,0.996009349822998
S-0246,Remo Video Conferencing,0.9960026741027832
S-0128,Iris by HKT - From Surveillance to Intelligence,0.9960004091262817
S-0131,ISS Project Management System,0.9959895610809326
S-0234,Pixel Eye Vision-Based Fall Detection,0.9959812164306641
S-0188,Data Vaccinator,0.9959762096405029
S-0009,Precise And Responsive Indoor Location Tracking,0.9959737658500671
S-0001,PixelEye Object Detection,0.9959655404090881
S-0135,ISS Analytics Services,0.9959588050842285
S-0180,AR/ VR/ Interactive Design & Development,0.9959473609924316
S-0183,An Intelligent Solution for Automatic Processing and Chasing of Documents,0.9959360361099243
S-0287,Siemens Mobility (e-)bike sharing powered by AI,0.9959284067153931
S-0130,OpenLegacy API factory,0.9959257245063782
S-0008,Shape Security - Shape Enterprise Defense,0.99592524766922
S-0244,ServiceNow - ITSM solution,0.9959080815315247
S-0030,IoT Building Access Control System,0.9958905577659607
S-0289,Life Planning & Blockchain,0.9958786964416504
S-0222,Agorize Innovation Sourcing Platform,0.9958767890930176
S-0260,Mobile platform with handheld devices for on-site inspection and remote work duties,0.9958745241165161
