Reference Code,Solution Name (Eng),Cosine Similarity
S-0122,"Smart City Solution - IoT, AI, Data Analytics Platform, Control",0.6597095727920532
S-0254,FormExtractor,0.6593073010444641
S-0043,fieldConnect,0.6503698825836182
S-0128,Iris by HKT - From Surveillance to Intelligence,0.6476697325706482
S-0044,AI Escalator Safety Monitoring System,0.6329019069671631
S-0235,Pixel Eye Safety Helmets Detection,0.625656247138977
S-0003,GeoSpatial Cloud,0.6224648952484131
S-0072,Digital Twin of the City (or Town),0.6200541257858276
S-0036,Intelligent Traffic Monitoring,0.6187213063240051
S-0113,Video Analytics Solution,0.6147712469100952
S-0081,iQ-Road and Traffic Management,0.6132076382637024
S-0129,Automatic ID/Travel Document Recognition and Validation - OCR Solution,0.6112897396087646
S-0162,Automate the verification of electronic documents,0.6044052839279175
S-0054,TicketME Blockchain Ticketing Platform,0.5962709784507751
S-0214,ACX Visitor Management System,0.5931966304779053
S-0116,Smart Parking Solution,0.5868452787399292
S-0102,Miovision's Portable Solution for Traffic Data Collection,0.583899974822998
S-0096,Clare.AI Asian Language Chatbot Solutions,0.5826664566993713
S-0252,Critical Event Management,0.5826137065887451
S-0231,AI Information push service management system,0.5801492929458618
S-0163,Ai-Knowie,0.5794994235038757
S-0220,3D Spatial Intelligence Platform for flow and traffic managements,0.5790265798568726
S-0009,Precise And Responsive Indoor Location Tracking,0.5784027576446533
S-0104,Litbulb Technologies,0.5783560276031494
S-0111,Smart car park solution,0.5752102136611938
S-0053,Real-Time Origin-Destination Analysis Tool (RODAT）,0.5732091665267944
S-0034,Cloud Energy Management Platform,0.5729373693466187
S-0041,A.I. and speech solutions by Nexify and iFLYTEK,0.570479691028595
S-0181,Artificial Intelligence Camera Solutions,0.5697119235992432
S-0031,PowerArena - Smart City Operations Platform,0.5693816542625427
S-0232,"""Smart"" Car Park Management System",0.5683388113975525
S-0028,ShipAny - First Smart Logistics Gateway for HK Domestic Logistics Service,0.5656441450119019
S-0079,"1/ AccuID, 2/ Pedestrian Analytics, 3/ Vehicle Analytics",0.5633906722068787
S-0286,IoT Sensors and Automatic Monitoring System (AMS),0.5616081953048706
S-0159,Integrated Smart Film Solutions,0.5606579184532166
S-0147,Privacy-aware people counting system using Smart Radar sensor,0.5602936744689941
S-0281,"Smart 5G Integrated Multi-Operator Active Distributed Antenna Solution for Malls, Venues and Stadiums",0.5590443015098572
S-0154,Cisco Stealthwatch Encrypted Traffic Analytics,0.5589022636413574
S-0027,Big Data Enabler Service (project based),0.5541782379150391
S-0061,A.I. and Mixed Reality Solution,0.5536186695098877
S-0260,Mobile platform with handheld devices for on-site inspection and remote work duties,0.5534017086029053
S-0266,Site Audit and Inspection Recording System,0.5529544353485107
S-0244,ServiceNow - ITSM solution,0.5517032742500305
S-0187,Provide an implementation plan for the Hongkong Financial Secretary's policy of granting HK $10 thousand to permanent residents aged 18 or above.,0.5513349771499634
S-0228,eClass Corporate Learning Management System (LMS),0.5512065887451172
S-0250,UiPath Automation Platform,0.550951361656189
S-0058,IoT Cybersecurity Testing and Certification Program,0.5496158599853516
S-0296,BLOK Pass App for Travel Bubble,0.5476340651512146
S-0005,Smart Lamp Pole and Robotic,0.5466516017913818
S-0030,IoT Building Access Control System,0.5459827780723572
S-0221,AI and IT enhanced learning platform,0.5448582172393799
S-0179,"""TeleVoice""  AI Robot Solution for DHS (Demographic and Health Surveys)",0.544421911239624
S-0272,Hybrid/ E Bus/ Mini Bus and Ferry Boat,0.542145848274231
S-0282,Chatbot Solution - ccRobot,0.5408025979995728
S-0135,ISS Analytics Services,0.539897084236145
S-0292,Telepresence and Video Conferencing Solution,0.5394907593727112
S-0039,iQ-Dwell Time Management System,0.5376536846160889
S-0091,Next Generation Growable Optical Networks,0.5374799966812134
S-0195,SuperAcc Document Intelligence,0.5347486138343811
S-0134,Smart Building - Energy Management and Optimization Solutions,0.5346716642379761
S-0264,Smart Parking with Video Analytics,0.5346647500991821
S-0013,Public Event Tracking and Early Warning Analysis System,0.5344032645225525
S-0057,Artificial Intelligence Security Surveillance Protection  (AISSP),0.5337013006210327
S-0050,Deloitte ASSIST,0.5309229493141174
S-0203,Government payment scheme online application and data processing,0.5307284593582153
S-0160,Smart glass,0.5304446220397949
S-0256,AIOps (Artificial Intelligence for IT Operations) Solution,0.5297945141792297
S-0082,A.I. Contact Center and User Engagement Solution,0.527890145778656
