Reference Code,Solution Name (Eng),Cosine Similarity
S-0036,Intelligent Traffic Monitoring,0.9979005455970764
S-0035,Document Delivery By Unmanned Vehicle,0.9976270794868469
S-0234,Pixel Eye Vision-Based Fall Detection,0.997590184211731
S-0081,iQ-Road and Traffic Management,0.9975723028182983
S-0043,fieldConnect,0.9974842071533203
S-0213,Radar-based smart motion and position tracking system,0.997448742389679
S-0053,Real-Time Origin-Destination Analysis Tool (RODAT）,0.9974243640899658
S-0264,Smart Parking with Video Analytics,0.9974014759063721
S-0072,Digital Twin of the City (or Town),0.9973812103271484
S-0055,Smart City Electric Vehicle (EV) Charging Infrastructure Solution,0.9973588585853577
S-0251,Self Service Bike Rental Solution,0.9972795248031616
S-0079,"1/ AccuID, 2/ Pedestrian Analytics, 3/ Vehicle Analytics",0.9972575306892395
S-0044,AI Escalator Safety Monitoring System,0.9972490668296814
S-0091,Next Generation Growable Optical Networks,0.9972410798072815
S-0056,Advanced Contextual Analytic Solution for public enquiries,0.9972336888313293
S-0057,Artificial Intelligence Security Surveillance Protection  (AISSP),0.9972313642501831
S-0067,AR Smart Glass Assisted for equipment training and O&M,0.9972147345542908
S-0233,Area monitoring solution using 3D camera with privacy-preserving,0.9972079992294312
S-0191,NoQ E Form registration and quota distribution for massive traffic,0.9972010850906372
S-0178,Motor Insurance DLT Authentication System - MIDAS,0.9971992373466492
S-0174,VR Training & Education System,0.9971987009048462
S-0214,ACX Visitor Management System,0.9971954226493835
S-0294,Live Webinar Streaming service,0.9971876740455627
S-0204,DOLPHIN Indoor Positioning Service (IPS),0.9971576929092407
S-0243,LiDAR Road Monitoring Solutions based on Deep Learning Technology,0.9971520900726318
S-0070,Well井 Smart Water Station,0.997148871421814
S-0029,"Field Services Management System using IoT, GIS and Mobile Technologies",0.9971456527709961
S-0147,Privacy-aware people counting system using Smart Radar sensor,0.9971339106559753
S-0062,Parkingbnb,0.9971258044242859
S-0299,Office Delivery Robot,0.9971256256103516
S-0267,Smart Fever Screening System,0.9971244931221008
S-0181,Artificial Intelligence Camera Solutions,0.9971206188201904
S-0102,Miovision's Portable Solution for Traffic Data Collection,0.997106671333313
S-0039,iQ-Dwell Time Management System,0.9970966577529907
S-0169,Robotic Assistant,0.9970941543579102
S-0005,Smart Lamp Pole and Robotic,0.9970883727073669
S-0179,"""TeleVoice""  AI Robot Solution for DHS (Demographic and Health Surveys)",0.9970850348472595
S-0016,Cyclops -- Smart City & unmanned store solution,0.997072696685791
S-0010,Precise Facility Crowd Analysis,0.9970718026161194
S-0250,UiPath Automation Platform,0.9970555901527405
S-0128,Iris by HKT - From Surveillance to Intelligence,0.9970539212226868
S-0027,Big Data Enabler Service (project based),0.9970527291297913
S-0112,Pyxis - The Internet of Things(IoT) Solution for Construction 2.0 and Beyond,0.99704909324646
S-0171,Augmented Reality (AR) model,0.99704509973526
S-0009,Precise And Responsive Indoor Location Tracking,0.9970422387123108
S-0259,Software Robotic Solution - iBot,0.9970389008522034
S-0006,Centimeter level precision GNSS positioning Android tablet/smartphone,0.9970244765281677
S-0187,Provide an implementation plan for the Hongkong Financial Secretary's policy of granting HK $10 thousand to permanent residents aged 18 or above.,0.9970231056213379
S-0113,Video Analytics Solution,0.9970099925994873
S-0058,IoT Cybersecurity Testing and Certification Program,0.9970024228096008
S-0011,Precise Outdoor Crowd Analysis,0.9969998598098755
S-0190,Una Interactive Training Platform,0.9969971776008606
S-0111,Smart car park solution,0.9969935417175293
S-0059,EMF Workplaces Evaluation Program,0.996993362903595
S-0245,Locobike：Automatic Bicycle Rental System,0.9969795346260071
S-0034,Cloud Energy Management Platform,0.9969757199287415
