Reference Code,Solution Name (Eng),Solution Description,Cosine Similarity
S-0174,VR Training & Education System,"Our VR training system can provide immersive and actual-feeling for users to understand different training details.

In particular, for some special conditions such as scenarios of accidents (e.g. fire accidents, poisonous liquid leakage or short-circuit) and dangerous or prohibited areas (e.g. customs areas), it is difficult to provide training for officers/technicians. With our VR training solutions, we can 1:1 simulate the actual environment and specific scenarios for trainees.

In addition, we can collect data of user movements, decision making and trainee information throughout the training. With those data, we can provide data analysis for analyzing trainee's behaviors and feedback to trainers to pinpoint the areas of improvements. The result reports can be stored on cloud server and to be reviewed through browsers and mobile platform (iOS & Android).

Currently, our solutions have helped various government departments and large enterprises for their staff training and safety/precaution education.",0.6454620361328125
S-0044,AI Escalator Safety Monitoring System,"With the advancement of AI and high definition video surveillance system, a powerful video analytic system will be employed to monitor the operation and safety of escalators. The system is designed to provide high definition image quality and high storage capacity. AI video analytics will be employed to capture, analyses and summarize the maintenance and operation time, human activities and accidents occurred on the escalator. The summary of the analytic results is accessible via a user interface locally or on the cloud. The deliverable of this project are escalator safety enhancement, operation monitoring, statistics collection.
With the development of artificial intelligence and high-definition video surveillance systems, the system will use a powerful video analysis system to monitor the operation and safety of the handrails. The system design provides high-definition image quality and high storage capacity. Artificial intelligence video analysis will be used to record, analyze and summarize citizen behavior on handrails, and record daily operations and accidents. The summary of the analysis result can be read through the local machine or the cloud network. The result of this project is safety enhancement and operation monitoring of escalators.",0.6217175722122192
S-0113,Video Analytics Solution,"The solution helps security and public safety organizations develop comprehensive security, intelligence and investigative capabilities using video.  Solution provide advanced search, redaction and facial recognition analytics to find relevant images and critical information across multiple video files from multiple camera types. Selected live-streaming cameras plus pre-recorded video ingestion from both fixed cameras and cameras in motion are supported. Augment staff and improve camera investment ROI by extracting information from captured video to uncover insights and patterns.",0.5783880949020386
S-0210,AI Cloud for Smart Construction,"viAct.ai AI cloud for Smart Construction platform automate construction monitoring to improve safety, productivity and compliance",0.5718684196472168
S-0252,Critical Event Management,"Why Critical Event Management (CEM)?
 
Sure, you have detailed emergency preparedness programs and your business continuity planning is up-to-date, but with an increasingly complex and unpredictable threat environment, it has never been more imperative to act faster. With more complete intelligence, you’ll be able to increase your speed and decisiveness in order to assess risks and prevent them from harming your people or disrupting your operations.

A Critical Event Management platform uses technology to take manual processes and automate them. Amplifying ad hoc data feeds to provide richer intelligence and correlating threats with locations of assets and people, ensures more rapid and comprehensive incident assessment and remediation.

Additional benefits include:

- The ability to automate the initiation of incident response activities
- Faster recovery of operations
- More complete assessment of your risk profile to move from a reactive crisis response approach to a proactive crisis prevention approach
- Accelerated analysis of your performance",0.5718481540679932
S-0219,"VR Virtual Store, Training & Education System","Our VR Online store and training system is a pioneer VR system that can provide immersive and actual-feeling for users to understand different virtual store and training details.

Due to resources constraints, it is difficult to provide hands-on training for officers/technicians. With our VR education and training solutions, we can provide realistic training experience or shopping experience for education/ business purposes. We can cover the following cases (not limited to):
- Work at height accident
- Fire accident
- Transport accident
- Safety control

For tourism, our VR system can provide virtual shopping experience to let user feel the real shopping experience in distance.

With collection of big data, we can trace user behaviors and analyse data during VR controls. The result reports can be stored on cloud server and to be reviewed through browsers and mobile platform (iOS & Android).",0.5693553686141968
S-0116,Smart Parking Solution,"Innovative Smart Parking tailored for customer-oriented parking experience

Parking Space Reservation - Through Mobile App, drivers can make remote reservations. Drivers will no longer wait in queue, and they can more effectively manage their time and make sure they will be on time for important meetings and appointments.
Navigation - We offers drivers thoughtful navigation services on the road and inside the car park. The connectivity ride on 1O1O integrating Narrow Band-Internet of Things (NB-IoT) with Wi-Fi to accurately navigate drivers to their reserved parking space in both indoor and outdoor locations. Such navigation includes both visual and vocal direction which escorts drivers safely to the designated parking space.
Charging Facility Reservation - To offer a seamless parking experience, drivers can reserve charging facility through mobile APP to ensure that they can charge their cars efficiently upon arrival.",0.5678588151931763
S-0220,3D Spatial Intelligence Platform for flow and traffic managements,"Outsight 3D Spatial Intelligence Platform is a computer vision-based flow and traffic management solution.  The platform makes use of multiple Outsight 3D Semantic Cameras, which have the capabilities of an active infrared 3D Laser, an optional RGB 2D Camera, and an intelligence embedded processing unit, to create a real-time regional live map with all people, vehicles and items in the area of interest. The platform delivers real-time predictive analytics, KPI, alerts and queries for end-user to take the best decisions in response to the event of interest. 

The real-time situation awareness capability assists end-user to visualize real-time footfall, waiting time, individual and aggregated behavior, to spot key events that require attention and interpret long-term trends.  The platform detects and understands the interactions between persons and objects to guide the optimization of any facilities, assets’ usage and usage experience. The security awareness of the platform also provides timely security-related alert and tracking without the need of a visual 2D camera.",0.5663210153579712
S-0161,LiDAR and Optical Sensing applications for Smart City,"A customizable LiDAR solution for 3D geometric structure acquisition that can be deployed in different public service applications including but not limited to digital archiving, object monitoring, smart city development, and management.",0.5630826354026794
S-0153,Dynatrace,"Manage IoT ecosystems the easy way with Dynatrace AI-powered, full stack monitoring.

Dynatrace is the only performance monitoring solution that is designed to automatically detect and analyze an IoT topology without any manual configuration. It delivers full operational insights into the complex ecosystem of technology: sensors, devices, gateways, networks, cloud environments, private data centers and applications. The AI-powered engine allows you to:
- Manage IoT complexity and scale with prioritized actionable alerts and insights
- Understand the impact and resolve issues affecting business-critical systems quickly and proactively, in real-time
- Ingest and understand health of diverse data sources from a wide variety of edge devices, simple sensors, to full blown servers and everything in between to understand performance, and create improvements in your IoT environment

AI-powered, full stack Dynatrace monitors not just the behavior of the back-end cloud platform, but also enables monitoring on the devices themselves.

Dynatrace does not monitor individual sensors - the minimum requirement for monitoring is that it can run its own code and perform actions and network transactions. However, communication between the sensor and the device could be an action which is monitored, e.g. activities, health, records timing, latencies, and errors to feed these metrics into the overall context of the application.

Dynatrace also does not capture the payload from a sensor; it is not a big data solution or a visualization tool for sensor data. Dynatrace is the solution for monitoring the entire ecosystem because proper IoT monitoring includes not just the device, but also IoT back-end applications and integration into business processes.",0.5600703358650208
