Reference Code,Solution Name (Eng),Cosine Similarity
S-0044,AI Escalator Safety Monitoring System,0.7540699
S-0233,Area monitoring solution using 3D camera with privacy-preserving,0.6883171
S-0108,SparkXIO Smart Car Park Management System,0.6761471
S-0097,Smart Home e-Health Monitoring and Care System,0.66298693
S-0281,"Smart 5G Integrated Multi-Operator Active Distributed Antenna Solution for Malls, Venues and Stadiums",0.6588752
S-0079,"1/ AccuID, 2/ Pedestrian Analytics, 3/ Vehicle Analytics",0.65835947
S-0199,V-Key Mobile App Protection,0.6568314
S-0228,eClass Corporate Learning Management System (LMS),0.6530477
S-0101,​LANDRAY Office Automation (OA) system solutions,0.65054727
S-0275,SMore-OCR,0.64789075
S-0029,"Field Services Management System using IoT, GIS and Mobile Technologies",0.6477995
S-0138,Radware DefensePro and AppWall,0.6462253
S-0150,A.I. Facial Recognition Application for Event Photo Delivery,0.6444878
S-0148,Zscaler,0.64264065
S-0103,SP-RFID Smart Asset Management System,0.6425065
S-0175,Thermal Imaging Body Temperature Measurement Solution,0.64025736
S-0158,Switchable Glass / Film,0.6401714
S-0242,Queue-it -  Virtual Waiting Room,0.6396512
S-0063,UHD Multi-Channel Video Live Broadcast,0.638191
S-0124,Enterprise Intelligent Assistant,0.6379603
S-0186,Technology of independent intellectual property identity authentication and tracking of close contacts of patients to assist in epidemic prevention and control and return to work,0.6378
S-0076,NEC InfoCage FileShell,0.63669264
S-0024,Automated Refuse Collection System with 1 chute for multi fractions,0.63197404
S-0112,Pyxis - The Internet of Things(IoT) Solution for Construction 2.0 and Beyond,0.6319619
S-0009,Precise And Responsive Indoor Location Tracking,0.63174605
S-0263,SafeGuard Series,0.63158923
S-0050,Deloitte ASSIST,0.6315666
S-0142,NetMotion Mobility,0.62956333
S-0083,Smart Pharma Packaging,0.627793
S-0016,Cyclops -- Smart City & unmanned store solution,0.6277671
S-0146,Promon Shield - Application Protection and Security for IoT & Connected Devices,0.6264319
S-0208,Indoor Map and Positioning for Smart City,0.6227565
S-0225,DocAnalyzer - Document Review Solution,0.62271094
S-0251,Self Service Bike Rental Solution,0.6226087
S-0022,A smart lamp pole system with AI-enabled security system,0.62214124
S-0220,3D Spatial Intelligence Platform for flow and traffic managements,0.6188064
S-0280,Digital parking solutions for enterprise (Include online pre booking and payment settle),0.6182154
S-0230,STEMHUB Education Platform,0.61788195
S-0299,Office Delivery Robot,0.61763453
S-0119,Ziizau - Optimization of route design,0.6166268
S-0216,BMC Helix Service & Operations Management,0.6163338
S-0111,Smart car park solution,0.6130845
S-0032,AI+IAQ Proptech: Zonal object counting by skeleton & form recognition integrated with indoor environmental control and room utilization management,0.6127198
S-0255,Authgear,0.61234736
S-0296,BLOK Pass App for Travel Bubble,0.61057043
S-0141,HubSecurity,0.6094867
S-0187,Provide an implementation plan for the Hongkong Financial Secretary's policy of granting HK $10 thousand to permanent residents aged 18 or above.,0.6090009
S-0023,Payment Solution for Housing Authority and Leisure and Cultural Department,0.60683805
S-0095,Create Efficient and Simplify Business Processes Using NFC,0.60662997
S-0241,Intelligent Data Platform,0.60588086
S-0115,All-in-one event management software,0.60525244
S-0021,ReportNOW,0.6051834
S-0031,PowerArena - Smart City Operations Platform,0.60412574
S-0247,Seclore Digital Rights Management,0.60334814
S-0087,Smart Citizen and Employee Self-Services,0.600739
S-0082,A.I. Contact Center and User Engagement Solution,0.60058725
S-0222,Agorize Innovation Sourcing Platform,0.5997778
S-0154,Cisco Stealthwatch Encrypted Traffic Analytics,0.5973273
