Reference Code,Solution Name (Eng),Cosine Similarity
S-0072,Digital Twin of the City (or Town),0.5373746
S-0202,One card e-payment solution for GBA(Guangdong-hong kong-Macao Greater Bay area),0.5343587
S-0044,AI Escalator Safety Monitoring System,0.53401715
S-0100,Super Massive 3D Model Data Expert,0.53372055
S-0065,Smart Mobility,0.53352404
S-0182,AppProtect+ (RASP) / YESsafe Zero Login (OTP) / AccessMatrix Universal Sign-On (SSO),0.53334004
S-0012,"Monitoring and Early Warning System for Holding Concentration, Insider Trading, Short-selling and Stock Price Manipulation",0.5329719
S-0022,A smart lamp pole system with AI-enabled security system,0.53296566
S-0230,STEMHUB Education Platform,0.5328214
S-0003,GeoSpatial Cloud,0.5327624
S-0222,Agorize Innovation Sourcing Platform,0.5323376
S-0271,Server Data Analysis Service (User & Data),0.53226453
S-0084,NFC Product Authentication,0.53222036
S-0060,FROM Network Audit Programs,0.5320369
S-0049,Blockchain Solution,0.5319236
S-0273,Talos,0.5316851
S-0013,Public Event Tracking and Early Warning Analysis System,0.5315978
S-0063,UHD Multi-Channel Video Live Broadcast,0.53133154
S-0197,WCL Robotic Process Automation Solution,0.53130585
S-0093,DataOS System,0.5309898
S-0031,PowerArena - Smart City Operations Platform,0.53094244
S-0158,Switchable Glass / Film,0.5306713
S-0082,A.I. Contact Center and User Engagement Solution,0.5306145
S-0217,nCloud Fault-Tolerant Geo-distributed Hyperconverged Infrastructure (HCI),0.53061414
S-0243,LiDAR Road Monitoring Solutions based on Deep Learning Technology,0.53055483
S-0030,IoT Building Access Control System,0.53040564
S-0249,Robotic Process Automation with A.I. Data Capturing Capability,0.53027236
S-0171,Augmented Reality (AR) model,0.53026694
S-0043,fieldConnect,0.53022534
S-0089,Smart Infrastructure Projects Planning and Execution,0.5302209
S-0045,SAP Big Data Solution,0.5300431
S-0227,Intelligent liquid crystal dimming film,0.53002304
S-0193,Dahua Body Temp Measurement Solution,0.5299771
S-0047,Smart Taxpayer Services with Machine Learning,0.5299717
S-0241,Intelligent Data Platform,0.52996993
S-0279,RoomQ virtual waiting room for massive traffic,0.52993673
S-0055,Smart City Electric Vehicle (EV) Charging Infrastructure Solution,0.529932
S-0220,3D Spatial Intelligence Platform for flow and traffic managements,0.52987385
S-0183,An Intelligent Solution for Automatic Processing and Chasing of Documents,0.52949476
S-0266,Site Audit and Inspection Recording System,0.5294193
S-0038,Hybrid Reality Platform,0.5294104
S-0142,NetMotion Mobility,0.52940494
S-0051,Insight Driven Organization (IDO),0.5293105
S-0296,BLOK Pass App for Travel Bubble,0.52927136
S-0118,Alteryx,0.5292347
