Reference Code,Solution Name (Eng),Cosine Similarity
S-0067,AR Smart Glass Assisted for equipment training and O&M,0.5614122152328491
S-0103,SP-RFID Smart Asset Management System,0.547484278678894
S-0210,AI Cloud for Smart Construction,0.5329127311706543
S-0259,Software Robotic Solution - iBot,0.520244836807251
S-0194,UWB Beacon RTLS Solution,0.5046241283416748
S-0044,AI Escalator Safety Monitoring System,0.49807220697402954
S-0085,SAP Geospatial Asset Management,0.49235641956329346
S-0180,AR/ VR/ Interactive Design & Development,0.49192264676094055
S-0101,​LANDRAY Office Automation (OA) system solutions,0.491140216588974
S-0062,Parkingbnb,0.4837479591369629
S-0264,Smart Parking with Video Analytics,0.4822485148906708
S-0212,AI Solution for Outdoor People Counting without invading privacy,0.47974929213523865
S-0142,NetMotion Mobility,0.46856021881103516
S-0035,Document Delivery By Unmanned Vehicle,0.4644773006439209
S-0089,Smart Infrastructure Projects Planning and Execution,0.4621434211730957
S-0068,Reliability Centered Asset Management - Dynamic (RCAM-dyn),0.46172261238098145
S-0134,Smart Building - Energy Management and Optimization Solutions,0.4611850678920746
S-0007,Smart Life,0.4605396091938019
S-0280,Digital parking solutions for enterprise (Include online pre booking and payment settle),0.4582221508026123
S-0083,Smart Pharma Packaging,0.4580937922000885
S-0048,AI-based Application,0.4528619647026062
S-0096,Clare.AI Asian Language Chatbot Solutions,0.4520989954471588
S-0074,AI Chiller Plant – Smart Chiller Plant Optimization using Artificial Intelligence,0.44932985305786133
S-0118,Alteryx,0.44891661405563354
S-0113,Video Analytics Solution,0.447986364364624
S-0055,Smart City Electric Vehicle (EV) Charging Infrastructure Solution,0.4475773572921753
S-0205,Centrak Quarantine Management Solution,0.445928692817688
S-0169,Robotic Assistant,0.44524407386779785
S-0148,Zscaler,0.44178342819213867
S-0222,Agorize Innovation Sourcing Platform,0.43941640853881836
S-0123,Complete Encryption with HSM,0.4385857582092285
S-0197,WCL Robotic Process Automation Solution,0.4375711679458618
S-0032,AI+IAQ Proptech: Zonal object counting by skeleton & form recognition integrated with indoor environmental control and room utilization management,0.4358758330345154
S-0036,Intelligent Traffic Monitoring,0.4357213079929352
S-0163,Ai-Knowie,0.43482908606529236
S-0241,Intelligent Data Platform,0.43421071767807007
S-0120,Raspect-ACE,0.4335450530052185
S-0144,ZIroh Labs - Advanced Data Privacy and Encryption Technology,0.43311136960983276
S-0234,Pixel Eye Vision-Based Fall Detection,0.4317176938056946
S-0247,Seclore Digital Rights Management,0.4316803216934204
S-0219,"VR Virtual Store, Training & Education System",0.43063467741012573
S-0045,SAP Big Data Solution,0.4299432039260864
S-0106,"Smart bin trash collection solution, especially remote area",0.4255634844303131
S-0060,FROM Network Audit Programs,0.42551538348197937
S-0223,OceanX Share,0.4239903688430786
S-0322,NB-IoT / LoRa Dual-detection Smart Parking Sensing Technology,0.4206772446632385
S-0052,OpenCloud CMP,0.42057546973228455
S-0114,Worker Insights,0.4181136190891266
S-0047,Smart Taxpayer Services with Machine Learning,0.41805195808410645
S-0111,Smart car park solution,0.4155254662036896
S-0027,Big Data Enabler Service (project based),0.41518986225128174
S-0245,Locobike：Automatic Bicycle Rental System,0.41236621141433716
S-0073,Enlighted Multi-Features Micro IoT Sensors Solution,0.4109271764755249
S-0235,Pixel Eye Safety Helmets Detection,0.40962517261505127
