Reference Code,Solution Name (Eng),Cosine Similarity
S-0191,NoQ E Form registration and quota distribution for massive traffic,0.644751787185669
S-0279,RoomQ virtual waiting room for massive traffic,0.614616870880127
S-0138,Radware DefensePro and AppWall,0.5889178514480591
S-0094,Digital Transformation with Low code development platform,0.5661817789077759
S-0204,DOLPHIN Indoor Positioning Service (IPS),0.5361241102218628
S-0042,Smart Water Duct Valve for shared Housing,0.5342097282409668
S-0239,InterOps Accelerator,0.533397912979126
S-0146,Promon Shield - Application Protection and Security for IoT & Connected Devices,0.530605137348175
S-0166,IXIA BREAKINGPOINT,0.5275969505310059
S-0123,Complete Encryption with HSM,0.5268702507019043
S-0197,WCL Robotic Process Automation Solution,0.5238374471664429
S-0008,Shape Security - Shape Enterprise Defense,0.5203216671943665
S-0071,All-in-one Data Center - iDCmini System,0.5128443241119385
S-0259,Software Robotic Solution - iBot,0.5025933384895325
S-0052,OpenCloud CMP,0.4970591366291046
S-0139,imVision,0.49300646781921387
S-0219,"VR Virtual Store, Training & Education System",0.48946279287338257
S-0049,Blockchain Solution,0.48940467834472656
S-0142,NetMotion Mobility,0.48070162534713745
S-0148,Zscaler,0.47694724798202515
S-0252,Critical Event Management,0.47528156638145447
S-0205,Centrak Quarantine Management Solution,0.4740974009037018
S-0113,Video Analytics Solution,0.4724147915840149
S-0168,IXIA Vision ONE (Network Packet Broker),0.46554750204086304
S-0282,Chatbot Solution - ccRobot,0.4640607237815857
S-0067,AR Smart Glass Assisted for equipment training and O&M,0.46374934911727905
S-0062,Parkingbnb,0.4622359275817871
S-0153,Dynatrace,0.4613679349422455
S-0060,FROM Network Audit Programs,0.46089231967926025
S-0242,Queue-it -  Virtual Waiting Room,0.4570395052433014
S-0055,Smart City Electric Vehicle (EV) Charging Infrastructure Solution,0.4546239376068115
S-0089,Smart Infrastructure Projects Planning and Execution,0.45437103509902954
S-0187,Provide an implementation plan for the Hongkong Financial Secretary's policy of granting HK $10 thousand to permanent residents aged 18 or above.,0.45319151878356934
S-0211,Customised Mobile Application solution,0.4529227614402771
S-0202,One card e-payment solution for GBA(Guangdong-hong kong-Macao Greater Bay area),0.4524409770965576
S-0023,Payment Solution for Housing Authority and Leisure and Cultural Department,0.45162761211395264
S-0272,Hybrid/ E Bus/ Mini Bus and Ferry Boat,0.44991037249565125
S-0244,ServiceNow - ITSM solution,0.44714343547821045
S-0267,Smart Fever Screening System,0.44683176279067993
S-0169,Robotic Assistant,0.4463614523410797
S-0092,Enable the wireless connectivity for IoT devices,0.4440200924873352
S-0209,Control-M (BMC Software),0.44359344244003296
S-0210,AI Cloud for Smart Construction,0.4430732727050781
S-0236,Workflow automation solution,0.442752867937088
S-0199,V-Key Mobile App Protection,0.441008985042572
S-0182,AppProtect+ (RASP) / YESsafe Zero Login (OTP) / AccessMatrix Universal Sign-On (SSO),0.4378257393836975
S-0214,ACX Visitor Management System,0.43666505813598633
S-0034,Cloud Energy Management Platform,0.43584465980529785
S-0103,SP-RFID Smart Asset Management System,0.43391111493110657
S-0084,NFC Product Authentication,0.43275904655456543
S-0189,COVID19 Community Prevention Software System,0.4316459894180298
S-0300,Smart Guiding Robot,0.4304085671901703
S-0167,IXIA ThreatARMOR,0.42924919724464417
S-0070,Well井 Smart Water Station,0.42892059683799744
S-0044,AI Escalator Safety Monitoring System,0.42795807123184204
S-0058,IoT Cybersecurity Testing and Certification Program,0.42715370655059814
S-0248,OFS Website Tracking System,0.42703932523727417
S-0251,Self Service Bike Rental Solution,0.4262368083000183
S-0271,Server Data Analysis Service (User & Data),0.42567580938339233
S-0143,Cyberbit,0.4244648516178131
S-0217,nCloud Fault-Tolerant Geo-distributed Hyperconverged Infrastructure (HCI),0.42302340269088745
S-0223,OceanX Share,0.4215894937515259
S-0154,Cisco Stealthwatch Encrypted Traffic Analytics,0.42124614119529724
S-0047,Smart Taxpayer Services with Machine Learning,0.4210074543952942
S-0007,Smart Life,0.4202111065387726
S-0132,Mobility Mesh Wi-Fi Application for Smart City,0.4200817942619324
S-0188,Data Vaccinator,0.41887205839157104
S-0280,Digital parking solutions for enterprise (Include online pre booking and payment settle),0.41644734144210815
S-0137,Splunk,0.41609856486320496
S-0186,Technology of independent intellectual property identity authentication and tracking of close contacts of patients to assist in epidemic prevention and control and return to work,0.415670782327652
S-0256,AIOps (Artificial Intelligence for IT Operations) Solution,0.41486361622810364
S-0077,Anywhere Networks,0.41474080085754395
S-0106,"Smart bin trash collection solution, especially remote area",0.4117890000343323
S-0249,Robotic Process Automation with A.I. Data Capturing Capability,0.40962696075439453
S-0048,AI-based Application,0.4095073342323303
S-0051,Insight Driven Organization (IDO),0.40917178988456726
S-0096,Clare.AI Asian Language Chatbot Solutions,0.40792155265808105
S-0030,IoT Building Access Control System,0.4076387882232666
S-0155,Stella Enterprise Chatbot Builder,0.40742653608322144
S-0010,Precise Facility Crowd Analysis,0.4070308208465576
S-0116,Smart Parking Solution,0.4070158004760742
S-0294,Live Webinar Streaming service,0.4064529538154602
S-0002,DataCube Data Intelligent Automation Solution,0.4061628580093384
S-0045,SAP Big Data Solution,0.4059257507324219
S-0035,Document Delivery By Unmanned Vehicle,0.405726820230484
S-0038,Hybrid Reality Platform,0.4055917263031006
S-0095,Create Efficient and Simplify Business Processes Using NFC,0.4048309922218323
S-0220,3D Spatial Intelligence Platform for flow and traffic managements,0.4047895073890686
S-0193,Dahua Body Temp Measurement Solution,0.4047165811061859
S-0111,Smart car park solution,0.4037923216819763
S-0013,Public Event Tracking and Early Warning Analysis System,0.4028362035751343
S-0133,PANGA - Data Infrastructure Edge Computing for Smart Cities,0.40271008014678955
S-0135,ISS Analytics Services,0.40099412202835083
S-0227,Intelligent liquid crystal dimming film,0.400432825088501
S-0283,All-in-one Mobile Productivity Platform,0.4003903269767761
S-0261,DragOnce Platform,0.3996831476688385
S-0039,iQ-Dwell Time Management System,0.39933857321739197
S-0110,People Counting System (PCS),0.3979192078113556
S-0057,Artificial Intelligence Security Surveillance Protection  (AISSP),0.3974911868572235
S-0144,ZIroh Labs - Advanced Data Privacy and Encryption Technology,0.3969802260398865
S-0032,AI+IAQ Proptech: Zonal object counting by skeleton & form recognition integrated with indoor environmental control and room utilization management,0.39634132385253906
S-0173,Go VR Immersive - Hololens 2 Mixed Reality Solution,0.39598092436790466
S-0125,"BIM, BMS and IoT Integration",0.39594805240631104
S-0075,Altai SuperWiFi Solution,0.39393407106399536
S-0099,NB IoT Sensor Solution,0.3925330638885498
S-0031,PowerArena - Smart City Operations Platform,0.3923315405845642
S-0129,Automatic ID/Travel Document Recognition and Validation - OCR Solution,0.3921293020248413
S-0093,DataOS System,0.3917728364467621
S-0081,iQ-Road and Traffic Management,0.39174655079841614
S-0180,AR/ VR/ Interactive Design & Development,0.3909243941307068
S-0074,AI Chiller Plant – Smart Chiller Plant Optimization using Artificial Intelligence,0.39042073488235474
S-0069,Citizen Cloud,0.3899802267551422
S-0059,EMF Workplaces Evaluation Program,0.38942089676856995
S-0104,Litbulb Technologies,0.38938140869140625
S-0163,Ai-Knowie,0.38773930072784424
S-0120,Raspect-ACE,0.38643622398376465
S-0207,Pandemic Management System,0.38588613271713257
S-0072,Digital Twin of the City (or Town),0.3857857286930084
S-0128,Iris by HKT - From Surveillance to Intelligence,0.38321125507354736
S-0020,Machines Predictive Maintenance,0.382665753364563
S-0114,Worker Insights,0.3809592127799988
S-0085,SAP Geospatial Asset Management,0.37980860471725464
S-0024,Automated Refuse Collection System with 1 chute for multi fractions,0.37969741225242615
S-0053,Real-Time Origin-Destination Analysis Tool (RODAT）,0.3796604573726654
S-0065,Smart Mobility,0.3777066767215729
S-0250,UiPath Automation Platform,0.37660127878189087
S-0112,Pyxis - The Internet of Things(IoT) Solution for Construction 2.0 and Beyond,0.3760228455066681
S-0076,NEC InfoCage FileShell,0.3748507797718048
S-0102,Miovision's Portable Solution for Traffic Data Collection,0.37363094091415405
S-0054,TicketME Blockchain Ticketing Platform,0.37275415658950806
S-0266,Site Audit and Inspection Recording System,0.37197089195251465
S-0003,GeoSpatial Cloud,0.37177762389183044
S-0165,Health Monitoring System,0.37100398540496826
S-0134,Smart Building - Energy Management and Optimization Solutions,0.3709140419960022
S-0145,Arcserve® Appliance Series,0.3684196472167969
S-0083,Smart Pharma Packaging,0.3645886182785034
S-0115,All-in-one event management software,0.3636167645454407
S-0225,DocAnalyzer - Document Review Solution,0.36354541778564453
S-0246,Remo Video Conferencing,0.36352866888046265
S-0161,LiDAR and Optical Sensing applications for Smart City,0.36320963501930237
S-0296,BLOK Pass App for Travel Bubble,0.3628697693347931
S-0232,"""Smart"" Car Park Management System",0.3625948429107666
S-0181,Artificial Intelligence Camera Solutions,0.3614405691623688
S-0026,Knowledge Management Solution (KM Power),0.3591897487640381
S-0247,Seclore Digital Rights Management,0.35845091938972473
S-0147,Privacy-aware people counting system using Smart Radar sensor,0.35792016983032227
S-0263,SafeGuard Series,0.3574409782886505
S-0275,SMore-OCR,0.3558231592178345
S-0090,Smart Employee Learning Management,0.3542785942554474
S-0235,Pixel Eye Safety Helmets Detection,0.3521250784397125
S-0027,Big Data Enabler Service (project based),0.3514866232872009
S-0140,Drivelock,0.35100796818733215
S-0011,Precise Outdoor Crowd Analysis,0.35054242610931396
S-0107,POARD Your Presentation Stage,0.3503913879394531
S-0273,Talos,0.3499206602573395
S-0136,Document Authentication,0.34876877069473267
S-0158,Switchable Glass / Film,0.3486352860927582
S-0097,Smart Home e-Health Monitoring and Care System,0.34829968214035034
S-0174,VR Training & Education System,0.34824249148368835
S-0100,Super Massive 3D Model Data Expert,0.34741270542144775
S-0226,"Sky Drone - Autonomous Drone Solution (""Drone-in-a-Box"")",0.3465321660041809
S-0046,SAP Digital Boardroom,0.34430187940597534
S-0241,Intelligent Data Platform,0.34412893652915955
S-0108,SparkXIO Smart Car Park Management System,0.34236305952072144
S-0170,Nixplay Signage,0.34184563159942627
S-0245,Locobike：Automatic Bicycle Rental System,0.3416755199432373
S-0289,Life Planning & Blockchain,0.34124308824539185
S-0105,Blockchain solution,0.33861640095710754
S-0127,Event Management technology,0.336936354637146
S-0162,Automate the verification of electronic documents,0.33645522594451904
S-0264,Smart Parking with Video Analytics,0.3333631157875061
S-0041,A.I. and speech solutions by Nexify and iFLYTEK,0.33308500051498413
S-0063,UHD Multi-Channel Video Live Broadcast,0.3330826759338379
S-0243,LiDAR Road Monitoring Solutions based on Deep Learning Technology,0.3328505754470825
S-0078,Finger Vein PBI (Public Biometric Infrastructure) Platform for Smart City ID Authentication,0.33248457312583923
S-0036,Intelligent Traffic Monitoring,0.33241358399391174
S-0164,Relate App,0.3322989046573639
S-0213,Radar-based smart motion and position tracking system,0.3317336440086365
S-0234,Pixel Eye Vision-Based Fall Detection,0.3316645622253418
S-0183,An Intelligent Solution for Automatic Processing and Chasing of Documents,0.33032581210136414
S-0029,"Field Services Management System using IoT, GIS and Mobile Technologies",0.3280726969242096
S-0262,Mobile application development,0.32745593786239624
S-0156,Neo,0.3267265856266022
S-0203,Government payment scheme online application and data processing,0.326210618019104
S-0121,Chatbot Solution and NLP applications from ZhuiYi Technology,0.32525834441185
S-0216,BMC Helix Service & Operations Management,0.32466942071914673
S-0037,4D Immersive CAVE,0.32460856437683105
S-0172,Earthy,0.323947548866272
S-0028,ShipAny - First Smart Logistics Gateway for HK Domestic Logistics Service,0.32362696528434753
S-0040,RVM One Stop Recycling Solution,0.32267963886260986
S-0068,Reliability Centered Asset Management - Dynamic (RCAM-dyn),0.32156699895858765
S-0260,Mobile platform with handheld devices for on-site inspection and remote work duties,0.3205399513244629
S-0001,PixelEye Object Detection,0.3188614249229431
S-0130,OpenLegacy API factory,0.3168069124221802
S-0017,Falling Alert System for Elderly Care-- Optical Monitoring System (OMS),0.3166198134422302
S-0082,A.I. Contact Center and User Engagement Solution,0.31550344824790955
S-0004,Euclideon Vault - Smart City IOT 3D visualization,0.314391165971756
S-0281,"Smart 5G Integrated Multi-Operator Active Distributed Antenna Solution for Malls, Venues and Stadiums",0.3143845796585083
S-0141,HubSecurity,0.31370580196380615
S-0177,MAD Gaze Smart Glass,0.313544899225235
S-0231,AI Information push service management system,0.31269025802612305
S-0152,Datax,0.31251198053359985
S-0287,Siemens Mobility (e-)bike sharing powered by AI,0.3103209137916565
S-0160,Smart glass,0.3097350597381592
S-0014,2D Face Re-identification,0.309443861246109
S-0196,Personnel and Asset positioning management system,0.307025671005249
S-0237,V-K V-OS Cloud Solutions,0.3068811893463135
S-0016,Cyclops -- Smart City & unmanned store solution,0.30639082193374634
S-0222,Agorize Innovation Sourcing Platform,0.3063816726207733
S-0009,Precise And Responsive Indoor Location Tracking,0.3062167465686798
S-0091,Next Generation Growable Optical Networks,0.3059961199760437
S-0322,NB-IoT / LoRa Dual-detection Smart Parking Sensing Technology,0.30504006147384644
S-0021,ReportNOW,0.30465415120124817
S-0126,Self Service Business Intelligence,0.3034897446632385
S-0073,Enlighted Multi-Features Micro IoT Sensors Solution,0.30302876234054565
S-0050,Deloitte ASSIST,0.30287861824035645
S-0150,A.I. Facial Recognition Application for Event Photo Delivery,0.30268627405166626
S-0079,"1/ AccuID, 2/ Pedestrian Analytics, 3/ Vehicle Analytics",0.3023017346858978
S-0254,FormExtractor,0.3007827699184418
S-0255,Authgear,0.2988189458847046
S-0221,AI and IT enhanced learning platform,0.2988174855709076
S-0005,Smart Lamp Pole and Robotic,0.29878759384155273
S-0171,Augmented Reality (AR) model,0.29795849323272705
S-0218,Chief,0.29751056432724
S-0190,Una Interactive Training Platform,0.29615116119384766
S-0119,Ziizau - Optimization of route design,0.29524388909339905
S-0012,"Monitoring and Early Warning System for Holding Concentration, Insider Trading, Short-selling and Stock Price Manipulation",0.29428839683532715
S-0208,Indoor Map and Positioning for Smart City,0.29402750730514526
S-0118,Alteryx,0.2916548252105713
S-0265,Business Process Management Platform,0.2882189154624939
S-0286,IoT Sensors and Automatic Monitoring System (AMS),0.28743281960487366
S-0066,Smart Water Management,0.28641679883003235
S-0178,Motor Insurance DLT Authentication System - MIDAS,0.28529009222984314
S-0122,"Smart City Solution - IoT, AI, Data Analytics Platform, Control",0.28498589992523193
S-0101,​LANDRAY Office Automation (OA) system solutions,0.2842963635921478
S-0056,Advanced Contextual Analytic Solution for public enquiries,0.2838040590286255
S-0212,AI Solution for Outdoor People Counting without invading privacy,0.28209084272384644
S-0080,OceanX Cloud-based Enterprise Content Management (ECM),0.2796356678009033
S-0233,Area monitoring solution using 3D camera with privacy-preserving,0.2780751883983612
S-0228,eClass Corporate Learning Management System (LMS),0.27633628249168396
S-0022,A smart lamp pole system with AI-enabled security system,0.2756519913673401
S-0179,"""TeleVoice""  AI Robot Solution for DHS (Demographic and Health Surveys)",0.2746928036212921
S-0229,SonoWatermark,0.2740793824195862
S-0087,Smart Citizen and Employee Self-Services,0.27234381437301636
S-0194,UWB Beacon RTLS Solution,0.2686117887496948
S-0292,Telepresence and Video Conferencing Solution,0.26665979623794556
S-0215,Self Check-in system for self-quarantined personal,0.26532232761383057
S-0043,fieldConnect,0.26307412981987
S-0124,Enterprise Intelligent Assistant,0.2618458867073059
S-0015,3D Face Re-identification,0.2568134665489197
S-0240,Multilingual Voice Assistant,0.2561261057853699
S-0019,Personalized Education System,0.25576892495155334
S-0157,NLP-powered Chatbot by Xiaomi,0.2541276812553406
S-0195,SuperAcc Document Intelligence,0.24911347031593323
S-0098,ECOPLANT Solar Tracking Solar Panel System,0.24477779865264893
S-0299,Office Delivery Robot,0.24402198195457458
S-0224,OceanX Workflow,0.24323207139968872
S-0086,Micro-Chip 2.0 for pets,0.24312728643417358
S-0033,ATAL’s Cloud-based Chiller Plant Energy Management Platform (EM-Platform),0.23998329043388367
S-0201,Non image base access control,0.2389872670173645
S-0088,Public vehicle real-time arrival forecast system and real-time seat detection system,0.23728039860725403
S-0238,Rice Robotics,0.2344072312116623
S-0288,Mixed language Chatbot system with AI and voice functions,0.2325463443994522
S-0176,Epidemic prevention and control management system,0.2308063507080078
S-0131,ISS Project Management System,0.22606952488422394
S-0175,Thermal Imaging Body Temperature Measurement Solution,0.22528964281082153
S-0064,Smart Education(Class VR),0.2238786220550537
S-0185,Human body temperature recognition real-time measurement linkage system,0.21955394744873047
S-0230,STEMHUB Education Platform,0.21522459387779236
