Reference Code,Solution Name (Eng),Cosine Similarity
S-0264,Smart Parking with Video Analytics,0.6960972547531128
S-0036,Intelligent Traffic Monitoring,0.6805306673049927
S-0108,SparkXIO Smart Car Park Management System,0.5991319417953491
S-0220,3D Spatial Intelligence Platform for flow and traffic managements,0.5820695161819458
S-0212,AI Solution for Outdoor People Counting without invading privacy,0.5646374225616455
S-0039,iQ-Dwell Time Management System,0.551394522190094
S-0111,Smart car park solution,0.5468074679374695
S-0116,Smart Parking Solution,0.5373845100402832
S-0022,A smart lamp pole system with AI-enabled security system,0.5257972478866577
S-0053,Real-Time Origin-Destination Analysis Tool (RODAT）,0.513657808303833
S-0233,Area monitoring solution using 3D camera with privacy-preserving,0.5112403035163879
S-0161,LiDAR and Optical Sensing applications for Smart City,0.509784996509552
S-0266,Site Audit and Inspection Recording System,0.49753111600875854
S-0079,"1/ AccuID, 2/ Pedestrian Analytics, 3/ Vehicle Analytics",0.4967714548110962
S-0322,NB-IoT / LoRa Dual-detection Smart Parking Sensing Technology,0.4951194226741791
S-0081,iQ-Road and Traffic Management,0.4949708580970764
S-0300,Smart Guiding Robot,0.49401140213012695
S-0001,PixelEye Object Detection,0.49347466230392456
S-0062,Parkingbnb,0.4921473264694214
S-0110,People Counting System (PCS),0.49093174934387207
S-0232,"""Smart"" Car Park Management System",0.49033570289611816
S-0012,"Monitoring and Early Warning System for Holding Concentration, Insider Trading, Short-selling and Stock Price Manipulation",0.484140545129776
S-0241,Intelligent Data Platform,0.4829167127609253
S-0219,"VR Virtual Store, Training & Education System",0.478057324886322
S-0067,AR Smart Glass Assisted for equipment training and O&M,0.47768744826316833
S-0113,Video Analytics Solution,0.4773831069469452
S-0174,VR Training & Education System,0.4718869924545288
S-0031,PowerArena - Smart City Operations Platform,0.47080886363983154
S-0251,Self Service Bike Rental Solution,0.4641135036945343
S-0119,Ziizau - Optimization of route design,0.46333110332489014
S-0146,Promon Shield - Application Protection and Security for IoT & Connected Devices,0.4613625705242157
S-0199,V-Key Mobile App Protection,0.45649099349975586
S-0191,NoQ E Form registration and quota distribution for massive traffic,0.45555466413497925
S-0102,Miovision's Portable Solution for Traffic Data Collection,0.45392683148384094
S-0225,DocAnalyzer - Document Review Solution,0.45276689529418945
S-0271,Server Data Analysis Service (User & Data),0.4523378610610962
S-0234,Pixel Eye Vision-Based Fall Detection,0.45187169313430786
S-0005,Smart Lamp Pole and Robotic,0.44775810837745667
S-0120,Raspect-ACE,0.4449491500854492
S-0044,AI Escalator Safety Monitoring System,0.4449388384819031
S-0154,Cisco Stealthwatch Encrypted Traffic Analytics,0.44267067313194275
S-0129,Automatic ID/Travel Document Recognition and Validation - OCR Solution,0.4422397017478943
S-0235,Pixel Eye Safety Helmets Detection,0.43790602684020996
S-0162,Automate the verification of electronic documents,0.4366964101791382
S-0016,Cyclops -- Smart City & unmanned store solution,0.4352836608886719
S-0014,2D Face Re-identification,0.43434131145477295
S-0155,Stella Enterprise Chatbot Builder,0.43232107162475586
S-0280,Digital parking solutions for enterprise (Include online pre booking and payment settle),0.4299795925617218
S-0147,Privacy-aware people counting system using Smart Radar sensor,0.42717036604881287
S-0169,Robotic Assistant,0.42675912380218506
S-0188,Data Vaccinator,0.4262767434120178
S-0156,Neo,0.4260925054550171
S-0100,Super Massive 3D Model Data Expert,0.42578044533729553
S-0112,Pyxis - The Internet of Things(IoT) Solution for Construction 2.0 and Beyond,0.4257299304008484
S-0201,Non image base access control,0.4227563142776489
S-0213,Radar-based smart motion and position tracking system,0.42205893993377686
S-0076,NEC InfoCage FileShell,0.4206552505493164
S-0227,Intelligent liquid crystal dimming film,0.4198320508003235
S-0004,Euclideon Vault - Smart City IOT 3D visualization,0.4197114109992981
S-0259,Software Robotic Solution - iBot,0.41941165924072266
S-0019,Personalized Education System,0.4187008738517761
S-0262,Mobile application development,0.4182922840118408
S-0214,ACX Visitor Management System,0.41776224970817566
S-0032,AI+IAQ Proptech: Zonal object counting by skeleton & form recognition integrated with indoor environmental control and room utilization management,0.4169561266899109
S-0210,AI Cloud for Smart Construction,0.4168010652065277
S-0159,Integrated Smart Film Solutions,0.416354775428772
S-0180,AR/ VR/ Interactive Design & Development,0.41480752825737
S-0035,Document Delivery By Unmanned Vehicle,0.4143749475479126
S-0197,WCL Robotic Process Automation Solution,0.41220009326934814
S-0056,Advanced Contextual Analytic Solution for public enquiries,0.4101244807243347
S-0299,Office Delivery Robot,0.4097149670124054
S-0167,IXIA ThreatARMOR,0.4078053832054138
S-0196,Personnel and Asset positioning management system,0.4069911539554596
S-0166,IXIA BREAKINGPOINT,0.4063107967376709
S-0051,Insight Driven Organization (IDO),0.40538305044174194
S-0142,NetMotion Mobility,0.40171489119529724
S-0029,"Field Services Management System using IoT, GIS and Mobile Technologies",0.40139108896255493
S-0107,POARD Your Presentation Stage,0.3985958993434906
S-0237,V-K V-OS Cloud Solutions,0.3969838619232178
S-0223,OceanX Share,0.396618127822876
S-0106,"Smart bin trash collection solution, especially remote area",0.39618563652038574
S-0249,Robotic Process Automation with A.I. Data Capturing Capability,0.39604294300079346
S-0055,Smart City Electric Vehicle (EV) Charging Infrastructure Solution,0.3954085409641266
S-0173,Go VR Immersive - Hololens 2 Mixed Reality Solution,0.3937472403049469
S-0020,Machines Predictive Maintenance,0.392669677734375
S-0139,imVision,0.39092952013015747
S-0279,RoomQ virtual waiting room for massive traffic,0.39069879055023193
S-0073,Enlighted Multi-Features Micro IoT Sensors Solution,0.3898995518684387
S-0229,SonoWatermark,0.38849419355392456
S-0231,AI Information push service management system,0.38761600852012634
S-0239,InterOps Accelerator,0.386698842048645
S-0153,Dynatrace,0.38627156615257263
S-0057,Artificial Intelligence Security Surveillance Protection  (AISSP),0.3861778974533081
S-0070,Well井 Smart Water Station,0.3861536383628845
S-0148,Zscaler,0.38460657000541687
S-0009,Precise And Responsive Indoor Location Tracking,0.3845950961112976
S-0099,NB IoT Sensor Solution,0.38423091173171997
S-0061,A.I. and Mixed Reality Solution,0.38417723774909973
S-0215,Self Check-in system for self-quarantined personal,0.38415297865867615
S-0059,EMF Workplaces Evaluation Program,0.3828745484352112
S-0275,SMore-OCR,0.38235706090927124
S-0072,Digital Twin of the City (or Town),0.3816756308078766
S-0204,DOLPHIN Indoor Positioning Service (IPS),0.37991565465927124
S-0030,IoT Building Access Control System,0.3790386915206909
S-0186,Technology of independent intellectual property identity authentication and tracking of close contacts of patients to assist in epidemic prevention and control and return to work,0.37697309255599976
S-0140,Drivelock,0.37658390402793884
S-0133,PANGA - Data Infrastructure Edge Computing for Smart Cities,0.3756030797958374
S-0008,Shape Security - Shape Enterprise Defense,0.37378478050231934
S-0123,Complete Encryption with HSM,0.3721840977668762
S-0124,Enterprise Intelligent Assistant,0.3706948161125183
S-0207,Pandemic Management System,0.37031126022338867
S-0296,BLOK Pass App for Travel Bubble,0.3699413239955902
S-0040,RVM One Stop Recycling Solution,0.3697207570075989
S-0254,FormExtractor,0.36967459321022034
S-0282,Chatbot Solution - ccRobot,0.3658095598220825
S-0052,OpenCloud CMP,0.36485838890075684
S-0260,Mobile platform with handheld devices for on-site inspection and remote work duties,0.3630755543708801
S-0058,IoT Cybersecurity Testing and Certification Program,0.3629998564720154
S-0024,Automated Refuse Collection System with 1 chute for multi fractions,0.3629361689090729
S-0138,Radware DefensePro and AppWall,0.36210721731185913
S-0011,Precise Outdoor Crowd Analysis,0.3610954284667969
S-0038,Hybrid Reality Platform,0.36087512969970703
S-0256,AIOps (Artificial Intelligence for IT Operations) Solution,0.3585982322692871
S-0065,Smart Mobility,0.35808753967285156
S-0137,Splunk,0.357077956199646
S-0252,Critical Event Management,0.3545824885368347
S-0103,SP-RFID Smart Asset Management System,0.35457712411880493
S-0083,Smart Pharma Packaging,0.3540201783180237
S-0078,Finger Vein PBI (Public Biometric Infrastructure) Platform for Smart City ID Authentication,0.3535395562648773
S-0158,Switchable Glass / Film,0.35232895612716675
S-0128,Iris by HKT - From Surveillance to Intelligence,0.34991979598999023
S-0205,Centrak Quarantine Management Solution,0.34976980090141296
S-0175,Thermal Imaging Body Temperature Measurement Solution,0.34680020809173584
S-0013,Public Event Tracking and Early Warning Analysis System,0.3460506796836853
S-0144,ZIroh Labs - Advanced Data Privacy and Encryption Technology,0.3456736207008362
S-0017,Falling Alert System for Elderly Care-- Optical Monitoring System (OMS),0.3447893261909485
S-0250,UiPath Automation Platform,0.34111708402633667
S-0134,Smart Building - Energy Management and Optimization Solutions,0.3386947512626648
S-0209,Control-M (BMC Software),0.3346613645553589
S-0034,Cloud Energy Management Platform,0.33425137400627136
S-0047,Smart Taxpayer Services with Machine Learning,0.3341527283191681
S-0074,AI Chiller Plant – Smart Chiller Plant Optimization using Artificial Intelligence,0.33382850885391235
S-0164,Relate App,0.3334236443042755
S-0263,SafeGuard Series,0.33293744921684265
S-0248,OFS Website Tracking System,0.332211971282959
S-0042,Smart Water Duct Valve for shared Housing,0.3320862054824829
S-0243,LiDAR Road Monitoring Solutions based on Deep Learning Technology,0.33203813433647156
S-0211,Customised Mobile Application solution,0.33167338371276855
S-0023,Payment Solution for Housing Authority and Leisure and Cultural Department,0.33137208223342896
S-0048,AI-based Application,0.3313553035259247
S-0176,Epidemic prevention and control management system,0.33109617233276367
S-0114,Worker Insights,0.3305475115776062
S-0064,Smart Education(Class VR),0.32919812202453613
S-0283,All-in-one Mobile Productivity Platform,0.3291674852371216
S-0236,Workflow automation solution,0.3290257751941681
S-0221,AI and IT enhanced learning platform,0.32839810848236084
S-0273,Talos,0.32746392488479614
S-0002,DataCube Data Intelligent Automation Solution,0.32675835490226746
S-0165,Health Monitoring System,0.32614749670028687
S-0182,AppProtect+ (RASP) / YESsafe Zero Login (OTP) / AccessMatrix Universal Sign-On (SSO),0.32488200068473816
S-0255,Authgear,0.3244238495826721
S-0093,DataOS System,0.32341092824935913
S-0152,Datax,0.3232342004776001
S-0135,ISS Analytics Services,0.32274144887924194
S-0095,Create Efficient and Simplify Business Processes Using NFC,0.3226960599422455
S-0226,"Sky Drone - Autonomous Drone Solution (""Drone-in-a-Box"")",0.32225942611694336
S-0157,NLP-powered Chatbot by Xiaomi,0.320950448513031
S-0168,IXIA Vision ONE (Network Packet Broker),0.31966254115104675
S-0096,Clare.AI Asian Language Chatbot Solutions,0.3195984661579132
S-0267,Smart Fever Screening System,0.3192775547504425
S-0098,ECOPLANT Solar Tracking Solar Panel System,0.3190762400627136
S-0247,Seclore Digital Rights Management,0.31679409742355347
S-0089,Smart Infrastructure Projects Planning and Execution,0.31664910912513733
S-0010,Precise Facility Crowd Analysis,0.31607258319854736
S-0143,Cyberbit,0.312053382396698
S-0242,Queue-it -  Virtual Waiting Room,0.3104875385761261
S-0126,Self Service Business Intelligence,0.30970630049705505
S-0060,FROM Network Audit Programs,0.3095152974128723
S-0171,Augmented Reality (AR) model,0.30893251299858093
S-0037,4D Immersive CAVE,0.3079695701599121
S-0127,Event Management technology,0.3075999915599823
S-0261,DragOnce Platform,0.3066059947013855
S-0104,Litbulb Technologies,0.3052324950695038
S-0049,Blockchain Solution,0.3049582242965698
S-0045,SAP Big Data Solution,0.3049525022506714
S-0230,STEMHUB Education Platform,0.30338504910469055
S-0163,Ai-Knowie,0.3029344975948334
S-0071,All-in-one Data Center - iDCmini System,0.30139410495758057
S-0181,Artificial Intelligence Camera Solutions,0.29898694157600403
S-0046,SAP Digital Boardroom,0.2984907329082489
S-0177,MAD Gaze Smart Glass,0.2971668243408203
S-0033,ATAL’s Cloud-based Chiller Plant Energy Management Platform (EM-Platform),0.2967453598976135
S-0202,One card e-payment solution for GBA(Guangdong-hong kong-Macao Greater Bay area),0.29575315117836
S-0287,Siemens Mobility (e-)bike sharing powered by AI,0.2956708073616028
S-0222,Agorize Innovation Sourcing Platform,0.2952469289302826
S-0082,A.I. Contact Center and User Engagement Solution,0.29475492238998413
S-0179,"""TeleVoice""  AI Robot Solution for DHS (Demographic and Health Surveys)",0.2932316064834595
S-0289,Life Planning & Blockchain,0.2931904196739197
S-0015,3D Face Re-identification,0.2928280830383301
S-0084,NFC Product Authentication,0.29179054498672485
S-0272,Hybrid/ E Bus/ Mini Bus and Ferry Boat,0.29092442989349365
S-0086,Micro-Chip 2.0 for pets,0.2907303273677826
S-0294,Live Webinar Streaming service,0.28855493664741516
S-0092,Enable the wireless connectivity for IoT devices,0.28730183839797974
S-0063,UHD Multi-Channel Video Live Broadcast,0.28588050603866577
S-0195,SuperAcc Document Intelligence,0.2851283848285675
S-0218,Chief,0.2841234803199768
S-0003,GeoSpatial Cloud,0.28228065371513367
S-0041,A.I. and speech solutions by Nexify and iFLYTEK,0.28217899799346924
S-0006,Centimeter level precision GNSS positioning Android tablet/smartphone,0.2816261053085327
S-0094,Digital Transformation with Low code development platform,0.2815839946269989
S-0160,Smart glass,0.2813791036605835
S-0136,Document Authentication,0.27876925468444824
S-0054,TicketME Blockchain Ticketing Platform,0.2787465751171112
S-0178,Motor Insurance DLT Authentication System - MIDAS,0.2783468961715698
S-0224,OceanX Workflow,0.2783125042915344
S-0217,nCloud Fault-Tolerant Geo-distributed Hyperconverged Infrastructure (HCI),0.27760663628578186
S-0190,Una Interactive Training Platform,0.27567654848098755
S-0105,Blockchain solution,0.2755202054977417
S-0007,Smart Life,0.2746862769126892
S-0121,Chatbot Solution and NLP applications from ZhuiYi Technology,0.2737526297569275
S-0194,UWB Beacon RTLS Solution,0.27271872758865356
S-0027,Big Data Enabler Service (project based),0.2717527747154236
S-0244,ServiceNow - ITSM solution,0.2698422074317932
S-0288,Mixed language Chatbot system with AI and voice functions,0.26720768213272095
S-0286,IoT Sensors and Automatic Monitoring System (AMS),0.2661861777305603
S-0050,Deloitte ASSIST,0.2658988833427429
S-0238,Rice Robotics,0.2656613290309906
S-0087,Smart Citizen and Employee Self-Services,0.26532819867134094
S-0122,"Smart City Solution - IoT, AI, Data Analytics Platform, Control",0.2640482187271118
S-0187,Provide an implementation plan for the Hongkong Financial Secretary's policy of granting HK $10 thousand to permanent residents aged 18 or above.,0.26342377066612244
S-0090,Smart Employee Learning Management,0.26259464025497437
