Reference Code,Solution Name (Eng),Cosine Similarity
S-0044,AI Escalator Safety Monitoring System,0.62268543
S-0233,Area monitoring solution using 3D camera with privacy-preserving,0.5964016
S-0281,"Smart 5G Integrated Multi-Operator Active Distributed Antenna Solution for Malls, Venues and Stadiums",0.5923538
S-0027,Big Data Enabler Service (project based),0.5751893
S-0220,3D Spatial Intelligence Platform for flow and traffic managements,0.57065386
S-0275,SMore-OCR,0.56874466
S-0079,"1/ AccuID, 2/ Pedestrian Analytics, 3/ Vehicle Analytics",0.5666383
S-0022,A smart lamp pole system with AI-enabled security system,0.565727
S-0009,Precise And Responsive Indoor Location Tracking,0.56215835
S-0122,"Smart City Solution - IoT, AI, Data Analytics Platform, Control",0.5560292
S-0101,​LANDRAY Office Automation (OA) system solutions,0.5549435
S-0097,Smart Home e-Health Monitoring and Care System,0.552372
S-0187,Provide an implementation plan for the Hongkong Financial Secretary's policy of granting HK $10 thousand to permanent residents aged 18 or above.,0.5523068
S-0175,Thermal Imaging Body Temperature Measurement Solution,0.5499983
S-0158,Switchable Glass / Film,0.5486705
S-0266,Site Audit and Inspection Recording System,0.5443231
S-0296,BLOK Pass App for Travel Bubble,0.54405034
S-0024,Automated Refuse Collection System with 1 chute for multi fractions,0.5426439
S-0108,SparkXIO Smart Car Park Management System,0.54214275
S-0130,OpenLegacy API factory,0.53742135
S-0036,Intelligent Traffic Monitoring,0.537211
S-0063,UHD Multi-Channel Video Live Broadcast,0.5356429
S-0150,A.I. Facial Recognition Application for Event Photo Delivery,0.5350605
S-0089,Smart Infrastructure Projects Planning and Execution,0.5346872
S-0012,"Monitoring and Early Warning System for Holding Concentration, Insider Trading, Short-selling and Stock Price Manipulation",0.53095144
S-0076,NEC InfoCage FileShell,0.53088677
S-0228,eClass Corporate Learning Management System (LMS),0.53071666
S-0124,Enterprise Intelligent Assistant,0.5303434
S-0138,Radware DefensePro and AppWall,0.52982384
S-0256,AIOps (Artificial Intelligence for IT Operations) Solution,0.52938175
S-0008,Shape Security - Shape Enterprise Defense,0.5280513
S-0011,Precise Outdoor Crowd Analysis,0.5274681
S-0263,SafeGuard Series,0.5244553
S-0217,nCloud Fault-Tolerant Geo-distributed Hyperconverged Infrastructure (HCI),0.5230289
S-0085,SAP Geospatial Asset Management,0.5217355
S-0194,UWB Beacon RTLS Solution,0.5211398
S-0163,Ai-Knowie,0.52103007
S-0095,Create Efficient and Simplify Business Processes Using NFC,0.52010816
S-0235,Pixel Eye Safety Helmets Detection,0.51678145
S-0066,Smart Water Management,0.51657474
S-0299,Office Delivery Robot,0.516533
S-0023,Payment Solution for Housing Authority and Leisure and Cultural Department,0.5151829
S-0082,A.I. Contact Center and User Engagement Solution,0.5148326
S-0029,"Field Services Management System using IoT, GIS and Mobile Technologies",0.5147444
S-0186,Technology of independent intellectual property identity authentication and tracking of close contacts of patients to assist in epidemic prevention and control and return to work,0.5145003
S-0035,Document Delivery By Unmanned Vehicle,0.51448315
S-0145,Arcserve® Appliance Series,0.51398927
S-0050,Deloitte ASSIST,0.50913054
S-0004,Euclideon Vault - Smart City IOT 3D visualization,0.50732666
S-0031,PowerArena - Smart City Operations Platform,0.5068374
S-0280,Digital parking solutions for enterprise (Include online pre booking and payment settle),0.5062472
S-0174,VR Training & Education System,0.50587815
S-0153,Dynatrace,0.50553185
S-0255,Authgear,0.5051007
S-0199,V-Key Mobile App Protection,0.50468314
S-0015,3D Face Re-identification,0.5033873
S-0087,Smart Citizen and Employee Self-Services,0.5028207
S-0154,Cisco Stealthwatch Encrypted Traffic Analytics,0.50255394
S-0047,Smart Taxpayer Services with Machine Learning,0.5022554
S-0212,AI Solution for Outdoor People Counting without invading privacy,0.5007722
S-0112,Pyxis - The Internet of Things(IoT) Solution for Construction 2.0 and Beyond,0.5007565
S-0074,AI Chiller Plant – Smart Chiller Plant Optimization using Artificial Intelligence,0.5005269
S-0208,Indoor Map and Positioning for Smart City,0.5003499
S-0113,Video Analytics Solution,0.49998462
S-0300,Smart Guiding Robot,0.499766
S-0028,ShipAny - First Smart Logistics Gateway for HK Domestic Logistics Service,0.49971008
S-0292,Telepresence and Video Conferencing Solution,0.4996506
S-0146,Promon Shield - Application Protection and Security for IoT & Connected Devices,0.4994186
S-0065,Smart Mobility,0.49852297
S-0034,Cloud Energy Management Platform,0.49839702
S-0223,OceanX Share,0.49821422
S-0110,People Counting System (PCS),0.49655885
S-0165,Health Monitoring System,0.49646133
S-0142,NetMotion Mobility,0.496138
S-0245,Locobike：Automatic Bicycle Rental System,0.49607038
S-0232,"""Smart"" Car Park Management System",0.4959607
S-0043,fieldConnect,0.4956863
S-0032,AI+IAQ Proptech: Zonal object counting by skeleton & form recognition integrated with indoor environmental control and room utilization management,0.4947217
S-0080,OceanX Cloud-based Enterprise Content Management (ECM),0.49373853
S-0021,ReportNOW,0.49296698
S-0261,DragOnce Platform,0.4929617
S-0221,AI and IT enhanced learning platform,0.492818
S-0016,Cyclops -- Smart City & unmanned store solution,0.49174193
S-0033,ATAL’s Cloud-based Chiller Plant Energy Management Platform (EM-Platform),0.4915749
S-0179,"""TeleVoice""  AI Robot Solution for DHS (Demographic and Health Surveys)",0.49086076
S-0119,Ziizau - Optimization of route design,0.49056375
S-0048,AI-based Application,0.49010432
S-0090,Smart Employee Learning Management,0.490049
S-0254,FormExtractor,0.49000755
S-0057,Artificial Intelligence Security Surveillance Protection  (AISSP),0.4897636
S-0181,Artificial Intelligence Camera Solutions,0.48975122
S-0061,A.I. and Mixed Reality Solution,0.48944297
S-0273,Talos,0.4890713
S-0010,Precise Facility Crowd Analysis,0.48881108
S-0111,Smart car park solution,0.488472
S-0286,IoT Sensors and Automatic Monitoring System (AMS),0.48707068
S-0091,Next Generation Growable Optical Networks,0.48685557
S-0214,ACX Visitor Management System,0.48600253
S-0183,An Intelligent Solution for Automatic Processing and Chasing of Documents,0.4858088
S-0102,Miovision's Portable Solution for Traffic Data Collection,0.48545113
S-0013,Public Event Tracking and Early Warning Analysis System,0.48448932
S-0264,Smart Parking with Video Analytics,0.48422223
S-0242,Queue-it -  Virtual Waiting Room,0.4841706
S-0132,Mobility Mesh Wi-Fi Application for Smart City,0.48390907
S-0152,Datax,0.48318547
S-0225,DocAnalyzer - Document Review Solution,0.48243567
S-0265,Business Process Management Platform,0.48229256
S-0241,Intelligent Data Platform,0.48154256
S-0141,HubSecurity,0.4814025
S-0093,DataOS System,0.4812856
S-0166,IXIA BREAKINGPOINT,0.48107347
S-0096,Clare.AI Asian Language Chatbot Solutions,0.4807013
S-0099,NB IoT Sensor Solution,0.48065498
S-0003,GeoSpatial Cloud,0.48055145
S-0240,Multilingual Voice Assistant,0.48049012
S-0244,ServiceNow - ITSM solution,0.47925273
S-0083,Smart Pharma Packaging,0.47924015
S-0239,InterOps Accelerator,0.47902548
S-0053,Real-Time Origin-Destination Analysis Tool (RODAT）,0.47895327
S-0196,Personnel and Asset positioning management system,0.47875252
S-0002,DataCube Data Intelligent Automation Solution,0.47862568
