Reference Code,Solution Name (Eng),Cosine Similarity
S-0222,Agorize Innovation Sourcing Platform,0.7221142649650574
S-0265,Business Process Management Platform,0.6995220184326172
S-0254,FormExtractor,0.6932926177978516
S-0275,SMore-OCR,0.6664612293243408
S-0241,Intelligent Data Platform,0.6590437889099121
S-0255,Authgear,0.6582648754119873
S-0247,Seclore Digital Rights Management,0.6553614139556885
S-0093,DataOS System,0.6473090648651123
S-0214,ACX Visitor Management System,0.6330386400222778
S-0058,IoT Cybersecurity Testing and Certification Program,0.6264517903327942
S-0163,Ai-Knowie,0.6201451420783997
S-0072,Digital Twin of the City (or Town),0.6192930340766907
S-0266,Site Audit and Inspection Recording System,0.6186274886131287
S-0060,FROM Network Audit Programs,0.6179519891738892
S-0112,Pyxis - The Internet of Things(IoT) Solution for Construction 2.0 and Beyond,0.6161338090896606
S-0162,Automate the verification of electronic documents,0.6138361096382141
S-0137,Splunk,0.6135244369506836
S-0027,Big Data Enabler Service (project based),0.6078300476074219
S-0259,Software Robotic Solution - iBot,0.6064978241920471
S-0300,Smart Guiding Robot,0.605304479598999
S-0127,Event Management technology,0.6050225496292114
S-0248,OFS Website Tracking System,0.604590654373169
S-0079,"1/ AccuID, 2/ Pedestrian Analytics, 3/ Vehicle Analytics",0.600699245929718
S-0030,IoT Building Access Control System,0.5948518514633179
S-0169,Robotic Assistant,0.594566285610199
S-0256,AIOps (Artificial Intelligence for IT Operations) Solution,0.5919626355171204
S-0051,Insight Driven Organization (IDO),0.5895197987556458
S-0231,AI Information push service management system,0.5806931257247925
S-0164,Relate App,0.5757306814193726
S-0061,A.I. and Mixed Reality Solution,0.5744166374206543
S-0152,Datax,0.5742974281311035
S-0161,LiDAR and Optical Sensing applications for Smart City,0.5736029744148254
S-0224,OceanX Workflow,0.5700088739395142
S-0044,AI Escalator Safety Monitoring System,0.5677570104598999
S-0009,Precise And Responsive Indoor Location Tracking,0.5675278306007385
S-0197,WCL Robotic Process Automation Solution,0.5672168135643005
S-0282,Chatbot Solution - ccRobot,0.5671188831329346
S-0126,Self Service Business Intelligence,0.5652769804000854
S-0050,Deloitte ASSIST,0.5650451183319092
S-0074,AI Chiller Plant – Smart Chiller Plant Optimization using Artificial Intelligence,0.5648565888404846
S-0049,Blockchain Solution,0.5641582012176514
S-0228,eClass Corporate Learning Management System (LMS),0.5641422271728516
S-0052,OpenCloud CMP,0.5621517300605774
S-0100,Super Massive 3D Model Data Expert,0.5609885454177856
S-0240,Multilingual Voice Assistant,0.5603973865509033
S-0173,Go VR Immersive - Hololens 2 Mixed Reality Solution,0.5581969022750854
S-0230,STEMHUB Education Platform,0.5573723316192627
S-0016,Cyclops -- Smart City & unmanned store solution,0.556978166103363
S-0113,Video Analytics Solution,0.5548993349075317
S-0013,Public Event Tracking and Early Warning Analysis System,0.5546518564224243
S-0069,Citizen Cloud,0.5546030402183533
S-0131,ISS Project Management System,0.5538091659545898
S-0038,Hybrid Reality Platform,0.5470729470252991
S-0246,Remo Video Conferencing,0.5460627675056458
S-0046,SAP Digital Boardroom,0.5456539988517761
