Reference Code,Solution Name (Eng),Cosine Similarity
S-0038,Hybrid Reality Platform,0.6606988310813904
S-0230,STEMHUB Education Platform,0.6577613353729248
S-0262,Mobile application development,0.5996091961860657
S-0100,Super Massive 3D Model Data Expert,0.5954310894012451
S-0090,Smart Employee Learning Management,0.5849199295043945
S-0058,IoT Cybersecurity Testing and Certification Program,0.5791513919830322
S-0155,Stella Enterprise Chatbot Builder,0.5787310004234314
S-0101,​LANDRAY Office Automation (OA) system solutions,0.5771759748458862
S-0089,Smart Infrastructure Projects Planning and Execution,0.570185661315918
S-0283,All-in-one Mobile Productivity Platform,0.5683221220970154
S-0050,Deloitte ASSIST,0.5649392604827881
S-0134,Smart Building - Energy Management and Optimization Solutions,0.5609098672866821
S-0210,AI Cloud for Smart Construction,0.560814380645752
S-0231,AI Information push service management system,0.558506190776825
S-0222,Agorize Innovation Sourcing Platform,0.5541216731071472
S-0266,Site Audit and Inspection Recording System,0.5531607866287231
S-0171,Augmented Reality (AR) model,0.5511930584907532
S-0260,Mobile platform with handheld devices for on-site inspection and remote work duties,0.5454707145690918
S-0236,Workflow automation solution,0.5448657870292664
S-0259,Software Robotic Solution - iBot,0.5432038903236389
S-0027,Big Data Enabler Service (project based),0.539325475692749
S-0232,"""Smart"" Car Park Management System",0.5384249687194824
S-0202,One card e-payment solution for GBA(Guangdong-hong kong-Macao Greater Bay area),0.5360459089279175
S-0228,eClass Corporate Learning Management System (LMS),0.5351823568344116
S-0256,AIOps (Artificial Intelligence for IT Operations) Solution,0.5350254774093628
S-0261,DragOnce Platform,0.534955620765686
S-0112,Pyxis - The Internet of Things(IoT) Solution for Construction 2.0 and Beyond,0.5336157083511353
S-0052,OpenCloud CMP,0.5298647284507751
S-0244,ServiceNow - ITSM solution,0.5296024680137634
S-0026,Knowledge Management Solution (KM Power),0.5279428362846375
S-0275,SMore-OCR,0.5277367830276489
S-0224,OceanX Workflow,0.5261579751968384
S-0239,InterOps Accelerator,0.525676429271698
S-0162,Automate the verification of electronic documents,0.5212293863296509
S-0152,Datax,0.5206377506256104
S-0056,Advanced Contextual Analytic Solution for public enquiries,0.5177822113037109
S-0186,Technology of independent intellectual property identity authentication and tracking of close contacts of patients to assist in epidemic prevention and control and return to work,0.5146942138671875
S-0071,All-in-one Data Center - iDCmini System,0.5129387974739075
S-0197,WCL Robotic Process Automation Solution,0.510723888874054
S-0288,Mixed language Chatbot system with AI and voice functions,0.505955159664154
S-0209,Control-M (BMC Software),0.5052120685577393
S-0032,AI+IAQ Proptech: Zonal object counting by skeleton & form recognition integrated with indoor environmental control and room utilization management,0.5040963888168335
S-0161,LiDAR and Optical Sensing applications for Smart City,0.5040698051452637
S-0273,Talos,0.5037007331848145
S-0179,"""TeleVoice""  AI Robot Solution for DHS (Demographic and Health Surveys)",0.503696084022522
S-0265,Business Process Management Platform,0.5036900639533997
S-0002,DataCube Data Intelligent Automation Solution,0.5020173788070679
S-0043,fieldConnect,0.5017834305763245
S-0127,Event Management technology,0.5013276934623718
S-0069,Citizen Cloud,0.5012387037277222
S-0110,People Counting System (PCS),0.5006231069564819
S-0195,SuperAcc Document Intelligence,0.4991510808467865
S-0072,Digital Twin of the City (or Town),0.4985886216163635
S-0119,Ziizau - Optimization of route design,0.4961649477481842
S-0218,Chief,0.49575260281562805
S-0094,Digital Transformation with Low code development platform,0.49559086561203003
S-0114,Worker Insights,0.49309539794921875
S-0282,Chatbot Solution - ccRobot,0.49256259202957153
S-0252,Critical Event Management,0.4924166202545166
S-0093,DataOS System,0.49238690733909607
S-0280,Digital parking solutions for enterprise (Include online pre booking and payment settle),0.4913259744644165
S-0029,"Field Services Management System using IoT, GIS and Mobile Technologies",0.4908469021320343
S-0173,Go VR Immersive - Hololens 2 Mixed Reality Solution,0.48934406042099
S-0216,BMC Helix Service & Operations Management,0.4883124530315399
S-0221,AI and IT enhanced learning platform,0.486921489238739
S-0203,Government payment scheme online application and data processing,0.4866328835487366
S-0079,"1/ AccuID, 2/ Pedestrian Analytics, 3/ Vehicle Analytics",0.48231109976768494
S-0225,DocAnalyzer - Document Review Solution,0.4822012782096863
S-0220,3D Spatial Intelligence Platform for flow and traffic managements,0.48140960931777954
S-0020,Machines Predictive Maintenance,0.47716015577316284
S-0046,SAP Digital Boardroom,0.4729437232017517
S-0249,Robotic Process Automation with A.I. Data Capturing Capability,0.47218096256256104
S-0121,Chatbot Solution and NLP applications from ZhuiYi Technology,0.47035738825798035
S-0125,"BIM, BMS and IoT Integration",0.47027668356895447
S-0214,ACX Visitor Management System,0.4699237048625946
S-0272,Hybrid/ E Bus/ Mini Bus and Ferry Boat,0.46939265727996826
S-0131,ISS Project Management System,0.46816015243530273
S-0019,Personalized Education System,0.46608084440231323
S-0082,A.I. Contact Center and User Engagement Solution,0.4644433259963989
S-0051,Insight Driven Organization (IDO),0.4621618688106537
S-0120,Raspect-ACE,0.4611087441444397
S-0097,Smart Home e-Health Monitoring and Care System,0.4605916738510132
S-0111,Smart car park solution,0.4572560787200928
S-0088,Public vehicle real-time arrival forecast system and real-time seat detection system,0.4572000205516815
S-0132,Mobility Mesh Wi-Fi Application for Smart City,0.45663484930992126
S-0126,Self Service Business Intelligence,0.4560539722442627
S-0248,OFS Website Tracking System,0.4558216333389282
S-0142,NetMotion Mobility,0.45511674880981445
S-0241,Intelligent Data Platform,0.45427632331848145
S-0054,TicketME Blockchain Ticketing Platform,0.45305484533309937
S-0217,nCloud Fault-Tolerant Geo-distributed Hyperconverged Infrastructure (HCI),0.4522186815738678
S-0085,SAP Geospatial Asset Management,0.4520115852355957
S-0033,ATAL’s Cloud-based Chiller Plant Energy Management Platform (EM-Platform),0.4519394040107727
S-0040,RVM One Stop Recycling Solution,0.45161184668540955
S-0129,Automatic ID/Travel Document Recognition and Validation - OCR Solution,0.4507002830505371
S-0059,EMF Workplaces Evaluation Program,0.44999805092811584
S-0005,Smart Lamp Pole and Robotic,0.44846755266189575
S-0030,IoT Building Access Control System,0.4464983642101288
S-0081,iQ-Road and Traffic Management,0.44644033908843994
S-0107,POARD Your Presentation Stage,0.4460078775882721
S-0250,UiPath Automation Platform,0.4444025754928589
S-0247,Seclore Digital Rights Management,0.4442232549190521
S-0211,Customised Mobile Application solution,0.44283896684646606
S-0292,Telepresence and Video Conferencing Solution,0.44109097123146057
S-0164,Relate App,0.44096899032592773
S-0060,FROM Network Audit Programs,0.440878689289093
S-0074,AI Chiller Plant – Smart Chiller Plant Optimization using Artificial Intelligence,0.4406215250492096
S-0169,Robotic Assistant,0.44060826301574707
S-0091,Next Generation Growable Optical Networks,0.44002407789230347
S-0104,Litbulb Technologies,0.43816813826560974
S-0102,Miovision's Portable Solution for Traffic Data Collection,0.43815720081329346
S-0254,FormExtractor,0.4374309778213501
S-0133,PANGA - Data Infrastructure Edge Computing for Smart Cities,0.43598493933677673
S-0004,Euclideon Vault - Smart City IOT 3D visualization,0.43473440408706665
S-0190,Una Interactive Training Platform,0.4333421289920807
S-0080,OceanX Cloud-based Enterprise Content Management (ECM),0.42895638942718506
S-0163,Ai-Knowie,0.42681920528411865
S-0255,Authgear,0.42631983757019043
S-0010,Precise Facility Crowd Analysis,0.4257558584213257
S-0300,Smart Guiding Robot,0.4245131015777588
S-0013,Public Event Tracking and Early Warning Analysis System,0.4213985800743103
S-0135,ISS Analytics Services,0.42132359743118286
S-0246,Remo Video Conferencing,0.41640061140060425
S-0068,Reliability Centered Asset Management - Dynamic (RCAM-dyn),0.41583675146102905
S-0031,PowerArena - Smart City Operations Platform,0.4155481159687042
S-0087,Smart Citizen and Employee Self-Services,0.41425058245658875
S-0243,LiDAR Road Monitoring Solutions based on Deep Learning Technology,0.41353195905685425
S-0049,Blockchain Solution,0.41311341524124146
S-0064,Smart Education(Class VR),0.4124002158641815
S-0044,AI Escalator Safety Monitoring System,0.41210034489631653
S-0279,RoomQ virtual waiting room for massive traffic,0.4116712808609009
S-0153,Dynatrace,0.41163432598114014
S-0116,Smart Parking Solution,0.411357581615448
S-0281,"Smart 5G Integrated Multi-Operator Active Distributed Antenna Solution for Malls, Venues and Stadiums",0.41133618354797363
S-0235,Pixel Eye Safety Helmets Detection,0.4104280471801758
S-0137,Splunk,0.410335898399353
S-0048,AI-based Application,0.4092916250228882
S-0237,V-K V-OS Cloud Solutions,0.4089210629463196
S-0287,Siemens Mobility (e-)bike sharing powered by AI,0.4082191586494446
S-0172,Earthy,0.4062807857990265
S-0242,Queue-it -  Virtual Waiting Room,0.40451496839523315
S-0156,Neo,0.404011070728302
S-0115,All-in-one event management software,0.4038013815879822
S-0009,Precise And Responsive Indoor Location Tracking,0.40262097120285034
