Reference Code,Solution Name (Eng),Cosine Similarity
S-0248,OFS Website Tracking System,0.6982197761535645
S-0013,Public Event Tracking and Early Warning Analysis System,0.6704416275024414
S-0127,Event Management technology,0.6702495813369751
S-0099,NB IoT Sensor Solution,0.6699354648590088
S-0046,SAP Digital Boardroom,0.6602145433425903
S-0247,Seclore Digital Rights Management,0.6598219275474548
S-0038,Hybrid Reality Platform,0.6580801010131836
S-0113,Video Analytics Solution,0.6570624113082886
S-0085,SAP Geospatial Asset Management,0.654963493347168
S-0230,STEMHUB Education Platform,0.6547815203666687
S-0089,Smart Infrastructure Projects Planning and Execution,0.6534408330917358
S-0115,All-in-one event management software,0.6503944993019104
S-0179,"""TeleVoice""  AI Robot Solution for DHS (Demographic and Health Surveys)",0.6439627408981323
S-0045,SAP Big Data Solution,0.6329010725021362
S-0252,Critical Event Management,0.627136766910553
S-0129,Automatic ID/Travel Document Recognition and Validation - OCR Solution,0.6269419193267822
S-0214,ACX Visitor Management System,0.6267690062522888
S-0286,IoT Sensors and Automatic Monitoring System (AMS),0.6250789165496826
S-0228,eClass Corporate Learning Management System (LMS),0.6193586587905884
S-0094,Digital Transformation with Low code development platform,0.6175940036773682
S-0034,Cloud Energy Management Platform,0.6155285835266113
S-0244,ServiceNow - ITSM solution,0.615486741065979
S-0052,OpenCloud CMP,0.6147712469100952
S-0120,Raspect-ACE,0.6146119832992554
S-0162,Automate the verification of electronic documents,0.6143850088119507
S-0051,Insight Driven Organization (IDO),0.6140663623809814
S-0049,Blockchain Solution,0.6127220392227173
S-0118,Alteryx,0.6108556985855103
S-0240,Multilingual Voice Assistant,0.6099337339401245
S-0010,Precise Facility Crowd Analysis,0.609095573425293
S-0123,Complete Encryption with HSM,0.6082289218902588
S-0135,ISS Analytics Services,0.6079455614089966
S-0275,SMore-OCR,0.6077672243118286
S-0239,InterOps Accelerator,0.606359601020813
S-0137,Splunk,0.6038970351219177
S-0256,AIOps (Artificial Intelligence for IT Operations) Solution,0.6020422577857971
S-0131,ISS Project Management System,0.6014283895492554
S-0053,Real-Time Origin-Destination Analysis Tool (RODAT）,0.6003782749176025
