Reference Code,Solution Name (Eng),Cosine Similarity
S-0212,AI Solution for Outdoor People Counting without invading privacy,0.6723049879074097
S-0036,Intelligent Traffic Monitoring,0.5875226259231567
S-0029,"Field Services Management System using IoT, GIS and Mobile Technologies",0.5850082039833069
S-0233,Area monitoring solution using 3D camera with privacy-preserving,0.5800260901451111
S-0024,Automated Refuse Collection System with 1 chute for multi fractions,0.5596174001693726
S-0039,iQ-Dwell Time Management System,0.5546435117721558
S-0147,Privacy-aware people counting system using Smart Radar sensor,0.548490583896637
S-0011,Precise Outdoor Crowd Analysis,0.5446389317512512
S-0106,"Smart bin trash collection solution, especially remote area",0.5341715216636658
S-0129,Automatic ID/Travel Document Recognition and Validation - OCR Solution,0.5287109017372131
S-0062,Parkingbnb,0.5261691212654114
S-0251,Self Service Bike Rental Solution,0.5238637924194336
S-0191,NoQ E Form registration and quota distribution for massive traffic,0.5220229625701904
S-0030,IoT Building Access Control System,0.5191501975059509
S-0113,Video Analytics Solution,0.5173693895339966
S-0252,Critical Event Management,0.5156941413879395
S-0111,Smart car park solution,0.5146712064743042
S-0210,AI Cloud for Smart Construction,0.5120670795440674
S-0042,Smart Water Duct Valve for shared Housing,0.5089741945266724
S-0259,Software Robotic Solution - iBot,0.508478045463562
S-0016,Cyclops -- Smart City & unmanned store solution,0.5067935585975647
S-0234,Pixel Eye Vision-Based Fall Detection,0.5059170722961426
S-0110,People Counting System (PCS),0.5048812031745911
S-0094,Digital Transformation with Low code development platform,0.5025725364685059
S-0070,Well井 Smart Water Station,0.501165509223938
S-0211,Customised Mobile Application solution,0.5005308389663696
S-0032,AI+IAQ Proptech: Zonal object counting by skeleton & form recognition integrated with indoor environmental control and room utilization management,0.49998679757118225
S-0095,Create Efficient and Simplify Business Processes Using NFC,0.4990478456020355
S-0196,Personnel and Asset positioning management system,0.49752771854400635
S-0239,InterOps Accelerator,0.49689817428588867
S-0120,Raspect-ACE,0.4935152232646942
S-0020,Machines Predictive Maintenance,0.4931981861591339
S-0241,Intelligent Data Platform,0.4910550117492676
S-0022,A smart lamp pole system with AI-enabled security system,0.4892147183418274
S-0035,Document Delivery By Unmanned Vehicle,0.48917290568351746
S-0001,PixelEye Object Detection,0.48661136627197266
S-0047,Smart Taxpayer Services with Machine Learning,0.47832250595092773
S-0169,Robotic Assistant,0.477876752614975
S-0154,Cisco Stealthwatch Encrypted Traffic Analytics,0.4778260588645935
S-0115,All-in-one event management software,0.47740787267684937
S-0250,UiPath Automation Platform,0.4760343134403229
S-0187,Provide an implementation plan for the Hongkong Financial Secretary's policy of granting HK $10 thousand to permanent residents aged 18 or above.,0.4757222831249237
S-0161,LiDAR and Optical Sensing applications for Smart City,0.47075605392456055
S-0023,Payment Solution for Housing Authority and Leisure and Cultural Department,0.46951326727867126
S-0102,Miovision's Portable Solution for Traffic Data Collection,0.4681360125541687
S-0005,Smart Lamp Pole and Robotic,0.4666316509246826
S-0207,Pandemic Management System,0.4659733772277832
S-0053,Real-Time Origin-Destination Analysis Tool (RODAT）,0.4645422101020813
S-0044,AI Escalator Safety Monitoring System,0.4642079174518585
S-0236,Workflow automation solution,0.46267521381378174
S-0213,Radar-based smart motion and position tracking system,0.46176278591156006
S-0260,Mobile platform with handheld devices for on-site inspection and remote work duties,0.45959657430648804
S-0133,PANGA - Data Infrastructure Edge Computing for Smart Cities,0.45957714319229126
S-0048,AI-based Application,0.45920348167419434
S-0067,AR Smart Glass Assisted for equipment training and O&M,0.45840489864349365
S-0092,Enable the wireless connectivity for IoT devices,0.4568184018135071
S-0165,Health Monitoring System,0.4566996097564697
S-0135,ISS Analytics Services,0.45576852560043335
S-0049,Blockchain Solution,0.4553641378879547
S-0051,Insight Driven Organization (IDO),0.45493537187576294
S-0078,Finger Vein PBI (Public Biometric Infrastructure) Platform for Smart City ID Authentication,0.4547553062438965
S-0225,DocAnalyzer - Document Review Solution,0.4545479416847229
S-0214,ACX Visitor Management System,0.4535631835460663
S-0123,Complete Encryption with HSM,0.45291659235954285
S-0079,"1/ AccuID, 2/ Pedestrian Analytics, 3/ Vehicle Analytics",0.4522993564605713
S-0116,Smart Parking Solution,0.45151397585868835
S-0272,Hybrid/ E Bus/ Mini Bus and Ferry Boat,0.4477359354496002
S-0267,Smart Fever Screening System,0.44477182626724243
S-0142,NetMotion Mobility,0.4446617364883423
S-0119,Ziizau - Optimization of route design,0.4441581666469574
S-0188,Data Vaccinator,0.44340068101882935
S-0006,Centimeter level precision GNSS positioning Android tablet/smartphone,0.44273993372917175
S-0008,Shape Security - Shape Enterprise Defense,0.4407690763473511
S-0167,IXIA ThreatARMOR,0.4397440552711487
S-0072,Digital Twin of the City (or Town),0.43966227769851685
S-0279,RoomQ virtual waiting room for massive traffic,0.43838927149772644
S-0205,Centrak Quarantine Management Solution,0.438115656375885
