Reference Code,Solution Name (Eng),Cosine Similarity
S-0008,Shape Security - Shape Enterprise Defense,0.5914426445960999
S-0026,Knowledge Management Solution (KM Power),0.5526984333992004
S-0052,OpenCloud CMP,0.5508434772491455
S-0195,SuperAcc Document Intelligence,0.5485076308250427
S-0082,A.I. Contact Center and User Engagement Solution,0.545650064945221
S-0078,Finger Vein PBI (Public Biometric Infrastructure) Platform for Smart City ID Authentication,0.5431686639785767
S-0137,Splunk,0.540835976600647
S-0069,Citizen Cloud,0.538499653339386
S-0128,Iris by HKT - From Surveillance to Intelligence,0.5334745049476624
S-0122,"Smart City Solution - IoT, AI, Data Analytics Platform, Control",0.5304120779037476
S-0045,SAP Big Data Solution,0.5278567671775818
S-0244,ServiceNow - ITSM solution,0.5271546840667725
S-0096,Clare.AI Asian Language Chatbot Solutions,0.5235753059387207
S-0152,Datax,0.5231841802597046
S-0037,4D Immersive CAVE,0.5216202735900879
S-0283,All-in-one Mobile Productivity Platform,0.5192901492118835
S-0060,FROM Network Audit Programs,0.51458740234375
S-0221,AI and IT enhanced learning platform,0.5120328068733215
S-0003,GeoSpatial Cloud,0.5110663771629333
S-0256,AIOps (Artificial Intelligence for IT Operations) Solution,0.510363757610321
S-0133,PANGA - Data Infrastructure Edge Computing for Smart Cities,0.5075722932815552
S-0155,Stella Enterprise Chatbot Builder,0.5073901414871216
S-0021,ReportNOW,0.5035410523414612
S-0049,Blockchain Solution,0.5010556578636169
S-0216,BMC Helix Service & Operations Management,0.5004137754440308
S-0085,SAP Geospatial Asset Management,0.4998212158679962
S-0046,SAP Digital Boardroom,0.4968374967575073
S-0104,Litbulb Technologies,0.4966603219509125
S-0194,UWB Beacon RTLS Solution,0.49525338411331177
S-0111,Smart car park solution,0.4935051202774048
S-0142,NetMotion Mobility,0.49183496832847595
S-0231,AI Information push service management system,0.4913347363471985
S-0292,Telepresence and Video Conferencing Solution,0.4899930953979492
S-0239,InterOps Accelerator,0.4891716539859772
S-0131,ISS Project Management System,0.48695290088653564
S-0272,Hybrid/ E Bus/ Mini Bus and Ferry Boat,0.48630020022392273
S-0002,DataCube Data Intelligent Automation Solution,0.4852161109447479
S-0282,Chatbot Solution - ccRobot,0.4838920533657074
S-0247,Seclore Digital Rights Management,0.4809666872024536
S-0120,Raspect-ACE,0.4804351031780243
S-0230,STEMHUB Education Platform,0.47531330585479736
S-0203,Government payment scheme online application and data processing,0.4726657569408417
S-0287,Siemens Mobility (e-)bike sharing powered by AI,0.47245097160339355
S-0280,Digital parking solutions for enterprise (Include online pre booking and payment settle),0.470978319644928
S-0228,eClass Corporate Learning Management System (LMS),0.4679832458496094
S-0027,Big Data Enabler Service (project based),0.46702325344085693
S-0135,ISS Analytics Services,0.46625423431396484
S-0222,Agorize Innovation Sourcing Platform,0.46599170565605164
S-0156,Neo,0.46584001183509827
S-0114,Worker Insights,0.4630841016769409
S-0234,Pixel Eye Vision-Based Fall Detection,0.4627806544303894
S-0121,Chatbot Solution and NLP applications from ZhuiYi Technology,0.46236616373062134
S-0241,Intelligent Data Platform,0.46146276593208313
S-0237,V-K V-OS Cloud Solutions,0.461359441280365
S-0028,ShipAny - First Smart Logistics Gateway for HK Domestic Logistics Service,0.4575722813606262
S-0235,Pixel Eye Safety Helmets Detection,0.4556899666786194
S-0143,Cyberbit,0.4532822370529175
S-0245,Locobike：Automatic Bicycle Rental System,0.45137253403663635
S-0271,Server Data Analysis Service (User & Data),0.450411319732666
S-0113,Video Analytics Solution,0.4493946433067322
S-0038,Hybrid Reality Platform,0.44847291707992554
S-0261,DragOnce Platform,0.4473866820335388
S-0259,Software Robotic Solution - iBot,0.4472261071205139
S-0058,IoT Cybersecurity Testing and Certification Program,0.44535279273986816
S-0209,Control-M (BMC Software),0.4452652335166931
S-0033,ATAL’s Cloud-based Chiller Plant Energy Management Platform (EM-Platform),0.4451666474342346
S-0214,ACX Visitor Management System,0.44257861375808716
S-0144,ZIroh Labs - Advanced Data Privacy and Encryption Technology,0.4416981339454651
S-0164,Relate App,0.43980467319488525
S-0294,Live Webinar Streaming service,0.43875807523727417
S-0097,Smart Home e-Health Monitoring and Care System,0.4373622238636017
S-0210,AI Cloud for Smart Construction,0.4357777237892151
S-0092,Enable the wireless connectivity for IoT devices,0.435250848531723
S-0212,AI Solution for Outdoor People Counting without invading privacy,0.43440714478492737
S-0249,Robotic Process Automation with A.I. Data Capturing Capability,0.4323306083679199
S-0273,Talos,0.43215668201446533
S-0223,OceanX Share,0.4313288927078247
S-0180,AR/ VR/ Interactive Design & Development,0.4313255548477173
S-0248,OFS Website Tracking System,0.43130970001220703
S-0077,Anywhere Networks,0.4305731952190399
S-0034,Cloud Energy Management Platform,0.429914653301239
S-0166,IXIA BREAKINGPOINT,0.42818644642829895
S-0044,AI Escalator Safety Monitoring System,0.42791852355003357
S-0300,Smart Guiding Robot,0.4270758628845215
S-0048,AI-based Application,0.4265560209751129
S-0181,Artificial Intelligence Camera Solutions,0.424760103225708
S-0202,One card e-payment solution for GBA(Guangdong-hong kong-Macao Greater Bay area),0.42407000064849854
S-0132,Mobility Mesh Wi-Fi Application for Smart City,0.42303118109703064
S-0232,"""Smart"" Car Park Management System",0.4230276942253113
