Reference Code,Solution Name (Eng),Cosine Similarity
S-0070,Well井 Smart Water Station,0.7239389419555664
S-0074,AI Chiller Plant – Smart Chiller Plant Optimization using Artificial Intelligence,0.6360703706741333
S-0099,NB IoT Sensor Solution,0.6144140958786011
S-0038,Hybrid Reality Platform,0.6095850467681885
S-0044,AI Escalator Safety Monitoring System,0.5824259519577026
S-0175,Thermal Imaging Body Temperature Measurement Solution,0.5758742094039917
S-0042,Smart Water Duct Valve for shared Housing,0.5472491979598999
S-0011,Precise Outdoor Crowd Analysis,0.5459686517715454
S-0161,LiDAR and Optical Sensing applications for Smart City,0.5441014170646667
S-0032,AI+IAQ Proptech: Zonal object counting by skeleton & form recognition integrated with indoor environmental control and room utilization management,0.5429149866104126
S-0073,Enlighted Multi-Features Micro IoT Sensors Solution,0.5406566858291626
S-0213,Radar-based smart motion and position tracking system,0.540453314781189
S-0005,Smart Lamp Pole and Robotic,0.5382730960845947
S-0267,Smart Fever Screening System,0.5315593481063843
S-0072,Digital Twin of the City (or Town),0.5292902588844299
S-0039,iQ-Dwell Time Management System,0.5275452136993408
S-0100,Super Massive 3D Model Data Expert,0.5243841409683228
S-0158,Switchable Glass / Film,0.5209018588066101
S-0106,"Smart bin trash collection solution, especially remote area",0.5154989957809448
S-0066,Smart Water Management,0.5141597390174866
S-0024,Automated Refuse Collection System with 1 chute for multi fractions,0.5066925883293152
S-0010,Precise Facility Crowd Analysis,0.4997330605983734
S-0022,A smart lamp pole system with AI-enabled security system,0.49830037355422974
S-0147,Privacy-aware people counting system using Smart Radar sensor,0.49756795167922974
S-0226,"Sky Drone - Autonomous Drone Solution (""Drone-in-a-Box"")",0.49732837080955505
S-0193,Dahua Body Temp Measurement Solution,0.4951799809932709
S-0125,"BIM, BMS and IoT Integration",0.4920762777328491
S-0169,Robotic Assistant,0.4890609085559845
S-0143,Cyberbit,0.48884469270706177
S-0069,Citizen Cloud,0.4871699810028076
S-0229,SonoWatermark,0.48521241545677185
S-0120,Raspect-ACE,0.4807613492012024
S-0153,Dynatrace,0.479475736618042
S-0210,AI Cloud for Smart Construction,0.4785614609718323
S-0113,Video Analytics Solution,0.4774382710456848
S-0279,RoomQ virtual waiting room for massive traffic,0.47506430745124817
S-0129,Automatic ID/Travel Document Recognition and Validation - OCR Solution,0.47249722480773926
S-0259,Software Robotic Solution - iBot,0.47218024730682373
S-0108,SparkXIO Smart Car Park Management System,0.4699779748916626
S-0191,NoQ E Form registration and quota distribution for massive traffic,0.46980735659599304
S-0029,"Field Services Management System using IoT, GIS and Mobile Technologies",0.4687463939189911
S-0049,Blockchain Solution,0.46845144033432007
S-0227,Intelligent liquid crystal dimming film,0.46792784333229065
S-0271,Server Data Analysis Service (User & Data),0.4669400453567505
S-0003,GeoSpatial Cloud,0.46638208627700806
S-0089,Smart Infrastructure Projects Planning and Execution,0.46614834666252136
S-0133,PANGA - Data Infrastructure Edge Computing for Smart Cities,0.4652518033981323
S-0030,IoT Building Access Control System,0.465012788772583
S-0225,DocAnalyzer - Document Review Solution,0.46481427550315857
S-0031,PowerArena - Smart City Operations Platform,0.4645942449569702
S-0256,AIOps (Artificial Intelligence for IT Operations) Solution,0.46423065662384033
S-0063,UHD Multi-Channel Video Live Broadcast,0.45714396238327026
S-0040,RVM One Stop Recycling Solution,0.4562227129936218
S-0110,People Counting System (PCS),0.4558156132698059
S-0098,ECOPLANT Solar Tracking Solar Panel System,0.45540308952331543
S-0002,DataCube Data Intelligent Automation Solution,0.45516180992126465
S-0067,AR Smart Glass Assisted for equipment training and O&M,0.4548216760158539
S-0013,Public Event Tracking and Early Warning Analysis System,0.4544835686683655
S-0207,Pandemic Management System,0.45298704504966736
