Reference Code,Solution Name (Eng),Cosine Similarity
S-0249,Robotic Process Automation with A.I. Data Capturing Capability,0.7141216993331909
S-0282,Chatbot Solution - ccRobot,0.6904982924461365
S-0169,Robotic Assistant,0.6735255718231201
S-0104,Litbulb Technologies,0.6284999847412109
S-0259,Software Robotic Solution - iBot,0.6128384470939636
S-0250,UiPath Automation Platform,0.6108148097991943
S-0114,Worker Insights,0.6072858572006226
S-0096,Clare.AI Asian Language Chatbot Solutions,0.6026793122291565
S-0256,AIOps (Artificial Intelligence for IT Operations) Solution,0.5840898752212524
S-0048,AI-based Application,0.5837849974632263
S-0236,Workflow automation solution,0.5793821215629578
S-0197,WCL Robotic Process Automation Solution,0.5779309272766113
S-0002,DataCube Data Intelligent Automation Solution,0.5712106823921204
S-0090,Smart Employee Learning Management,0.5672356486320496
S-0260,Mobile platform with handheld devices for on-site inspection and remote work duties,0.5620130300521851
S-0228,eClass Corporate Learning Management System (LMS),0.5609046220779419
S-0163,Ai-Knowie,0.5514646768569946
S-0209,Control-M (BMC Software),0.54914790391922
S-0283,All-in-one Mobile Productivity Platform,0.5485076904296875
S-0202,One card e-payment solution for GBA(Guangdong-hong kong-Macao Greater Bay area),0.5440969467163086
S-0156,Neo,0.5370218753814697
S-0046,SAP Digital Boardroom,0.5361425876617432
S-0094,Digital Transformation with Low code development platform,0.5355977416038513
S-0045,SAP Big Data Solution,0.5327872037887573
S-0040,RVM One Stop Recycling Solution,0.5276048183441162
S-0032,AI+IAQ Proptech: Zonal object counting by skeleton & form recognition integrated with indoor environmental control and room utilization management,0.5272659063339233
S-0275,SMore-OCR,0.5246999263763428
S-0067,AR Smart Glass Assisted for equipment training and O&M,0.5222890377044678
S-0087,Smart Citizen and Employee Self-Services,0.5220262408256531
S-0244,ServiceNow - ITSM solution,0.5218067765235901
S-0095,Create Efficient and Simplify Business Processes Using NFC,0.5197545886039734
S-0059,EMF Workplaces Evaluation Program,0.5176345109939575
S-0153,Dynatrace,0.5156481266021729
S-0173,Go VR Immersive - Hololens 2 Mixed Reality Solution,0.5116562247276306
S-0127,Event Management technology,0.5114979147911072
S-0026,Knowledge Management Solution (KM Power),0.5108099579811096
S-0072,Digital Twin of the City (or Town),0.509759783744812
S-0155,Stella Enterprise Chatbot Builder,0.5066046118736267
S-0062,Parkingbnb,0.5062894225120544
S-0074,AI Chiller Plant – Smart Chiller Plant Optimization using Artificial Intelligence,0.5016353726387024
S-0261,DragOnce Platform,0.5010567307472229
S-0134,Smart Building - Energy Management and Optimization Solutions,0.498787522315979
S-0125,"BIM, BMS and IoT Integration",0.4966377317905426
S-0280,Digital parking solutions for enterprise (Include online pre booking and payment settle),0.4938046932220459
S-0131,ISS Project Management System,0.49277958273887634
S-0107,POARD Your Presentation Stage,0.4913443922996521
S-0191,NoQ E Form registration and quota distribution for massive traffic,0.4886051416397095
S-0239,InterOps Accelerator,0.4884524345397949
S-0101,​LANDRAY Office Automation (OA) system solutions,0.487793505191803
S-0218,Chief,0.487164169549942
S-0179,"""TeleVoice""  AI Robot Solution for DHS (Demographic and Health Surveys)",0.48621317744255066
S-0219,"VR Virtual Store, Training & Education System",0.48284414410591125
S-0265,Business Process Management Platform,0.4822225570678711
S-0279,RoomQ virtual waiting room for massive traffic,0.48209571838378906
S-0152,Datax,0.4817275404930115
S-0024,Automated Refuse Collection System with 1 chute for multi fractions,0.48130396008491516
S-0091,Next Generation Growable Optical Networks,0.4784841537475586
S-0252,Critical Event Management,0.47696352005004883
S-0166,IXIA BREAKINGPOINT,0.4768246114253998
S-0210,AI Cloud for Smart Construction,0.47620889544487
S-0273,Talos,0.4761854410171509
S-0102,Miovision's Portable Solution for Traffic Data Collection,0.47346940636634827
S-0116,Smart Parking Solution,0.4728948473930359
S-0196,Personnel and Asset positioning management system,0.4728097915649414
S-0214,ACX Visitor Management System,0.47007566690444946
S-0194,UWB Beacon RTLS Solution,0.4700053632259369
S-0049,Blockchain Solution,0.46857327222824097
S-0030,IoT Building Access Control System,0.46628475189208984
S-0038,Hybrid Reality Platform,0.4659220278263092
S-0051,Insight Driven Organization (IDO),0.4655817747116089
S-0292,Telepresence and Video Conferencing Solution,0.46461865305900574
S-0238,Rice Robotics,0.4644092321395874
S-0126,Self Service Business Intelligence,0.46388617157936096
S-0029,"Field Services Management System using IoT, GIS and Mobile Technologies",0.46352851390838623
S-0053,Real-Time Origin-Destination Analysis Tool (RODAT）,0.46105003356933594
S-0103,SP-RFID Smart Asset Management System,0.4608796536922455
S-0035,Document Delivery By Unmanned Vehicle,0.4607243537902832
S-0288,Mixed language Chatbot system with AI and voice functions,0.45944148302078247
S-0299,Office Delivery Robot,0.4574326276779175
