Reference Code,Solution Name (Eng),Cosine Similarity
S-0113,Video Analytics Solution,0.6324281692504883
S-0036,Intelligent Traffic Monitoring,0.6175145506858826
S-0067,AR Smart Glass Assisted for equipment training and O&M,0.6160580515861511
S-0322,NB-IoT / LoRa Dual-detection Smart Parking Sensing Technology,0.5918869972229004
S-0108,SparkXIO Smart Car Park Management System,0.5858927965164185
S-0035,Document Delivery By Unmanned Vehicle,0.5836322903633118
S-0044,AI Escalator Safety Monitoring System,0.5786278247833252
S-0214,ACX Visitor Management System,0.5774701237678528
S-0040,RVM One Stop Recycling Solution,0.5759590864181519
S-0188,Data Vaccinator,0.565467894077301
S-0264,Smart Parking with Video Analytics,0.5598626732826233
S-0062,Parkingbnb,0.5540362596511841
S-0194,UWB Beacon RTLS Solution,0.5519489049911499
S-0103,SP-RFID Smart Asset Management System,0.550094723701477
S-0196,Personnel and Asset positioning management system,0.5463696718215942
S-0020,Machines Predictive Maintenance,0.5459722280502319
S-0250,UiPath Automation Platform,0.5420936346054077
S-0120,Raspect-ACE,0.5416377782821655
S-0245,Locobike：Automatic Bicycle Rental System,0.5403971672058105
S-0259,Software Robotic Solution - iBot,0.5401464104652405
S-0210,AI Cloud for Smart Construction,0.5396051406860352
S-0233,Area monitoring solution using 3D camera with privacy-preserving,0.539596438407898
S-0154,Cisco Stealthwatch Encrypted Traffic Analytics,0.5386998653411865
S-0205,Centrak Quarantine Management Solution,0.538486123085022
S-0034,Cloud Energy Management Platform,0.5369554162025452
S-0079,"1/ AccuID, 2/ Pedestrian Analytics, 3/ Vehicle Analytics",0.536827564239502
S-0260,Mobile platform with handheld devices for on-site inspection and remote work duties,0.5354968309402466
S-0252,Critical Event Management,0.5342755317687988
S-0102,Miovision's Portable Solution for Traffic Data Collection,0.5333284139633179
S-0234,Pixel Eye Vision-Based Fall Detection,0.5300167798995972
S-0168,IXIA Vision ONE (Network Packet Broker),0.5288980007171631
S-0024,Automated Refuse Collection System with 1 chute for multi fractions,0.526448130607605
S-0106,"Smart bin trash collection solution, especially remote area",0.5263254046440125
S-0223,OceanX Share,0.5261682868003845
S-0280,Digital parking solutions for enterprise (Include online pre booking and payment settle),0.5258934497833252
S-0138,Radware DefensePro and AppWall,0.5244508981704712
S-0133,PANGA - Data Infrastructure Edge Computing for Smart Cities,0.5211551189422607
S-0031,PowerArena - Smart City Operations Platform,0.5197328329086304
S-0129,Automatic ID/Travel Document Recognition and Validation - OCR Solution,0.5197114944458008
S-0047,Smart Taxpayer Services with Machine Learning,0.5173690319061279
S-0085,SAP Geospatial Asset Management,0.5162301659584045
S-0167,IXIA ThreatARMOR,0.5139304995536804
S-0182,AppProtect+ (RASP) / YESsafe Zero Login (OTP) / AccessMatrix Universal Sign-On (SSO),0.5113027095794678
S-0111,Smart car park solution,0.5104010105133057
S-0032,AI+IAQ Proptech: Zonal object counting by skeleton & form recognition integrated with indoor environmental control and room utilization management,0.509976863861084
S-0220,3D Spatial Intelligence Platform for flow and traffic managements,0.5095818638801575
S-0209,Control-M (BMC Software),0.5082857608795166
S-0161,LiDAR and Optical Sensing applications for Smart City,0.5065534710884094
S-0212,AI Solution for Outdoor People Counting without invading privacy,0.5035305619239807
S-0263,SafeGuard Series,0.5034787058830261
S-0083,Smart Pharma Packaging,0.5018374919891357
S-0099,NB IoT Sensor Solution,0.49555933475494385
S-0112,Pyxis - The Internet of Things(IoT) Solution for Construction 2.0 and Beyond,0.4950432777404785
S-0197,WCL Robotic Process Automation Solution,0.493145614862442
S-0241,Intelligent Data Platform,0.4926658570766449
S-0009,Precise And Responsive Indoor Location Tracking,0.4925555884838104
S-0060,FROM Network Audit Programs,0.491024374961853
S-0012,"Monitoring and Early Warning System for Holding Concentration, Insider Trading, Short-selling and Stock Price Manipulation",0.49077457189559937
S-0211,Customised Mobile Application solution,0.4896719753742218
S-0251,Self Service Bike Rental Solution,0.48951685428619385
S-0001,PixelEye Object Detection,0.48891597986221313
S-0042,Smart Water Duct Valve for shared Housing,0.4888269603252411
S-0219,"VR Virtual Store, Training & Education System",0.48876383900642395
S-0239,InterOps Accelerator,0.48803746700286865
S-0139,imVision,0.48733073472976685
S-0256,AIOps (Artificial Intelligence for IT Operations) Solution,0.48694658279418945
