Reference Code,Solution Name (Eng),Cosine Similarity
S-0049,Blockchain Solution,0.6597994565963745
S-0054,TicketME Blockchain Ticketing Platform,0.5775178074836731
S-0058,IoT Cybersecurity Testing and Certification Program,0.574016273021698
S-0171,Augmented Reality (AR) model,0.5642907619476318
S-0165,Health Monitoring System,0.5607738494873047
S-0127,Event Management technology,0.557579517364502
S-0251,Self Service Bike Rental Solution,0.5542837977409363
S-0155,Stella Enterprise Chatbot Builder,0.5390204787254333
S-0225,DocAnalyzer - Document Review Solution,0.5179113745689392
S-0207,Pandemic Management System,0.5141309499740601
S-0156,Neo,0.5121841430664062
S-0231,AI Information push service management system,0.5116027593612671
S-0300,Smart Guiding Robot,0.5080612301826477
S-0027,Big Data Enabler Service (project based),0.5076684355735779
S-0038,Hybrid Reality Platform,0.5029970407485962
S-0072,Digital Twin of the City (or Town),0.5029553174972534
S-0172,Earthy,0.5022096633911133
S-0249,Robotic Process Automation with A.I. Data Capturing Capability,0.5001949071884155
S-0059,EMF Workplaces Evaluation Program,0.4972836971282959
S-0126,Self Service Business Intelligence,0.49578583240509033
S-0083,Smart Pharma Packaging,0.49554625153541565
S-0153,Dynatrace,0.49250882863998413
S-0256,AIOps (Artificial Intelligence for IT Operations) Solution,0.4912014603614807
S-0078,Finger Vein PBI (Public Biometric Infrastructure) Platform for Smart City ID Authentication,0.4910752773284912
S-0044,AI Escalator Safety Monitoring System,0.4909319579601288
S-0289,Life Planning & Blockchain,0.49040842056274414
S-0107,POARD Your Presentation Stage,0.4865512251853943
S-0111,Smart car park solution,0.4856478273868561
S-0179,"""TeleVoice""  AI Robot Solution for DHS (Demographic and Health Surveys)",0.4843292236328125
S-0045,SAP Big Data Solution,0.48381301760673523
S-0287,Siemens Mobility (e-)bike sharing powered by AI,0.4823070168495178
S-0292,Telepresence and Video Conferencing Solution,0.4819152355194092
S-0224,OceanX Workflow,0.48167741298675537
S-0202,One card e-payment solution for GBA(Guangdong-hong kong-Macao Greater Bay area),0.479928195476532
S-0194,UWB Beacon RTLS Solution,0.47874826192855835
S-0134,Smart Building - Energy Management and Optimization Solutions,0.4779675006866455
S-0282,Chatbot Solution - ccRobot,0.47792983055114746
S-0232,"""Smart"" Car Park Management System",0.47770506143569946
S-0123,Complete Encryption with HSM,0.4770585894584656
S-0043,fieldConnect,0.47685644030570984
S-0180,AR/ VR/ Interactive Design & Development,0.47396421432495117
S-0093,DataOS System,0.4722365140914917
S-0228,eClass Corporate Learning Management System (LMS),0.4715385138988495
S-0096,Clare.AI Asian Language Chatbot Solutions,0.47074222564697266
S-0119,Ziizau - Optimization of route design,0.47057390213012695
S-0099,NB IoT Sensor Solution,0.47000938653945923
S-0143,Cyberbit,0.4697859287261963
S-0060,FROM Network Audit Programs,0.4685579538345337
S-0132,Mobility Mesh Wi-Fi Application for Smart City,0.4682769775390625
S-0250,UiPath Automation Platform,0.46673205494880676
S-0254,FormExtractor,0.46670275926589966
S-0259,Software Robotic Solution - iBot,0.46629664301872253
S-0175,Thermal Imaging Body Temperature Measurement Solution,0.4658224582672119
S-0008,Shape Security - Shape Enterprise Defense,0.46571552753448486
S-0074,AI Chiller Plant – Smart Chiller Plant Optimization using Artificial Intelligence,0.4652857184410095
S-0163,Ai-Knowie,0.46416175365448
S-0129,Automatic ID/Travel Document Recognition and Validation - OCR Solution,0.4633049964904785
S-0222,Agorize Innovation Sourcing Platform,0.461979478597641
S-0003,GeoSpatial Cloud,0.4617226719856262
S-0105,Blockchain solution,0.4612434506416321
S-0197,WCL Robotic Process Automation Solution,0.46074050664901733
S-0013,Public Event Tracking and Early Warning Analysis System,0.4599308371543884
S-0288,Mixed language Chatbot system with AI and voice functions,0.4592021107673645
S-0002,DataCube Data Intelligent Automation Solution,0.4583827257156372
S-0090,Smart Employee Learning Management,0.45769187808036804
S-0032,AI+IAQ Proptech: Zonal object counting by skeleton & form recognition integrated with indoor environmental control and room utilization management,0.45763495564460754
S-0242,Queue-it -  Virtual Waiting Room,0.4572167694568634
S-0261,DragOnce Platform,0.45631587505340576
S-0280,Digital parking solutions for enterprise (Include online pre booking and payment settle),0.45586758852005005
S-0186,Technology of independent intellectual property identity authentication and tracking of close contacts of patients to assist in epidemic prevention and control and return to work,0.4556729197502136
S-0016,Cyclops -- Smart City & unmanned store solution,0.4548836350440979
S-0169,Robotic Assistant,0.4543367028236389
S-0112,Pyxis - The Internet of Things(IoT) Solution for Construction 2.0 and Beyond,0.45420852303504944
S-0128,Iris by HKT - From Surveillance to Intelligence,0.45301932096481323
S-0205,Centrak Quarantine Management Solution,0.4528542160987854
S-0116,Smart Parking Solution,0.45150208473205566
S-0260,Mobile platform with handheld devices for on-site inspection and remote work duties,0.4485641121864319
S-0214,ACX Visitor Management System,0.44839075207710266
S-0296,BLOK Pass App for Travel Bubble,0.4481763243675232
S-0004,Euclideon Vault - Smart City IOT 3D visualization,0.44786155223846436
S-0051,Insight Driven Organization (IDO),0.4472901225090027
S-0216,BMC Helix Service & Operations Management,0.4468291401863098
S-0248,OFS Website Tracking System,0.44657793641090393
S-0024,Automated Refuse Collection System with 1 chute for multi fractions,0.44640815258026123
