Reference Code,Solution Name (Eng),Cosine Similarity
S-0152,Datax,0.4973158836364746
S-0118,Alteryx,0.49093180894851685
S-0019,Personalized Education System,0.4686971604824066
S-0241,Intelligent Data Platform,0.4682764708995819
S-0091,Next Generation Growable Optical Networks,0.464719295501709
S-0239,InterOps Accelerator,0.4515075981616974
S-0180,AR/ VR/ Interactive Design & Development,0.45141497254371643
S-0256,AIOps (Artificial Intelligence for IT Operations) Solution,0.44868284463882446
S-0230,STEMHUB Education Platform,0.4449605941772461
S-0157,NLP-powered Chatbot by Xiaomi,0.44319483637809753
S-0177,MAD Gaze Smart Glass,0.4386613368988037
S-0235,Pixel Eye Safety Helmets Detection,0.43777698278427124
S-0048,AI-based Application,0.4364089369773865
S-0191,NoQ E Form registration and quota distribution for massive traffic,0.43543171882629395
S-0221,AI and IT enhanced learning platform,0.433229923248291
S-0162,Automate the verification of electronic documents,0.4287237524986267
S-0051,Insight Driven Organization (IDO),0.42509543895721436
S-0027,Big Data Enabler Service (project based),0.422978937625885
S-0195,SuperAcc Document Intelligence,0.42148157954216003
S-0211,Customised Mobile Application solution,0.41800248622894287
S-0273,Talos,0.41506481170654297
S-0083,Smart Pharma Packaging,0.4145939350128174
S-0279,RoomQ virtual waiting room for massive traffic,0.41416746377944946
S-0174,VR Training & Education System,0.4138568043708801
S-0275,SMore-OCR,0.4137652814388275
S-0004,Euclideon Vault - Smart City IOT 3D visualization,0.4133637845516205
S-0186,Technology of independent intellectual property identity authentication and tracking of close contacts of patients to assist in epidemic prevention and control and return to work,0.4094475209712982
S-0155,Stella Enterprise Chatbot Builder,0.4085876941680908
S-0001,PixelEye Object Detection,0.4080854654312134
S-0033,ATAL’s Cloud-based Chiller Plant Energy Management Platform (EM-Platform),0.4079272449016571
S-0173,Go VR Immersive - Hololens 2 Mixed Reality Solution,0.40590715408325195
S-0250,UiPath Automation Platform,0.40546345710754395
S-0058,IoT Cybersecurity Testing and Certification Program,0.4041309952735901
S-0231,AI Information push service management system,0.4040055274963379
S-0202,One card e-payment solution for GBA(Guangdong-hong kong-Macao Greater Bay area),0.4019831418991089
S-0089,Smart Infrastructure Projects Planning and Execution,0.4004068970680237
S-0163,Ai-Knowie,0.3997384011745453
S-0243,LiDAR Road Monitoring Solutions based on Deep Learning Technology,0.3994406461715698
S-0254,FormExtractor,0.39837396144866943
S-0225,DocAnalyzer - Document Review Solution,0.39642471075057983
S-0166,IXIA BREAKINGPOINT,0.3961576223373413
S-0300,Smart Guiding Robot,0.395666241645813
