Reference Code,Solution Name (Eng),Cosine Similarity
S-0036,Intelligent Traffic Monitoring,0.9976481795310974
S-0035,Document Delivery By Unmanned Vehicle,0.9974486231803894
S-0081,iQ-Road and Traffic Management,0.9973117709159851
S-0062,Parkingbnb,0.9971957206726074
S-0029,"Field Services Management System using IoT, GIS and Mobile Technologies",0.9971859455108643
S-0010,Precise Facility Crowd Analysis,0.9970712065696716
S-0079,"1/ AccuID, 2/ Pedestrian Analytics, 3/ Vehicle Analytics",0.9970684051513672
S-0251,Self Service Bike Rental Solution,0.9969639182090759
S-0011,Precise Outdoor Crowd Analysis,0.99695885181427
S-0055,Smart City Electric Vehicle (EV) Charging Infrastructure Solution,0.9969092607498169
S-0053,Real-Time Origin-Destination Analysis Tool (RODAT）,0.9968957304954529
S-0030,IoT Building Access Control System,0.9968879818916321
S-0169,Robotic Assistant,0.9968844652175903
S-0024,Automated Refuse Collection System with 1 chute for multi fractions,0.9968743920326233
S-0044,AI Escalator Safety Monitoring System,0.9968740940093994
S-0264,Smart Parking with Video Analytics,0.9968697428703308
S-0043,fieldConnect,0.9968304634094238
S-0299,Office Delivery Robot,0.9968065023422241
S-0213,Radar-based smart motion and position tracking system,0.9967999458312988
S-0059,EMF Workplaces Evaluation Program,0.9967983365058899
S-0267,Smart Fever Screening System,0.9967419505119324
S-0204,DOLPHIN Indoor Positioning Service (IPS),0.9967070817947388
S-0212,AI Solution for Outdoor People Counting without invading privacy,0.9967030882835388
S-0235,Pixel Eye Safety Helmets Detection,0.996681809425354
S-0072,Digital Twin of the City (or Town),0.9966461658477783
S-0057,Artificial Intelligence Security Surveillance Protection  (AISSP),0.9966385960578918
S-0120,Raspect-ACE,0.9966344237327576
S-0191,NoQ E Form registration and quota distribution for massive traffic,0.9966335296630859
S-0032,AI+IAQ Proptech: Zonal object counting by skeleton & form recognition integrated with indoor environmental control and room utilization management,0.9966292381286621
S-0179,"""TeleVoice""  AI Robot Solution for DHS (Demographic and Health Surveys)",0.9966146349906921
S-0039,iQ-Dwell Time Management System,0.9966002702713013
S-0272,Hybrid/ E Bus/ Mini Bus and Ferry Boat,0.9965997934341431
S-0106,"Smart bin trash collection solution, especially remote area",0.9965985417366028
S-0234,Pixel Eye Vision-Based Fall Detection,0.9965920448303223
S-0070,Well井 Smart Water Station,0.9965876340866089
S-0058,IoT Cybersecurity Testing and Certification Program,0.9965831637382507
S-0250,UiPath Automation Platform,0.9965817332267761
S-0016,Cyclops -- Smart City & unmanned store solution,0.9965711236000061
S-0067,AR Smart Glass Assisted for equipment training and O&M,0.9965682625770569
S-0259,Software Robotic Solution - iBot,0.9965634942054749
S-0187,Provide an implementation plan for the Hongkong Financial Secretary's policy of granting HK $10 thousand to permanent residents aged 18 or above.,0.9965568780899048
S-0211,Customised Mobile Application solution,0.9965516328811646
S-0129,Automatic ID/Travel Document Recognition and Validation - OCR Solution,0.9965502023696899
S-0186,Technology of independent intellectual property identity authentication and tracking of close contacts of patients to assist in epidemic prevention and control and return to work,0.996544361114502
S-0112,Pyxis - The Internet of Things(IoT) Solution for Construction 2.0 and Beyond,0.9965413212776184
S-0042,Smart Water Duct Valve for shared Housing,0.9965411424636841
S-0041,A.I. and speech solutions by Nexify and iFLYTEK,0.9965379238128662
S-0060,FROM Network Audit Programs,0.996526300907135
S-0233,Area monitoring solution using 3D camera with privacy-preserving,0.9965143203735352
S-0019,Personalized Education System,0.9965125918388367
