Reference Code,Solution Name (Eng),Cosine Similarity
S-0282,Chatbot Solution - ccRobot,0.7040883302688599
S-0288,Mixed language Chatbot system with AI and voice functions,0.6583802103996277
S-0244,ServiceNow - ITSM solution,0.6487680673599243
S-0096,Clare.AI Asian Language Chatbot Solutions,0.6386620402336121
S-0169,Robotic Assistant,0.6267778873443604
S-0197,WCL Robotic Process Automation Solution,0.620806872844696
S-0259,Software Robotic Solution - iBot,0.6193798780441284
S-0255,Authgear,0.6178163290023804
S-0082,A.I. Contact Center and User Engagement Solution,0.6105196475982666
S-0239,InterOps Accelerator,0.6056532263755798
S-0107,POARD Your Presentation Stage,0.5910373330116272
S-0155,Stella Enterprise Chatbot Builder,0.5896496772766113
S-0242,Queue-it -  Virtual Waiting Room,0.5882536172866821
S-0279,RoomQ virtual waiting room for massive traffic,0.5876374244689941
S-0214,ACX Visitor Management System,0.5868752002716064
S-0186,Technology of independent intellectual property identity authentication and tracking of close contacts of patients to assist in epidemic prevention and control and return to work,0.5829063057899475
S-0237,V-K V-OS Cloud Solutions,0.5792555212974548
S-0121,Chatbot Solution and NLP applications from ZhuiYi Technology,0.5780693888664246
S-0280,Digital parking solutions for enterprise (Include online pre booking and payment settle),0.5762801170349121
S-0127,Event Management technology,0.5685843229293823
S-0157,NLP-powered Chatbot by Xiaomi,0.5644752979278564
S-0300,Smart Guiding Robot,0.5595785975456238
S-0216,BMC Helix Service & Operations Management,0.5560605525970459
S-0236,Workflow automation solution,0.5548519492149353
S-0191,NoQ E Form registration and quota distribution for massive traffic,0.5479800701141357
S-0129,Automatic ID/Travel Document Recognition and Validation - OCR Solution,0.5469627380371094
S-0038,Hybrid Reality Platform,0.5440104007720947
S-0265,Business Process Management Platform,0.5416955351829529
S-0045,SAP Big Data Solution,0.5410094261169434
S-0163,Ai-Knowie,0.5409290790557861
S-0211,Customised Mobile Application solution,0.539969801902771
S-0266,Site Audit and Inspection Recording System,0.5387681126594543
S-0292,Telepresence and Video Conferencing Solution,0.5387354493141174
S-0256,AIOps (Artificial Intelligence for IT Operations) Solution,0.5383046269416809
S-0046,SAP Digital Boardroom,0.5353559255599976
S-0209,Control-M (BMC Software),0.535096287727356
S-0210,AI Cloud for Smart Construction,0.5350583791732788
S-0153,Dynatrace,0.5348582863807678
S-0094,Digital Transformation with Low code development platform,0.5343953371047974
S-0124,Enterprise Intelligent Assistant,0.5341961979866028
S-0050,Deloitte ASSIST,0.5340989828109741
S-0052,OpenCloud CMP,0.5334287881851196
S-0249,Robotic Process Automation with A.I. Data Capturing Capability,0.5308653116226196
S-0116,Smart Parking Solution,0.5291481018066406
S-0240,Multilingual Voice Assistant,0.5290983319282532
S-0273,Talos,0.5256049633026123
S-0044,AI Escalator Safety Monitoring System,0.5232086181640625
S-0029,"Field Services Management System using IoT, GIS and Mobile Technologies",0.5169758796691895
S-0260,Mobile platform with handheld devices for on-site inspection and remote work duties,0.5165990591049194
S-0143,Cyberbit,0.5075084567070007
S-0008,Shape Security - Shape Enterprise Defense,0.5017085075378418
S-0111,Smart car park solution,0.4951499104499817
S-0283,All-in-one Mobile Productivity Platform,0.4941391050815582
S-0128,Iris by HKT - From Surveillance to Intelligence,0.4922865033149719
S-0286,IoT Sensors and Automatic Monitoring System (AMS),0.4916577637195587
S-0072,Digital Twin of the City (or Town),0.4892115592956543
S-0145,Arcserve® Appliance Series,0.4872353971004486
S-0228,eClass Corporate Learning Management System (LMS),0.48597460985183716
S-0230,STEMHUB Education Platform,0.48368605971336365
S-0250,UiPath Automation Platform,0.48263710737228394
S-0140,Drivelock,0.48257210850715637
S-0261,DragOnce Platform,0.48231667280197144
S-0232,"""Smart"" Car Park Management System",0.4822136163711548
S-0122,"Smart City Solution - IoT, AI, Data Analytics Platform, Control",0.48179441690444946
S-0090,Smart Employee Learning Management,0.4816616177558899
S-0170,Nixplay Signage,0.48155611753463745
S-0014,2D Face Re-identification,0.47990545630455017
S-0048,AI-based Application,0.47956207394599915
S-0026,Knowledge Management Solution (KM Power),0.4792051613330841
S-0275,SMore-OCR,0.47892361879348755
S-0021,ReportNOW,0.47277992963790894
S-0113,Video Analytics Solution,0.47253987193107605
S-0252,Critical Event Management,0.4719914197921753
S-0058,IoT Cybersecurity Testing and Certification Program,0.47152572870254517
S-0166,IXIA BREAKINGPOINT,0.4711172580718994
S-0162,Automate the verification of electronic documents,0.46919935941696167
S-0199,V-Key Mobile App Protection,0.468516081571579
S-0069,Citizen Cloud,0.4683094024658203
S-0225,DocAnalyzer - Document Review Solution,0.4681393504142761
S-0056,Advanced Contextual Analytic Solution for public enquiries,0.46528160572052
S-0262,Mobile application development,0.4636799097061157
S-0079,"1/ AccuID, 2/ Pedestrian Analytics, 3/ Vehicle Analytics",0.46242380142211914
S-0043,fieldConnect,0.46178361773490906
S-0222,Agorize Innovation Sourcing Platform,0.4616186022758484
S-0179,"""TeleVoice""  AI Robot Solution for DHS (Demographic and Health Surveys)",0.46010568737983704
S-0125,"BIM, BMS and IoT Integration",0.460021436214447
S-0194,UWB Beacon RTLS Solution,0.45786252617836
S-0057,Artificial Intelligence Security Surveillance Protection  (AISSP),0.4576790928840637
S-0095,Create Efficient and Simplify Business Processes Using NFC,0.4573964476585388
S-0115,All-in-one event management software,0.45684927701950073
S-0142,NetMotion Mobility,0.45662933588027954
S-0123,Complete Encryption with HSM,0.4565909802913666
S-0020,Machines Predictive Maintenance,0.455796480178833
S-0139,imVision,0.4556954503059387
S-0030,IoT Building Access Control System,0.4542214274406433
S-0322,NB-IoT / LoRa Dual-detection Smart Parking Sensing Technology,0.45406484603881836
S-0119,Ziizau - Optimization of route design,0.45244497060775757
S-0103,SP-RFID Smart Asset Management System,0.45054858922958374
S-0081,iQ-Road and Traffic Management,0.4504932463169098
S-0168,IXIA Vision ONE (Network Packet Broker),0.4501885175704956
S-0112,Pyxis - The Internet of Things(IoT) Solution for Construction 2.0 and Beyond,0.4501204490661621
S-0120,Raspect-ACE,0.4498104453086853
S-0041,A.I. and speech solutions by Nexify and iFLYTEK,0.44781139492988586
S-0005,Smart Lamp Pole and Robotic,0.4475991129875183
S-0099,NB IoT Sensor Solution,0.4474542737007141
S-0138,Radware DefensePro and AppWall,0.4465672969818115
S-0013,Public Event Tracking and Early Warning Analysis System,0.4455314576625824
S-0054,TicketME Blockchain Ticketing Platform,0.44464653730392456
S-0040,RVM One Stop Recycling Solution,0.44389641284942627
S-0271,Server Data Analysis Service (User & Data),0.44304120540618896
S-0173,Go VR Immersive - Hololens 2 Mixed Reality Solution,0.4430350661277771
S-0053,Real-Time Origin-Destination Analysis Tool (RODAT）,0.4426678419113159
S-0224,OceanX Workflow,0.44236451387405396
S-0238,Rice Robotics,0.44210708141326904
S-0114,Worker Insights,0.44127893447875977
S-0037,4D Immersive CAVE,0.44120877981185913
S-0087,Smart Citizen and Employee Self-Services,0.43834388256073
S-0152,Datax,0.4372221827507019
S-0134,Smart Building - Energy Management and Optimization Solutions,0.43716397881507874
S-0131,ISS Project Management System,0.43693098425865173
S-0093,DataOS System,0.4356500506401062
S-0032,AI+IAQ Proptech: Zonal object counting by skeleton & form recognition integrated with indoor environmental control and room utilization management,0.4347664713859558
S-0007,Smart Life,0.4331675171852112
S-0287,Siemens Mobility (e-)bike sharing powered by AI,0.4324118494987488
S-0164,Relate App,0.4315569996833801
S-0002,DataCube Data Intelligent Automation Solution,0.429818719625473
S-0092,Enable the wireless connectivity for IoT devices,0.4296000599861145
S-0104,Litbulb Technologies,0.42843490839004517
S-0247,Seclore Digital Rights Management,0.4262022078037262
S-0089,Smart Infrastructure Projects Planning and Execution,0.42611122131347656
S-0023,Payment Solution for Housing Authority and Leisure and Cultural Department,0.42496082186698914
S-0167,IXIA ThreatARMOR,0.42469459772109985
